Bank Name,Financial Text,Financial Term
Berenberg Bank,"2021
Sustainability Report
for the financial year 2021
1
Foreword 
Business model and environment  
Organisational profile  
Strategy and business divisions
 Investment Bank
 Wealth and Asset Management
 Corporate Banking
Significant changes in the reporting year
Key performance indicators
Our business environment  
Risk managementConsideration of sustainability risks
Environment
Management approach 
Outcomes and performance indicators 
 Treatment of natural resources
 Measures to reduce carbon emissions 
 Project financing to promote sustainable technologies
 ESG criteria as a component of the lending process
Employees  
Management approach  Outcomes and performance indicators 
 Securing the next generation of employees 
 Target-oriented personnel development 
 Attractive employee benefits 
 Work/life balance
 DiversityCONTENTS
3
6
7
8
9
9
9
10
13
13
15
17
23
24
2626
28
30
31
32
33
35
35
36
37
3838
2
Society 
Management approach 
Outcomes and performance indicators 
 Sustainable cash investments, services and products
 Social engagement
Human Rights 
Management approach 
Outcomes and performance indicators 
 Equal treatment of our employees
 Compliance with minimum standards in the supply chain
Anti-Corruption and Fraud 
Management approach 
Outcomes and performance indicators 
 Client perspective: know your customer 
 Employee perspective: protection of employees 
EU Taxonomy Reporting
Disclosure obligations
Reported figures
Explanations
Qualitative data
About this Report
Reporting practice 
Frameworks and selection of reporting topics CONTENTS
39
40
44
44
52
55
56
58
58
58
60
61
64
64
65
66
66
67
67
68
69
69
69
3
The Managing Partners (from  left to right): Christian K ühn, Hendrik Riehmer and David Mortlock
Dear Clients
and business associates,
As a bank with international operations, Berenberg monitors the longer-term social 
and ecological impact of its actions",investment
Berenberg Bank,"We adhere to these principles in the interests of our 
clients, business associates, partners, employees and the company",interest
Berenberg Bank,"FOREWORD

4
We have been supporting sustainability mandates for a long time, and offer our 
customers not only financially sound investments, but also investments, products 
and services that take into account social and ecological criteria",investment
Berenberg Bank,"In the Corporate Banking business division, we co-finance renewable 
energy projects worldwide with our Green Energy Junior Debt Funds and by doing 
so make a contribution to the transition to renewable energy",funds
Berenberg Bank,"An established ESG 
team operates within the area of equity research at Berenberg, designed to help 
integrate ESG analysis into our core equity research products",equity
Berenberg Bank,"Christian Kühn Hendrik Riehmer David Mortlock

Business model and environment
Business model and environment
Business model and environment
7
Organisational profile
Berenberg was established in 1590, and today we are one of Europe’s leading 
privately owned banks, focusing on the business divisions Investment Bank, Wealth 
and Asset Management and Corporate Banking",investment
Berenberg Bank,"An office in Brussels was added at the end of 2021, and an office in Stockholm is set to be opened",stock
Berenberg Bank,"We help our clients to grow their investments, 
achieve their goals and meet their challenges, and we do this as expert advisers and 
longstanding service providers",investment
Berenberg Bank,"Investment Bank
The broad-based Investment Bank division focuses on service and advisory opera -
tions in the segments of Equities, Investment Banking and Financial Markets",investment
Berenberg Bank,"As at 
year-end 2021, our Equity Research team covered 1,250 shares",equity
Berenberg Bank,"Asset Management:  We offer multi-award-winning funds in various asset classes, 
global asset management strategies, opportunistic approaches and professional risk 
management strategies",funds
Berenberg Bank,"The investment strategies we develop for our clients focus on high 
product quality, dynamic growth and promising performance",investment
Berenberg Bank,"Sustainability aspects 
are integrated into our investment processes",investment
Berenberg Bank,"In recent years, we have built up special expertise in credit 
fund solutions for institutional investors",credit
Berenberg Bank,"BUSINESS MODEL
AND ENVIRONMENT
10
Significant changes in the reporting year
Berenberg closed the financial year 2021 with a net profit for the year of €  170",profit
Berenberg Bank,"2 million), thus once again significantly exceeding 
the record operating profit achieved in the previous year and marking the best 
net profit in the history of the Bank",profit
Berenberg Bank,Return on equity amounted to 82,equity
Berenberg Bank,"As expected, net interest income 
fell again significantly by €  18",interest
Berenberg Bank,"The ratio of current net interest income (excluding income from 
participating interests/affiliated companies) to net commission income was 6  : 94 
(12 : 88), underlining the tremendous importance of the commission business for 
the Bank’s business model",interest
Berenberg Bank,"A key determinant of Berenberg’s net commission income is the securities and 
equities business in the Investment Bank business division",investment
Berenberg Bank,"As a signatory to the United Nations-supported Principles for 
Responsible Investment (UN PRI), we remain committed to our responsibility 
in this respect",investment
Berenberg Bank,"In addition, our investment funds have received top marks from 
relevant research houses, such as the Forum Nachhaltige Geldanlagen (FNG), the 
sustainable investment forum for Germany, Austria, Liechtenstein and Switzerland",investment
Berenberg Bank,"In Corporate Banking, the commission income generated in the reporting year 
once again exceeded interest income",interest
Berenberg Bank,"In addition to our many years of experience 
in services rendered to German and international shipping customers, we also gen -
erated very pleasing transaction-related commission income in the subsegments of 
Structured Finance and Infrastructure & Energy, particularly through institutional 
investments in credit funds",investment
Berenberg Bank,"The historically low and/or negative interest rates continue to affect banks’ 
business activities",interest
Berenberg Bank,"Added to this are ever-changing regulatory requirements, as 
well as digitalisation challenges that need to be overcome",regulatory
Berenberg Bank,"We intend to further expand our New York location and our equity research for 
US stocks and, by doing so, increase the regional diversity of the business model 
already established in Europe",stock
Berenberg Bank,"We plan to retain our proven, diversified business model focused on the areas 
of Investment Bank, Wealth and Asset Management and Corporate Banking",investment
Berenberg Bank,"Over the 
past few years, we have further expanded this product range and built up a track 
record with solid performance, drawing in particular on the outstanding internal 
equity know-how at our disposal",equity
Berenberg Bank,"The debt funds set up and managed within Corporate Banking have exhibited 
particularly positive developments",funds
Berenberg Bank,"Moreover, the new restrictions which had 
to be imposed again in some parts of the world in 2021 were far more targeted than 
those which were implemented in the first wave",restrictions
Berenberg Bank,"Supply bottlenecks and a shortage of semiconductors and other 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021
Net profit for the year € million 60 66 40 104 161 90 23 61 108 170
Net commission income € million 206 234 244 321 254 343 279 356 416 573
Total assets € million 4,279 4,525 4,514 4,738 4,716 4,741 4,693 5,059 4,654 6,376
Equity € million 221 223 219 234 265 296 293 288 296 341
Receivables from clients/loans € million 794 642 750 1,013 934 929 1,097 1,175 1,046 1,075
Liabilities to clients/deposits € million 3,083 3,390 3,199 3,570 3,721 3,736 3,924 4,263 3,835 5,480
Return on equity (before taxes) % 43",profit
Berenberg Bank,"In 
addition to effective measures implemented to prevent new waves of the pandemic, 
the credit-financed stimulus of the previous year also contributed to this growth",credit
Berenberg Bank,"The pace of the increase, however, slowed significantly over the course of the year 
as the government sought to curb excessive credit growth in the real estate sector, 
which is a particularly important area for the Chinese economy",credit
Berenberg Bank,"While the US Federal Reserve 
has already announced that it will soon end its bond purchases, and has already 
promised initial interest rate hikes, the ECB will probably proceed somewhat 
more slowly in view of less pronounced inflationary pressure",interest
Berenberg Bank,"With interest rates 
and yields remaining very low, those banks in Europe which have traditionally 
generated their revenues primarily in the interest business will especially have to 
continue their intensive efforts to find new areas of business",revenue
Berenberg Bank,"In these scenario workshops, we also look at the impacts of ESG criteria on the incidences and amounts of loss associated with the parameters underlying our 
model (e",loss
Berenberg Bank,"As an ex-ante 
method, the scenario analysis supplements the existing internal loss data with 
information regarding potential hazards for the Bank due to serious risk events",loss
Berenberg Bank,"The scenario-based assessment is carried out by experts at the Bank in workshops 
facilitated by Risk Controlling (potential incidences and amounts of loss)",loss
Berenberg Bank,"17
A database to systematically record operational losses (internal loss data collection) 
that enables us to analyse losses incurred and to draw up appropriate countermeas -
ures is vitally important",loss
Berenberg Bank,"This database is used as the foundation for informing 
management about the development of operational losses on a regular basis",loss
Berenberg Bank,"Consideration of sustainability risks 
Strategies for integrating sustainability risks into investment deci-
sions and investment and insurance advisory services
We attach vital importance in our investment decisions to the topic of sustainability 
and the management of sustainability risks",investment
Berenberg Bank,"In accordance with regulatory provisions, we view sustainability risks as events 
or conditions in the areas of environment, society or corporate governance, the 
occurrence of which can have actual or potential material negative impacts on 
the value of an investment and consequently the financial position, cash flows 
and financial performance, and reputation, of a company",investment
Berenberg Bank,"Consideration of sustainability risks in our investment decision 
processes3) 
With regard to customer fund investments made by our Wealth and Asset Ma- 
nagement business division, we regard the integration of ESG risks and adverse 
sustainability impacts as a strategic issue that is placed high on our list of priorities",investment
Berenberg Bank,"shares, corporate bonds and 
government bonds)",bonds
Berenberg Bank,"Drawing on in-depth internal research and external data, 
we are able to offer various ESG investment strategies that take ESG criteria into account to varying extents, thus enabling us to meet wide-ranging customer needs 
in the areas of equities, bonds and multi-asset products",investment
Berenberg Bank,"We use the analysis of ESG controversies by our external 
ESG data provider to identify companies that are implicated in particularly serious 
ESG controversies, and we exclude such companies from investments",investment
Berenberg Bank,"In the event 
of serious ESG controversies, we initiate an active dialogue with the company 
(»engagement«) for certain ESG investment strategies, regarding both existing 
holdings and new investments",investment
Berenberg Bank,"We 
then make a final investment decision based on our engagement and our analysis",investment
Berenberg Bank,"By being in direct contact with the company, we are able to 
better take into account ESG risks and associated measures when making our 
19
investment decisions",investment
Berenberg Bank,"Forward transactions on food and certain other investments are excluded from 
all of our in-house funds, wealth management strategies and special mandates as 
a matter of principle (for details of our publicly available Berenberg Wealth and 
Asset Management ESG exclusion criteria, see www",investment
Berenberg Bank,"We may 
also apply extended exclusion criteria depending on the ESG investment strategy",investment
Berenberg Bank,"As such, we offer solutions with customised ESG restriction 
options within the scope of special mandates and special funds",funds
Berenberg Bank,"For further details on how ESG factors are integrated into our investment decisions, 
please see the general and specific ESG guidelines on our homepage ( https://www",investment
Berenberg Bank,"Consideration of sustainability risks in our investment advisory 
services5) 
Our approach to integrating ESG into our investment advisory services is based 
on two pillars: firstly, the integration of our customers’ individual investment 
preferences into the investment process; and second, our ability to offer in-house 
sustainable investment products (investment funds and wealth management strat -
egies)",investment
Berenberg Bank,"BUSINESS MODEL
AND ENVIRONMENT
4) Restricted to portfolio positions in retail funds, by providing voting recommendations  
 t o our asset management company",funds
Berenberg Bank,"20
The sustainability criteria we take into account depend on our customers’ individual 
investment preferences",investment
Berenberg Bank,"This approach means that we can work with our customers 
to develop a common understanding of which investments are considered sus-
tainable and how individual sustainability preferences should be implemented in 
the portfolio in concrete terms (e",investment
Berenberg Bank,"Independently of the views of individual customers, Berenberg has also devel -
oped its own opinion regarding which minimum criteria investments need to fulfil 
in order to be included in a sustainable portfolio, in the form of the aforementioned 
Berenberg Wealth and Asset Management ESG exclusion criteria",investment
Berenberg Bank,"We ensure that all securities in our investment advisory service universe comply 
with the Berenberg ESG exclusion criteria, and have included such criteria in 
our systems",investment
Berenberg Bank,"Our ESG exclusion criteria were introduced in 2019 and 
thus considerably in advance of regulatory requirements becoming applicable – in 
2021, the scope of application of these exclusion criteria was expanded significantly",regulatory
Berenberg Bank,"In addition to classifying third-party products, we have also built up an in-house 
product range as part of our investment advisory services",investment
Berenberg Bank,"We offer sustainable 
investment solutions as part of our wealth management services, as well as via 
subscriptions to shares in sustainable investment funds",investment
Berenberg Bank,"In the area of retail funds, 
our different sustainability-focused investment strategies cover the major asset 
classes of shares, bonds and multi-asset products",investment
Berenberg Bank,"We offer various ESG investment strategies that take ESG criteria into account 
to varying extents, thus enabling us to meet wide-ranging customer needs in the 
areas of shares, bonds and multi-asset products",investment
Berenberg Bank,"• Our ESG-integrated strategies use a combination of instruments to integrate 
ESG factors – excluding or limiting certain activities, taking into account ESG risks and opportunities as part of an investment analysis and effecting change 
as an active investor through engagement and proxy voting activities",investment
Berenberg Bank,"Addi -
tional stricter ESG exclusion criteria are applied to further limit investments in 
activities that do not, for example, facilitate any positive effects",investment
Berenberg Bank,"Impact-focused strategies  are only 
open to companies, issuers and project-related investments, such as green bonds, 
that have measurable positive impacts on society or the environment and help 
to address global challenges through products, services or financed projects",investment
Berenberg Bank,"For example, the Berenberg Sustainable Multi Asset Dynamic fund 
was launched in December 2021 with the aim of investing in equities and assigned bonds which actively help to address global challenges through products, services 
or financed products",bonds
Berenberg Bank,"For further details on our funds declared as ESG-compliant, please refer to the 
section »Society«  under »Sustainable investments, services and products that 
benefit society« ",investment
Berenberg Bank,"BUSINESS MODEL
AND ENVIRONMENT
6) Restricted to equity investments in certain retail funds, by providing voting  
 r ecommendations to the asset management company",investment
Berenberg Bank,"Compared with the investment 
business, our business volume in the insurance advisory business is relatively low 
and limited to sales of third-party products",investment
Berenberg Bank,"Consideration of sustainability risks in our decision-making processes 
regarding own-account investments of the Bank8)
The above information on how sustainability risks are taken into account was 
included in the Sustainability Report for the 2020 financial year for the first time",investment
Berenberg Bank,"As a bank, we 
focus on two aspects: how can we reduce the environmental impact of our company 
through accountability, and how can we positively influence investment patterns 
to promote climate protection?
1",investment
Berenberg Bank,"We are finding 
that buyers and investors are showing ever greater interest in sustainable financial 
products and services",interest
Berenberg Bank,"The Infrastructure 
& Energy department, formed in 2014 as part of the Corporate Banking business 
division, achieved successful growth again in 2021, serving the increasing demand 
for investment opportunities in this field",investment
Berenberg Bank,"The debt 
funds launched and advised by Berenberg form the basis for these activities",funds
Berenberg Bank,"While the Green Energy Junior Debt Funds co-finance renewable 
energy projects worldwide and thereby make a contribution to the transition to 
renewable energies, the Berenberg Digital Infrastructure Debt Fund I contributes to 
the creation of a powerful yet resource-conserving communications infrastructure 
in core Europe",funds
Berenberg Bank,"Furthermore, two of our Green Energy Junior Debt Funds now also finance projects in the project development phase with the help of the new 
debt fund set up in the previous year, thus resulting in real impact investments, as 
such projects would not have been implemented without this capital",investment
Berenberg Bank,"In the front office, the Infrastructure & Energy department develops investment opportunities in the field of sustainable technologies and renewable 
energy",investment
Berenberg Bank,"Until the end of 2013, we sent printed copies of our Equity Research reports 
to our clients; at this point, we started to switch to electronic copies sent by email",equity
Berenberg Bank,"In the past year, the 
funds supported and co-financed 17 green energy projects with more than 280 
wind and solar parks, as well as five glass fibre and data centre projects",funds
Berenberg Bank,"The funds’ 
successful track record therefore continued into the reporting year:
• Berenberg Energy Junior Debt Funds, which have been offering institutional and private investors the possibility of investing in the construction and opera -
tion of wind and solar parks since their launch in 2017, continued their positive 
performance and currently share capital commitments in excess of €  600 million",funds
Berenberg Bank,"Berenberg’s Energy Junior Debt Funds 
have financed an output of more than 3",funds
Berenberg Bank,"ENVIRONMENT
In 2021, the funds supported and 
co-financed 17 
green energy projects with more than 280 wind and solar parks, as well as five glass fibre and data centre projects",funds
Berenberg Bank,"31
• The Berenberg Digital Infrastructure Debt Fund I launched in 2018 is under -
going an investment phase and provides support for digital infrastructure with 
a focus on fibre-optic networks in semiurban areas, thus helping to create the 
resource-conserving, future-proof infrastructure required for modern living 
and working
Additionally, we are committed to a sustainable and efficient expansion of rene -
wable energy in Germany through our membership and support of the German 
Renewable Energy Federation (BEE, Bundesverband Erneuerbare Energie e",investment
Berenberg Bank,"• In 2021, Berenberg assisted the equity financing of the building of new LNG-
powered ships for a well-known German shipping group",equity
Berenberg Bank,"EMPLOYEES
Outcomes and performance indicators
In the interest of our sustainable HR management and in order to meet our HR 
objectives, we want to offer our employees an attractive and healthy working envi -
ronment and to give them the best possible support for their further development",interest
Berenberg Bank,") the International Graduate Programme 
specialising in Equities, Investment Banking and Wealth and Asset management, 2",investment
Berenberg Bank,"Exercise: Berenberg offers a wide range of company sporting options and supports 
employees in taking part in joint sporting events and company runs, which are also 
held to raise funds for charitable causes",funds
Berenberg Bank,"The established global performance and development review ensures the 
mandatory annual review of compliance with regulatory requirements, such as 
the expertise test (»Sachkundeprüfung«) in Germany or the »fit-and-proper« test 
in the UK",regulatory
Berenberg Bank,"Over and above this, Berenberg offers a working-time account, which enables use 
of working-time credits in the best possible way for periods of release from duty",credit
Berenberg Bank,"We therefore also offer our 
customers sustainable investments, products and services that fulfil social and/or 
ecological criteria",investment
Berenberg Bank,"Management concepts and processes
Directives
The established Berenberg sustainability standards are vital for our actions in 
relation to sustainable investment",investment
Berenberg Bank,"In August 2018, we signed the United Nations-supported Principles for Responsible Investment (PRI)",investment
Berenberg Bank,"In the Investment Bank business division, an established ESG team has been 
operating within the area of equity research since January 2020, designed to help 
integrate ESG analysis into our core research products on the basis of internal 
frameworks",investment
Berenberg Bank,"SOCIETY
41
Objectives
We want to hire more staff in the Wealth and Asset Management business division 
to expand our sustainable investment competency strategically and in terms of 
substance, and to refine the corresponding processes and products",investment
Berenberg Bank,"We make every 
effort to identify the key factors essential to improving long-term earnings and the 
sustainability profile as part of a comprehensive ESG investment process",investment
Berenberg Bank,"Within the Investment Bank business division, we strive to assist companies 
in developing and communicating their sustainability strategy",investment
Berenberg Bank,"The knowledge we 
have acquired is also applied to other areas of investment banking at Berenberg 
and is an important resource for potential IPO candidates",investment
Berenberg Bank,"We make 
every effort to identify the material factors essential to improving long-term 
earnings and the sustainability profile as part of a comprehensive ESG investment process",investment
Berenberg Bank,"By cultivating an open dialogue between our investment and ESG experts, we are able to incorporate industry knowledge and experience into our ESG approach 
and continuously refine it",investment
