Bank Name,Financial Text,Financial Term
Commerz Bank,"data, Corporate 
Clients
 & Treasury Platforms, Group Operations, Group Business 
Platforms, Group Digital Transformation, Group Credit, Group Technology Foundations, Group Organisation
 & Security, and 
Group Securities  & Brokerage",credit
Commerz Bank,"Restrictions on voting rights and transfers; nature of  
voting control for employee shares We are not aware of any restrictions on voting rights or the transfer 
of shares",restrictions
Commerz Bank,"136 of the German Stock Corporation Act is suspended by law for the shares 
concerned",stock
Commerz Bank,"71b of the German Stock Corporation 
Act, rights may also not be exercised for treasury shares",stock
Commerz Bank,"Equity holdings that exceed 10% of the voting rights 
According to the German Securiti es Trading Act, every investor 
who reaches, exceeds or falls below certain proportions of voting 
rights through acquisition, sale or in any other way must notify us 
and the Federal Financial Supervisory Authority (BaFin)",equity
Commerz Bank,"84 of the 
German Stock Corporation Act and Art",stock
Commerz Bank,"85 of the German Stock 
Corporation Act",stock
Commerz Bank,"179 (1) 
sentence 1 of the German Stock Corporation Act",stock
Commerz Bank,179 (1) sentence 2 of the German Stock Corporation Act,stock
Commerz Bank,"The Board of 
Managing Directors is authoris ed, with the approval of the 
Supervisory Board, to exclude subscription rights in order to (i) 
exclude fractional amounts from th e subscription ri ghts; (ii) to 
the extent necessary, grant subscr iption rights to new shares to 
 
 
      
 6 Commerzbank Aktiengesellschaft  
holders of conversion or option rights; (iii) increase the share 
capital against contributions in kind; or (iv) issue new shares 
against cash contributions to th e extent of no more than 10% 
of the Bank’s share capital at  the time the authorisation 
becomes effective or at the time the authorisation is exercised, 
whichever amount is lower, if the issue price of the new shares is not significantly lower than the stock market price for shares 
of the same class at the time the issue price is determined",stock
Commerz Bank,"18 (1) of the German Stock Corporation Act, subject to the exclusion of shareholders’ subscription rights, 
the Board of Managing Directors may make use of the 
authorisation only up to a maxi mum total amount of 3% of the 
share capital existing at the time when the Annual General 
Meeting adopts the resolution",stock
Commerz Bank,"8 of the German Stock Corporation Act to acquire own shares in a volume of up to 10% of the share capital existing at the time 
of the resolution or of the share ca pital existing at the time of the 
exercise of the present authorisation, whichever amount is lower, until 12 May 2025",stock
Commerz Bank,"of the German Stock Corporation Act, the shares purchased on the basis of  this authorisation must at no 
time exceed 10% of the Bank’s share capital",stock
Commerz Bank,"At the discretion of the Boar d of Managing Directors, the 
shares may be acquired on the stock exchange or by means of a 
public purchase offer addressed to all shareholders",stock
Commerz Bank,"The Board of Managing Directors was authorised to use 
repurchased shares as follows in accordance with the resolution of the Annual General Meeting: 
 
• sale of treasury shares on the stock exchange or by means of 
an offer to all shareholders; 
• sale of treasury shares against a non-cash contribution for the 
purpose of acquiring companies, parts of companies or equity interests in companies as well as other assets; 
• in the event of the sale of treasury shares by means of an offer 
to all shareholders, the granting  of a subscription right for 
holders of conversion or option rights, as would be due to them 
after exercising the conversion  or option right or after 
fulfilment of a corresponding conversion or option obligation; 
• issue of treasury shares (i) as employee shares to employees up 
to a proportional amount of the share capital of €15,000,000",interest
