Bank Name,Financial Text,Financial Term
Deutsche Pfandbriefbank,"Annual Financial 
Statements 
Annual Financial Statements 1
Income Statement 1
Balance Sheet 2
Notes 5
Accounting Policies 5
Notes to the Income Statement 15
Notes to the Balance Sheet 17
Other Notes 27
Responsibility Statement 50
Independent Auditor’s Report 51
Report on the Audit of the Annual Financial Statements and of the Combined 
Management Report 51
Other Legal and Regulatory Requirements 57
Other Matter – Use of the Auditor’s Report 59
German Public Auditor Responsible for Engagement 59
Future-oriented statements 60
Imprint 60
Deutsche Pfandbriefbank AG    Annual Financial Statements 2022   1Income Statement 
Income Statement of Deutsche Pfandbriefbank AG for the time from 1 January to 31 December 2022
in € million 2022 2021
1",regulatory
Deutsche Pfandbriefbank,"Interest income from 
 a) lending and money market business 2,068 1,914
 b) fixed-income and government-inscribed debt 234 2,302 243
2",interest
Deutsche Pfandbriefbank,"Interest expenses -1,794 -1,574
508 583
3",interest
Deutsche Pfandbriefbank,"Current income from 
 a) equity shares and other variable-income securities - -
 b) participating interests - -
 c) investments in affiliated companies - -
- -
4",investment
Deutsche Pfandbriefbank,"Income from profit pooling, profit transfer or partial profit transfer agreements - -
5",profit
Deutsche Pfandbriefbank,"General and administrative expenses 
 a) personnel expenses 
  aa) wages and salaries -104 -113
  ab) social security contributions and expenses for pensions and other employee benefits -68 -172 -22
   thereof: for pensions €51 million (31",security
Deutsche Pfandbriefbank,"Write-downs and impairments to participating interests, investments in affiliated companies and 
securities treated as fixed assets -5 -2
14",investment
Deutsche Pfandbriefbank,"Income from write-ups to participating interests, investments in affiliated companies and securities 
treated as fixed assets - -
-5 -2
15",investment
Deutsche Pfandbriefbank,"Expenses from assumption of losses - -
17",loss
Deutsche Pfandbriefbank,"Net income/loss 114 182
24",loss
Deutsche Pfandbriefbank,"Profit/loss carried forward from the previous year - 37
114 219
25",profit
Deutsche Pfandbriefbank,"Refilling of profit participation capital/withdrawals from profit participation capital - -
27",profit
Deutsche Pfandbriefbank,"Bonds and other fixed-income securities 
 a) money market instruments 
  aa) of public-sector issuers - -
   thereof: eligible as collateral for Deutsche Bundesbank €0 million (31",bonds
Deutsche Pfandbriefbank,"2021: €0 million) 
- -
 b) Bonds and notes 
  ba) of public-sector issuers 4,985 4,873
   thereof: eligible as collateral for Deutsche Bundesbank €3,742 million (31",bonds
Deutsche Pfandbriefbank,"Equity shares and other variable-income securities 2 2
6",equity
Deutsche Pfandbriefbank,"Participating interests - -
 thereof: in banks €0 million (31",interest
Deutsche Pfandbriefbank,"2021: €0 million) 
 thereof: in Securities and Investment Institute €0 million (31",investment
Deutsche Pfandbriefbank,"Investments in affiliated companies 5 13
 thereof: in banks €0 million (31",investment
Deutsche Pfandbriefbank,"2021: €0 million) 
 thereof: in Securities and Investment Institute €4 million (31",investment
Deutsche Pfandbriefbank,"Overfunded plan assets - -
Total assets 53,131 54,846
Liabilities and equity
in € million 
1",equity
Deutsche Pfandbriefbank,"Liabilities to customers 
 a) registered Mortgage Pfandbriefe issued 3,429 3,321
 b) registered Public Pfandbriefe issued 5,547 6,306
 c) savings deposits 
  ca) with agreed notice period of three months - -
  cb) with agreed notice period of more than three months - -
- -
 d) other liabilities 9,218 8,401
  thereof: repayable on demand €1,535 million (31",deposit
Deutsche Pfandbriefbank,"Securitised liabilities 
 a) bonds in issue 
  aa) Mortgage Pfandbriefe 12,291 12,265
  ab) Public Pfandbriefe 2,148 2,092
  ac) other bonds 7,852 6,777
22,291 21,134
 b) other securitised liabilities - -
  thereof: money market instruments €0 million (31",bonds
Deutsche Pfandbriefbank,"Equity 
 a) share capital 380 380
 b) additional paid-in capital 1,639 1,639
 c) retained earnings 
  ca) legal reserve 13 13
  cb) reserve for shares in a controlling or major shareholding entity - -
  cc) statutory reserves - -
  cd) other retained earnings 703 717
716 730
 d) unappropriated retained earnings 128 159
2,863 2,908
Total liabilities and equity 53,131 54,846
1",equity
Deutsche Pfandbriefbank,"Contingent liabilities 
 a) contingent liabilities from settled rediscounted bills of exchange - -
 b) liabilities from guarantees and indemnity agreements 70 185
 c) liability arising from the provision of collateral for third-party liabilities - -
70 185
2",liability
Deutsche Pfandbriefbank,"Loans and advances 
Loans and advances are recognised at nominal value, in accordance with section 340e (2) of 
the HGB, with recognised loan loss provisions deducted",loss
Deutsche Pfandbriefbank,"The difference between the nominal 
value and the actual payment has characteristics of interest and is reported as prepaid expens-
es",interest
Deutsche Pfandbriefbank,"It is amortised in proportion to the principal and pro rata temporis, and recognised in the 
income statement under net interest income",interest
Deutsche Pfandbriefbank,"Pro-rata interest and similar amounts are assigned 
to the (sub-)item they relate to",interest
Deutsche Pfandbriefbank,"Risk provisioning 
All identifiable individual default risks in the lending business were covered by specific allow-
ances and provisions in the amount of expected losses",loss
Deutsche Pfandbriefbank,"As regards the measurement of specific impairments, expected individual cash flows also in-
clude interest and the discount to fair value, in addition to repayments",interest
Deutsche Pfandbriefbank,"To the extent that the 
receivable underlying interest calculations has already been written down or written off because 
of non-recoverability, no interest income will be recognised",interest
Deutsche Pfandbriefbank,"Gains or losses from discounting or 
unwinding of the discount in relation to risk provisioning are reported in “Write-downs and valua-
tion allowances of loans and advances and specific securities, as well as additions to loan loss 
Annual Financial Sta tements
Notes
Deutsche Pfandbriefbank AG    Annual Financial Statements 2022   6provisions” and “Income from amounts written back on loans and advances and specific securi-
ties, and from the reversal of loan loss provisions”, respectively",loss
Deutsche Pfandbriefbank,"Portfolio-based allowances and provisions in the lending business (general loan loss provision-
ing) are recognised for potential default risks in the lending business",loss
Deutsche Pfandbriefbank,"When determining 
amounts for general loan loss provisioning, pbb applies a model-based procedure using the 
regulatory risk parameters (probability of default – PD, loss given default – LGD) and contractu-
al information on loans and advances such as contractually agreed cash flows",loss
Deutsche Pfandbriefbank,"Regulatory risk 
parameters are transformed appropriately",regulatory
Deutsche Pfandbriefbank,"The transformation uses parameters that are based 
on historical loss experience",loss
Deutsche Pfandbriefbank,"Furthermore, the expected five-year swap rate for each currency is 
taken into account as an additional transformation parameter",swap
Deutsche Pfandbriefbank,General loan loss provisioning is determined through probability weighting of various scenarios,loss
Deutsche Pfandbriefbank,"The baseline scenario used by pbb to determine general loan loss provisioning is weighted at 
55% (31 December 2021: 55%): the positive scenario has a weighting of 5% (31 December 
2021: 5%) and the negative scenario has a weighting of 40% (31 December 2021: 40%)",loss
Deutsche Pfandbriefbank,"For 
loan receivables which were subject to a significant increase in the risk of losses or default 
since the loan was granted, lifetime expected credit losses are recognised",loss
Deutsche Pfandbriefbank,"pbb has two Russia-related public investment financings with a gross carrying amount 
totalling €24 million in its portfolio, which are guaranteed by the Federal Republic of Germany to 
a very large extent",investment
Deutsche Pfandbriefbank,"However, the war between Russia and Ukraine and the subsequent reciprocal sanctions have 
macroeconomic consequences such as reduced economic growth, significantly increased infla-
tion, higher interest rates and supply chain issues, all of which could have an indirect impact on 
pbb's financings",interest
Deutsche Pfandbriefbank,"The market value forecasts used in the model to determine general loan loss provisioning for 
office financings are based primarily on external sources",loss
Deutsche Pfandbriefbank,"Moreover, the risk of a further rise in interest rates was taken into account in the 
negative scenario, as this may not be offset – or only to a limited extent – by future rent in-
creases, especially for office properties outside of prime locations",interest
Deutsche Pfandbriefbank,"This decision was based on the almost complete withdrawal of COVID-19-related social re-
strictions and hence the significantly lowered risk of credit defaults in connection with the pan-
demic",credit
Deutsche Pfandbriefbank,"In 2022, pbb made three changes as regards the calculation of general loan loss provisioning: 
Firstly: regulatory risk parameters, including the probability of default (PD) and the loss given 
default (LGD), are used as a basis for determining the amount of expected credit losses of of 
general loan loss provisioning",loss
