Bank Name,Financial Text,Financial Term
Hamburg Commercial Bank,"Der Vorstand der Hamburg Commercia l Bank besteht aus: 
Ian Banwell (CEO), Ulrik Lackschewitz (Chief Risk Officer, 
CRO/Deputy CEO), Christopher Brody (Chief Investment Of-
ficer, CIO) sowie Marc Ziegner (CFO)",investment
Hamburg Commercial Bank,"Oktober  2017 be-
standen haben, kein Bestandsschutz besteht, da die Bank zum 
damaligen Zeitpunkt noch nicht dem Einl agensicherungs-
fonds angeschlossen war",loss
Hamburg Commercial Bank,"Die Bank ist ihren Kunden 
zugewandt und steht für Verlässlichkeit sowie Aufrichtigkeit, 
sie handelt entschlossen u nd zeitnah",loss
Hamburg Commercial Bank,"Grundlage des Chancenmanage-
ments der Bank sind die Analyse des makroökonomischen 
Umfelds, der Wet tbewerbsbedingungen in den relevanten 
Märkten und des Bankenumfelds sowie die Bewertung von 
Trends, aus denen sich geschäftliche Chancen ableiten lassen:  
- Wachstum in unseren Kernmärkten:  Wir nutzen unsere 
fundierte Asset -Expertise und unsere umfassende Markt-
kenntnis für profitables Wachstum in Deutschland sowie 
ausgewählten europäischen und internationalen Märkten, 
die ausreichend Wachstumspotenzial bieten",profit
Hamburg Commercial Bank,"Dabei orientiert sich das Risiko -und Liquiditätsmanag e-
ment unter Berücksichtigung von Profitabilitätsanforderun-
gen an der Optimierung der Passivseite",profit
Hamburg Commercial Bank,"Segment Treasury & Group Functions  
Die Aktivitäten im Segment Treasury & Group Functions kon-
zentrieren sich auf die Steuerung strategischer Investments sowie auf die Treasury -Funktion einschließlich der zentralen 
Steuerung der Liquiditäts - und Marktpreisrisiken der Bank, des 
Derivateportfolios sowie die Bewirtschaftung des Deckungs-
stocks",investment
Hamburg Commercial Bank,"Die bedeutsamsten Steuerungskennzahlen sind wie folgt definiert:  
Definition der bedeutsam sten  Steuerungskennzahlen 
Finanzielle Steuerungskennzahle n 
RoE nach Steuern  
(Return on Equity nach 
Steuern)   Der RoE nach Steuern ergibt sich aus der Relation des Konzernergebnisses zum durchschnittlichen bilanziellen Eigen-
kapital und zeigt die Verzinsung des Kapitals an",equity
Hamburg Commercial Bank,"CET1 -Quote 
(Common Equity Tier 1)   Die CET1- Quote ist definiert als Quotient aus hartem Kernkapital nach Abzügen und der Summe der risikogewichte-
ten Aktiva, ausgedrückt in Prozent",equity
Hamburg Commercial Bank,"Angesichts der Unsicherheit über die künftigen Erdgasli e-
ferungen aus Russland haben die EU -Staaten ihre Lagerbe-
stände an Erdgas erfolgreich massiv aufgestockt, sodass im Herbst die Lager in der EU teilweise einen Füllstand von 100  % 
erreichten, unterstützt von einem außergewöhnlich warmen Oktober und effektiven Sparanstrengungen der Industrie und der privaten Haushalte",stock
Hamburg Commercial Bank,"Die ameri-kanische Zentralbank erhöhte 2022 die Fed Funds Rate von 0 % bis 0,25  % auf 4,25 % bis 4,5 %, beginnend im März",funds
Hamburg Commercial Bank,"Seitdem 
konnte der Euro jedoch wieder Boden gut machen und schloss das Jahr bei 1,07 US -Dollar, unter anderem da sich die 
Finanzmärkte etwas beruhigt haben und die Suche nach ei-nem sicheren Hafen an Bedeutung verloren hat",loss
Hamburg Commercial Bank,"ENTWICKLUNGEN IN DEN FÜR DIE HAMBURG COMMERCIAL BANK RELEVANTEN MÄRKTEN/BRANCHEN  
Immobilienmärkte  
Die deutschen Immobilienmärkte entwickelten sich in 2022 
auf den Investment - und Vermietungsmärkten sowie bei den 
Nutzungsarten unterschiedlich",investment
Hamburg Commercial Bank,"Im Jahresverlauf sank das 
noch bis zum Frühjahr hohe Transaktionsvolumen auf den Ge-werbeimmobilien -Investmentmärkten deutlich, vor allem bei 
zuvor sehr gefragten Büro - und Logistikimmobilien",investment
Hamburg Commercial Bank,"Der nichtstationäre Einzelhandel, der 
besonders von den Eindämmungsmaßnahmen während der 
Pandemie und den Beschränku ngen für den stationären Ein-
zelhandel profitiert hatte, verzeichnete in den ersten zehn Monaten 2022 einen realen Umsatzrückgang von rund 8  % im 
Vergleich zum Vorjahreszeitraum",profit
Hamburg Commercial Bank,"Auch wenn gleichzeitig die Refinanzierungskosten anstie-
gen, dürfte der Zinsüberschuss der Banken bereits 2022 vom veränderten Zinsumfeld profitiert haben ",profit
Hamburg Commercial Bank,"Damit wird, insbesondere für deutsche Banken, der Weg zu ei-ner nachhaltig höheren Profitabilität nicht einfacher",profit
Hamburg Commercial Bank,"Weitere Kernthemen der EZB im SREP -
Prozess bildeten IT- und Cybersecurity, nicht zuletzt wiede-
rum vor dem Hintergrund des Kriegs in der Ukraine, sowie das Thema Nachhaltigkeit (Sustainability)",security
Hamburg Commercial Bank,"Im Segment Shipping profitierte die Bank unverändert von 
der im Jahr 2022 insgesamt sehr guten Wirtschaftslage in den 
Marktsegmenten Containerschiffe und Massengutfrachter",profit
