Bank Name,Financial Text,Financial Term
Metzler Bank,"Metzler International Investments plc
Financial Statements for the
Year Ended 30 September 2019
Audited
Table of Contents Page
 
Director's Report 3
 
Investment Reviews 8
 
Portfolio and Statement of Changes in Investments 51
 
Fund Summary Information 146
 
Statement of Comprehensive Income 151
 
Statement of Financial Position 158
 
Statement of Changes in Net Assets Attributable to the Holders of Redeemable Shares 165
 
Notes to the Financial Statements 177
 
Additional Disclosures to the Shareholders 237
Independent Auditor's Report 238
 
Depositary Report 240
 
Management and Administration 241
  2
Directors' Report
 
 
Principal Activities
 
The Company had no employees during the year ended 30 September 2019 or 30 September 2018",investment
Metzler Bank,"The Company has twenty two active sub funds (the ""Funds"" ) as at 30 September 2019, as follows:
 
1",funds
Metzler Bank,"Metzler Japanese Equity Fund 
5",equity
Metzler Bank,"Metzler European Equity Enhanced
17",equity
Metzler Bank,"Metzler Global Equity Enhanced
18",equity
Metzler Bank,"Metzler US Equity Enhanced
19",equity
Metzler Bank,"Metzler Japanese Equity Enhanced
20",equity
Metzler Bank,"Metzler German Equity Enhanced
21",equity
Metzler Bank,"Metzler China A Share Equity Fund
22",equity
Metzler Bank,"TheDirectors present their annual report together withtheaudited financial statements ofMetzler International Investments plc
(the ""Company"") for the year ended 30 September 2019",investment
Metzler Bank,"Metzler International Investments plcisaninvestment company with variable capital organised under thelaws ofIreland and
hasitsregistered office atKilmore House, Spencer Dock, North Wall Quay, Dublin 1,Ireland",investment
Metzler Bank,"TheCompany isauthorised asan
Undertaking forCollective Investment inTransferable Securities pursuant totheEuropean Union (Undertakings forCollective
Investment inTransferable Securities) (Amendment) Regulations 2016 (amending theEuropean Communities (Undertakings
forCollective Investment inTransferable Securities) Regulations 2011) andThe Central Bank (Supervision andEnforcement)
Act 2013 (Section 48(1)) (Undertakings for Collective Investment in Transferable Securities) Regulations 2019",investment
Metzler Bank,"Thepurpose forwhich theCompany isestablished isthecollective investment intransferable securities ofcapital raised from
thepublic, operating ontheprinciple ofrisk-spreading",investment
Metzler Bank,"TheCompany aims toprovide investors withtheopportunity toinvest in
avariety offunds investing inequities, equity related securities anddebt securities (such asbonds, treasury bills, commercial
paper, promissory notes, fixed interest and floating rate and zero coupon notes and certificates ofdeposit), open-ended
investment funds and warrants",investment
Metzler Bank,"Inaccordance withthemanagement agreement, theManager hasdelegated certain ofitsfunctions tothefollowing Investment
Managers:
lMetzler Asset Management GmbH (""MAM"") hasbeen appointed asInvestment Manager ofMetzler European Smaller
Companies, Metzler European Growth, Metzler Global Selection, Metzler International Growth, Metzler Eastern Europe, Metzler
European Concentrated Growth, Metzler European Small and Micro Cap, Metzler Euro Corporates Short Term, Metzler
Wertsicherungsfonds 90,Metzler Alternative Multi Strategy, Metzler Wertsicherungsfonds 98,Metzler Sovereign Select LCR,
Metzler European Dividend Sustainability, Metzler European Equity Enhanced, Metzler Global Equity Enhanced, Metzler US
Equity Enhanced, Metzler Japanese Equity Enhanced, Metzler German Equity Enhanced andMetzler Wertsicherungsfonds
92",investment
Metzler Bank,", Ltd has been appointed as Investment Manager of Metzler Japanese Equity Fund",investment
Metzler Bank,l Nissay Asset Management Corporation has been appointed as Investment Manager to Metzler Focus Japan,investment
Metzler Bank,"lChina Asset Management (Hong Kong) Limited hasbeen appointed asInvestment Manager toMetzler China AShare Equity
Fund",investment
Metzler Bank,"Launch of New Sub Fund
Launch of Additional Share Classes
Conversion to a Share Class Fund
Change of Name
Events since the Year End Date
It is the intention of the Directors to continue to develop the investment activities of the Company",investment
Metzler Bank,Adetailed performance review foreach Fund isincluded intheInvestment Reviews section onpages 7to49,investment
Metzler Bank,"Theperformance
figures of the Funds shown in the investment reviews are adjusted for any distributions made during the financial year",investment
Metzler Bank,"45 per share
Metzler Japanese Equity Fund / Class A EUR 0",equity
Metzler Bank,"20 per share
Metzler Japanese Equity Fund / Class B EUR 0",equity
Metzler Bank,"80 per share
Metzler Japanese Equity Fund / Class BN EUR 0",equity
Metzler Bank,"33 per share
Metzler Japanese Equity Fund / Class X EUR 0",equity
Metzler Bank,"05 per share
Metzler China A Share Equity Fund  / Class X EUR 0",equity
Metzler Bank,"Rainer Matthes - German
Keith Milne - Irish 
Damien Owens - Irish
Joachim Treppner - German
Deirdre Yaghootfam (independent director) - Irish
 
Directors' and Secretary's Interests
Soft Commissions
There were no soft commission arrangements in place during the year",interest
Metzler Bank,"None oftheDirectors, theCompany Secretary northeir families held, at30September 2019 orduring theyear, anybeneficial
interest in the shares of the Company",interest
Metzler Bank,"Thedirectors areresponsible forkeeping adequate accounting records which disclose withreasonable accuracy atanytime the
assets, liabilities, financial position andprofit orloss oftheCompany andenable them toensure thatthefinancial statements
comply with theCompanies Act2014, theEuropean Communities (Undertakings forCollective Investment inTransferable
Securities) Regulations 2011 andtheCentral Bank (Supervision andEnforcement) Act2013 (Section 48(1)) (Undertakings for
Collective Investment inTransferable Securities) Regulations 2019",profit
Metzler Bank,"Regulation 43oftheCentral Bank (Supervision and Enforcement) Act2013 (Section 48(1)) (Undertakings forCollective
Investment inTransferable Securities) Regulations 2019, ""Transactions involving Connected Persons"" states that any
transaction carried outwith these ""connected persons"" must becarried outasifnegotiated atarm's length andmust beinthe
best interests of the shareholders",investment
Metzler Bank,"6
Directors' Report
Audit Committee
The Directors have considered the nature of the company, as an investment company, as well as its size and taking both into
account, they have decided that there is no need for a separate audit committee as the Board of Directors fulfils this role",investment
Metzler Bank,"On behalf of the Board on:
Keith Milne
DirectorDamien Owens
Director
7
30 January 2020
Investment Reviews
Metzler European Smaller Companies
Investment Objective
Fund Report
Performance in review period % -2",investment
Metzler Bank,04 (Class X)Wedivested stocks with persistent poor performance,stock
Metzler Bank,"Themacroeconomic and, inparticular, thepolitical climate forEuropean equity markets was
difficult throughout theentire reporting period",equity
Metzler Bank,"From October, theequity markets were
virtually cleared",equity
Metzler Bank,"Atthebeginning oftheyear, thetrend ontheequity markets reversed",equity
Metzler Bank,"Market
participants viewed thepolitical risks slightly more positively, andequities benefitted from
the central banks’ interest rate policy",interest
Metzler Bank,"Consequently, the equity markets recovered
considerably from theheavy losses they hadsuffered, however, again largely irrespective of
fundamental corporate data",loss
Metzler Bank,"InMay, USPresident Trump putanendtothestock market
recovery viaaTwitter statement and reignited thetrade conflict",stock
Metzler Bank,"The investment objective oftheFund istoachieve long term capital appreciation by
investing predominantly inEuropean equities andequity related securities, insuch away
that medium tosmall companies, measured bymarket capitalization, willform themain
focus of the portfolio",investment
Metzler Bank,"Inthereporting period, weadded solid, more defensive growth stocks totheportfolio",stock
Metzler Bank,"Stocks intheBritish medical technology firmBTG also grew strongly with afigure of
48%",stock
Metzler Bank,"We realised profits and fully divested our position in
Entertainment One",profit
Metzler Bank,"Meanwhile, stocks intheBritish online fashion retailer Asos (-47%)
were among thelosers inthefund and wesold ourshareholding infull",stock
Metzler Bank,"The French stock
Maisons du Monde also compromised fund performance with a minus of 43%",stock
Metzler Bank,"Wealso
added two manufacturers ofpharmaceutical products forveterinary applications: We
included stocks oftheFrench company Virbac and theBritish manufacturer Dechra
Pharmaceuticals",stock
Metzler Bank,"8
Investment Reviews
Metzler European Smaller Companies
Structure of the Fund as at 
30",investment
Metzler Bank,"54 (Class X) (EUR)
ISIN IE0002921975 (Class A)
IE00B40ZVV08 (Class B)
IE00BGJWXR61 (Class BN (GBP))
IE00BF2FJT96 (Class BN)
IE00BYY02C96 (Class C)
IE00B5WKN813 (Class X)
WKN 987735 (Class A)
A0YAYL (Class B)
A2N486 (Class BN (GBP))
A2H50Q (Class BN)
A14V5S (Class C)
A1JCJX (Class X)
  9
Investment Reviews
Metzler European Growth
Investment Objective
Fund Report
Performance in review period % -1",investment
Metzler Bank,"25  (Class X)Wedivested ourentire holding intheSwedish mining group Boliden, aswellasinSmith &
Nephew (medical technology, Great Britain), Greencore (food, Ireland) andNibe (industrial
conglomerate from Sweden) ataprofit",profit
Metzler Bank,"Following astrong price rally, wealso reduced our
position intheDanish medical technology firmColoplast andsecured profits forthefund",profit
Metzler Bank,"Wealso divested ourstocks oftheBritish online fashion retailer Asos infull:
The company isfighting against falling margins and tougher competition",stock
Metzler Bank,"We further
disposed ofallshares intheDanish biotech company Novozymes, aswellasourstocks in
the German automotive supplier Continental",stock
Metzler Bank,"Thestocks thatcontributed themost totheperformance oftheportfolio included Wirecard
(financial services provider, Germany), Danone (food &beverages, France) and ASML
(semiconductors, Netherlands)",stock
Metzler Bank,"The investment objective oftheFund istoachieve long term capital appreciation by
investing predominantly inEuropean equities andequity related securities, insuch away
that companies of growth sectors will be the main focus of the investment portfolio",investment
Metzler Bank,"Atthebeginning ofthereporting period, theinitially further escalating trade conflict between
theUSA and China, weaker economic data, continued interest rate increases bytheUS
Federal Reserve together withaseries ofpolitical risks caused aninitial downturn inequity
prices",interest
Metzler Bank,"The outlook became brighter from thebeginning of2019: The excessive price
declines ontheequity markets were largely reversed bytheendofthereporting period",equity
Metzler Bank,"In
May, USPresident Trump called anend tothestock market recovery viaTwitter and
reignited thetrade conflict",stock
Metzler Bank,"10
Investment Reviews
Metzler European Growth
Structure of the Fund as at 
30",investment
Metzler Bank,"95 (Class X) (EUR)
ISIN IE0002921868 (Class A)
IE00B3ZLWY60 (Class B)
IE00BGJWXT85 (Class BN (GBP))
IE00BFNQ8943 (Class BN)
IE00B4YWB283 (Class C)
IE00BFNQ8C78 (Class X)
WKN 987736 (Class A)
A0YAYM (Class B)
A1C31F (Class C)
A2N487 (Class BN (GBP))
A2H8W9 (Class BN)
A2H8XB (Class X)
  11
Investment Reviews
Metzler Global Selection
Investment Objective
Fund Report
Performance in review period % 3",investment
Metzler Bank,"48 (Class BN)Theinvestment objective oftheFund istoachieve long term capital appreciation bygaining
exposure toequity markets byinvesting predominantly inaportfolio ofequities, equity
related securities and Investment funds which aredealt inonaRecognised Market",investment
Metzler Bank,"The
Fund may invest upto100% ofitsnetassets inInvestment Funds inaccordance with the
conditions set down by the Central Bank",investment
Metzler Bank,"Atthebeginning oftheyear under review and again inDecember, prices ontheglobal
equity markets fellsharply duetorecession fears",equity
Metzler Bank,"Moreover, market
participants feared that companies’ profit margins would decrease",profit
Metzler Bank,"Inthesummer
months, indications forareturn toamore expansive monetary policy grew –andtheequity
markets recovered accordingly",equity
Metzler Bank,"Thefund, which isprimarily invested inequities, started themonth ofOctober witha
netequity exposure ofjustbelow 97%",equity
Metzler Bank,"Both tactical indicators aswell asour
riskmanagement also resulted inindications thatinvolved areduction inequity exposure",equity
Metzler Bank,"Especially throughout December, thisenabled ustoabsorb some oftheprice losses",loss
Metzler Bank,"Furthermore, weexpect thecycle ofinterest rate increases intheUSA toslow down
significantly",interest
Metzler Bank,"Atthebeginning ofApril, equity exposure was initially increased byapprox",equity
Metzler Bank,"Following the
surprising escalation ofthetrade conflict between theUSA andChina, wesawanincreased
riskfordownturns inshare prices, andtherefore reduced thenetequity exposure through
share index futures byupto10% bythemiddle ofMay",equity
Metzler Bank,This limited price losses,loss
Metzler Bank,"Inthe
second halfofMay andthebeginning ofJune, wetook advantage ofthelower price levels
toincrease thenetequity exposure byapprox",equity
Metzler Bank,"12percentage points, especially since the
relative attractiveness ofequities compared tobonds hadsignificantly improved",bonds
Metzler Bank,"Inthesecond halfofAugust andthebeginning ofSeptember,
wethen increased theequity exposure again byaround 20percentage points –especially in
view oftheanticipated more expansive monetary policy from theUSFederal Reserve and
theECB",equity
Metzler Bank,"Attheend ofSeptember, netequity exposure stood atjustunder 96% ofall
investments",investment
Metzler Bank,"12
Investment Reviews
Metzler Global Selection
Structure of the Fund as at 
30",investment
Metzler Bank,"90 (Class Y)
ISIN IE0003722596 (Class A)
IE00BF2FJJ98 (Class BN)
IE00B9HHB700 (Class Y)
WKN 987737 (Class A)
A2H50F (Class BN)
A1J8U2 (Class Y)
  13
Investment Reviews
Metzler Japanese Equity Fund
Investment Objective
Fund Report
Performance in review period % -7",investment
Metzler Bank,"00 (Class X)The investment objective oftheFund istoachieve long term capital appreciation by
investing predominantly inequities ofcompanies located inJapan, comprised intheTokyo
Stock Price Index (TOPIX)",investment
Metzler Bank,"Forthereporting period, both sector allocation and stock selection were negative, with
larger impact from stock selection",stock
Metzler Bank,"Interms ofstock selection, overweight positions inDai-ichi Seiko and NEC (Electric
Appliances), Nihon Unisys and TIS (Information &Communication), Itochu Corp",stock
Metzler Bank,"With
value stocks continuing tounderperform growth stocks formost partofthereporting period
except forsome momentary bounces, theportfolio hasfailed toproduce attractive returns",stock
Metzler Bank,"Despite thedifficult conditions, webelieve bottom-up individual
stock selection willprevail, andwehave been gradually increasing theover (under)-weights
ofourhigh (low) convictions",stock
Metzler Bank,"14
Investment Reviews
Metzler Japanese Equity Fund
Structure of the Fund as at 
30",investment
Metzler Bank,"20 (Class X)
ISIN IE0003722711 (Class A)
IE00B42CGK39 (Class B)
IE00BD1K6K10 (Class BN)
IE00BD1K6L27 (Class X)
WKN 989437 (Class A)
A0YAYN (Class B)
A2H8XN (Class BN)
A2H8XP (Class X)
  15
Investment Reviews
Metzler International Growth
Investment Objective
Fund Report
Performance in review period % 6",investment
Metzler Bank,"The investment objective oftheFund istoachieve long term capital appreciation by
investing predominantly inequities and equity related securities ofinternational growth
companies",investment
Metzler Bank,"The escalating trade conflict between theUSA and China, theweaker economic data,
continued interest rate hikes bytheUSFederal Reserve, andaseries ofpolitical risks all
initially sent share prices plummeting",interest
Metzler Bank,"Wetook advantage offalling prices onequity markets inthefinal three months of2018 to
further increase ourpositions inseveral selected technology andsemi-conductor stocks at
what we believe to be favourable initial price offerings
For instance, webuilt upour shareholdings inthe semiconductor company ASML
(Netherlands), aswellasintheUStechnology company Microsoft (software andhardware)",stock
Metzler Bank,"Steady organic growth and
gradually rising margins make this defensive growth stock anattractive investment",investment
Metzler Bank,"In
contrast, wesold ourentire stake inRockwell Automation (automation technology, USA)
and Blackstone (private equity, USA), securing gains for the fund",equity
Metzler Bank,"16
Investment Reviews
Metzler International Growth
Structure of the Fund as at 
30",investment
Metzler Bank,"8%
  17
Investment Reviews
Metzler Eastern Europe
Investment Objective
Fund Report
Performance in review period % 14",investment
Metzler Bank,"Prices ontheGreek stock
market rose by14",stock
Metzler Bank,"2% during thereporting period, measured against theMSCI Greece
Index The investment objective oftheFund istoachieve long-term capital appreciation by
investing predominantly inequities and equity related securities ofcompanies located in
Europe, with atleast twothirds oftheFund’s assets invested inEastern European equities
and equity related securities",investment
Metzler Bank,"Inthefourth quarter of2018, prices ontheequity markets caved in,confirming investors’
recession fears",equity
Metzler Bank,"Signs ofrapprochement emerged inthetrade dispute between theUSA and
China, andtheFederal Reserve announced thatitwould refrain from further interest rate
increases fornow",interest
Metzler Bank,"Inthisenvironment, the
Eastern European stock exchanges performed comparatively well",stock
Metzler Bank,Falling oilprices initially depressed prices ontheRussian stock exchanges,stock
Metzler Bank,"ThePolish stock market managed toescape theglobal price slump inthefourth quarter of
2018",stock
Metzler Bank,"Inthesecond half oftheyear under
review, performance oftheequity markets inPoland was primarily driven byweak financial
stocks, the heavyweight inthe MSCI Poland Index",stock
Metzler Bank,"Historically low interest rates,
increasingly strict regulation andpotential losses from CHF mortgages impacted prices",loss
Metzler Bank,"InTurkey, aninterest rate increase to24",interest
Metzler Bank,"Inthesecond andthird quarter of2019, wefurther
increased ourpositions intheBosporus region, forinstance, with stocks inthegroceries
discount store BIM, the automobile manufacturer Ford Otosan and the agricultural
machinery manufacturer Turk Traktor",stock
Metzler Bank,"TheTurkish central bank reduced its
keyinterest ratefrom 24",interest
Metzler Bank,"Measured against theMSCI TIndex, theTurkish stock exchange posted gains of
26",stock
Metzler Bank,"18
Investment Reviews
Metzler Eastern Europe
Structure of the Fund as at 
30",investment
Metzler Bank,"42 (Class X)
ISIN IE0000111876 (Class A)
IE00B42GXQ04 (Class B)
IE00BFNQ8G17 (Class BN)
IE00BFNQ8H24 (Class X)
WKN 577999 (Class A)
A0YAYP (Class B)
A2H8XE (Class BN)
A2H8XF (Class X)
  19
Investment Reviews
Metzler Focus Japan
Investment Objective
Fund Report
InQ22019, inApril, theJapanese equity started toriseearly inthemonth, driven byfactors
such asarelease showing anupturn inthemanufacturing PMI inChina, and ISM
manufacturing Index intheUS",investment
Metzler Bank,"InMay, theJapanese equity pulled back amid concerns over a
setback intheglobal economy caused bytrade frictions, with theUShiking tariffs on
Chinese imports, imposing sanctions onHuawei, andsetting additional tariffs onMexican
imports",equity
Metzler Bank,"InJune, theJapanese equity turned upastheFed chair suggested interest rates could
come down after thecorrection inearly June, causing concerns ontheUSimposing
additional tariffs onMexican imports",interest
Metzler Bank,"InQ32019, inJuly, theJapanese equity rallied on1)progress seen with trade talks
between theUSandChina atasummit meeting held attheG20, and2)strength ontheUS
market brought byexpectations formonetary easing",equity
Metzler Bank,"The equity market continued tofluctuate asa
result ofincreasing converns oneconomic recession",equity
Metzler Bank,"InSeptember, theJapanese
equity rebounded onreopening ofUS-China trade talks and higher USinterest rates",interest
Metzler Bank,"USlong-term interest rates rose, partly on
an improvement in US economic indicators, and the Yen weakened",interest
Metzler Bank,"The investment objective oftheFund istoachieve long term capital appreciation by
investing predominantly inequities and/or equity related securities ofcompanies located in
Japan, which arelisted ortraded onrecognised markets inJapan",investment
Metzler Bank,"The Fund willforthe
most partbeinvested inupto35securities, however thisnumber may beincreased ifthe
Investment Manager deems appropriate",investment
Metzler Bank,"5% inJanuary toMarch 2019, resulting inaloss
of-12",loss
Metzler Bank,"InOctober 2018, Japanese stock market plunged asinvestors turned risk-off amid arisein
USlong-term interest rates and concern over aslowdown inChinese economy",interest
Metzler Bank,"In
November, thenews onareduction inApple's iPhone production, themidterm election
results intheUS,trade friction between theUSandChina, andweakness intheUStech
stocks weighed ontheJapanese stock markets",stock
Metzler Bank,"The FOMC's decision tohike interest
ratewasitsfourth during 2018",interest
Metzler Bank,"InQ12019, themarket dropped significantly inthefirsttrading session oftheyear, but
responded positively tothestrength onUSmarket when theFedadopted acautious stance
onfurther interest rateincrease",interest
Metzler Bank,"3% inQ3,resulting inaloss of0",loss
Metzler Bank,"20
Investment Reviews
Metzler Focus Japan
Performance in review period % -1",investment
Metzler Bank,"24 (Class BN)
ISIN IE00B1F1VT06 (Class A)
IE00BF2FJM28 (Class BN)
WKN A0LCBJ (Class A)
A2H50J (Class BN)
  21
Investment Reviews
Metzler European Concentrated Growth
Investment Objective
Fund Report
Performance in review period % -5",investment
Metzler Bank,"We took
advantage oftheexcellent performance ofshares inColoplast, theDanish manufacturer of
products forstool and urinary incontinence, and divested ourstake ataprofit during the
reporting period",profit
Metzler Bank,"Wealso reduced ourengagement inAssa Abloy, aSwedish group that
manufactures and distributes electromechanical products, such aslock systems and
security doors, and realised profits",profit
Metzler Bank,"New stocks also include
theinsurer Prudential andtheSwiss dentistry company Straumann, which iswellpositioned
in the market for dental implants",stock
Metzler Bank,"Inparticular, stocks inHelloFresh, Danone and ASM International made apositive
contribution toperformance inthereporting period",stock
Metzler Bank,"The investment objective oftheFund istoachieve long term capital appreciation by
investing predominantly inEuropean equities andequity related securities, insuch away
that companies ofgrowth sectors willbethemain focus oftheinvestment portfolio",investment
Metzler Bank,Price losses inthefourth quarter of2018 almost consistently hitdouble digits,loss
Metzler Bank,"However,
theequity markets recovered again inthenew year",equity
Metzler Bank,"This affected cyclical stocks, whereas ultra-
defensive stocks noted increased demand",stock
Metzler Bank,"In
particular, several companies were challenged byprofit warnings inthefirst half ofthe
reporting period",profit
Metzler Bank,"The price oftheBritish online fashion retailer Asos collapsed when in
December thecompany surprisingly lowered theprofit targets fortheongoing 2018/19
financial year",profit
Metzler Bank,"Inthethird quarter of2019, wedivested thisstock infull",stock
Metzler Bank,"The price of
Fresenius Medical Care also crashed inthefourth quarter of2018 when theleading
German supplier ofdialysis products and services revised itsexpected profit growth
downwards",profit
Metzler Bank,"22
Investment Reviews
Metzler European Concentrated Growth
Structure of the Fund as at 
30",investment
Metzler Bank,"77 (Class B)
ISIN IE00B57RJ011 (Class B)
WKN A1JCJZ (Class B)
  23
Investment Reviews
Metzler European Small and Micro Cap
Investment Objective
Fund Report
Performance in review period % -14",investment
Metzler Bank,"The company’s figures were
significantly weaker than expected, and theprofit forecast had tobecorrected downward
twice",profit
Metzler Bank,Wedisposed ofthestock,stock
Metzler Bank,"Stocks inAccessor Technology Group (-70%), adeveloper
ofsolutions foraccess systems formajor events listed inLondon, initially gained
significantly, butthen suffered severely from thesell-off ofsmall caps",stock
Metzler Bank,"Theannouncement
ofhigh investments also pulled theshare down",investment
