Bank Name,Financial Text,Financial Term
NRW Bank,"All this requires investments, for which promotional banks like 
NRW",investment
NRW Bank,"BANK provide support in the form of promotional pro -
grammes, equity finance and advice",equity
NRW Bank,")
Annual Report 2021
3 Editorial
Investment in digitalisation Investment in sustainabilityOpportunities 
for NRW arising 
from the twin 
transformationSave resources and 
carbon through  
automated processes
Open up new markets 
through digital progress 
and innovative business 
modelsImprove processes  
through optimised  
IT infrastructurer
Mitigate climate change 
impacts for municipalities 
through renaturation, 
greening and flood 
 protectionCut energy and  
production costs
Enhance sustainable 
image and reputation 
among consumers
In our interview,  
Dr",investment
NRW Bank,"BANK supports 
 organisations in their investments in this field in order to further push ahead digitalisation  
in the SME sector",investment
NRW Bank,"Tremaze is a start-up from 
Dortmund which digitalises 
non-profit organisations of  
the social infrastructure, from 
kindergartens to youth centres 
to addiction treatment centres",profit
NRW Bank,"We Turn Researchers into Company Founders
Annual Report 2021
8
Investments in digitalisation and sustainability secure growth opportunities for SMEs, 
as they help save resources, leverage efficiency potential and develop new output 
 markets",investment
NRW Bank,"In 2021, we sup -
ported 50 new projects, non-profit organisations and initiatives which, 
among other things, sustainably promote digital participation or protect 
nature",profit
NRW Bank,"The online 
learn  ing platform introduces interested people  
to beekeeping in an easily accessible way and 
sim plifies training through online seminars",interest
NRW Bank,"BANK  
 19 Report on Public Corporate Governance
 36 Declaration of Conformity
 37 Report of the Supervisory Board
 39 Management Report
 95 Balance Sheet
 99 Income Statement
 101 Notes
 151 Cash Flow Statement
 153 Statement of Changes in Equity
 154 Responsibility Statement
 155 Reproduction of the Independent Auditor´s Report
 164 Members of the Advisory Board for Housing Promotion
 167 Members of the Advisory Board
 172 Members of the Parliamentary Advisory Board
 174 Organisation Chart
 176 NRW",equity
NRW Bank,"The instruments used 
include, in particular, promotional loans with low interest rates 
and / or long-term fixed-interest options, the provision of equity 
and mezzanine capital, risk sharing with house banks as well as 
advisory services",interest
NRW Bank,"Other funding options include funds 
made available to the Bank by KfW Bankengruppe, Landwirt -
schaftliche Rentenbank, the European Investment Bank (EIB) as 
well as the Council of Europe Development Bank (CEB)",investment
NRW Bank,"The table below shows a breakdown of the volume of new com -
mitments by promotional fields:for reduced interest rates on promotional loans is a key com -
ponent of this “Förderleistung”",interest
NRW Bank,"BANK refrains 
from putting its equity capital in alternative investments yielding 
higher interest and, hence, income by using this capital to 
 refinance promotional loans granted at reduced interest rates",investment
NRW Bank,"BANK takes into account the existing offers by the Federal 
Promotional Institutes in the arrangement of its promotion and 
supports the use of federal and European promotional funds  
in the State of North Rhine-Westphalia",funds
NRW Bank,"These two programmes offer small and medium-sized 
enterprises low-interest loans for working capital requirements 
and investments that can be used for a wide range of purposes",investment
NRW Bank,"Subject to certain conditions, optional 
liability releases may be applied for as an additional promotional 
component for these offerings to relieve the risk for the on-lending  
house banks",liability
NRW Bank,"Banks and savings banks may also obtain global 
loans to refinance their own loans to SMEs at favourable interest 
rates and enter into syndicate partnerships with NRW",interest
NRW Bank,"BANK offers young, innova -
tive as well as small and medium-sized companies a comprehen -
sive range of mezzanine and equity finance products",equity
NRW Bank,"Through 
its complementary activities as a fund investor in third-party 
managed funds, the bank also stimulates the development of 
the venture capital and private equity market in North Rhine-
Westphalia",funds
NRW Bank,"The introduction of negative funding rates for house banks 
and negative interest rates for the programme-based direct 
business with municipalities in 2021 made it possible to regain 
scope for interest rate reductions that had been lost due to the 
low interest rates, which increased the attractiveness of many 
promotional loan programmes",interest
NRW Bank,"BANK’s economic promotion activities comprise a wide 
range of promotional instruments such as low-interest promo -
tional loans, risk sharing with house banks, equity strengthening 
solutions as well as advisory services",interest
NRW Bank,"With its range of economic 
promotion products, the Bank helps lay the foundations for a 
prospering economy by supporting creative action, economically 
sound investments and technological progress",investment
NRW Bank,"Measures for building refurbish -
ment, the modernisation of sanitary installations, the reduction 
of barriers or the protection against burglary benefit from special 
promotion in the form of low-interest loans, regardless of income",interest
NRW Bank,"BANK therefore offers favourable terms and 
conditions to encourage corporate investment in social and public  
infrastructure projects",investment
NRW Bank,"BANK also supports investments 
by business angels in innovative, newly established or young 
companies through advisory, support and mediation activities",investment
NRW Bank,"BANK’s products help enhance  
the housing supply in North Rhine-Westphalia by promoting the 
construction of new housing as well as the modernisation of the 
existing housing stock",stock
NRW Bank,"BANK
17
for selected investment projects to provide effective stimulation 
in selected infrastructure sub-segments",investment
NRW Bank,"BANK  
offers the North Rhine-Westphalian municipalities, their enter -
prises and municipal cooperatives specific low-interest and long-
term investment loans, which are extended directly",investment
NRW Bank,"Municipalities  
may use these loans for their investment measures",investment
NRW Bank,"As a general 
rule, all investments in municipal infrastructure are financed via  
this promotional offering, with investments in climate protection 
measures receiving an additional interest subsidy since 2021",investment
NRW Bank,"The State has assumed permanent institutional 
and guarantor liability for NRW",liability
NRW Bank,"The members of the Managing Board are committed to the 
interest of the Bank and fulfil their tasks in virtue of their office 
in an independent, unbiased and selfless manner",interest
NRW Bank,"No member 
of the Managing Board pursued personal interests when making 
decisions; no gifts, other benefits or promises thereof were 
solicited or accepted neither personally nor on behalf of third 
parties",interest
NRW Bank,"Potential conflicts of interest that may occur in the 
context of other mandates are managed in a forward-looking 
manner in the meaning of the PCGC",interest
NRW Bank,"The respective directors’ and officers’ liability insurance policy (D&O insurance) 
for the members of the Managing Board, the Supervisory Board 
and the Board of Guarantors for 2022",liability
NRW Bank,"Increasing requirements in the banking environment and constant  
amendments of the regulatory conditions require continuous 
further training",regulatory
NRW Bank,"The Managing Board is committed to ongoing further training, 
especially in the field of regulatory amendments and require -
ments in the banking environment; Managing Board members 
undertake appropriate further training measures at their own 
initiative",regulatory
NRW Bank,"BANK, also with respect  
to regulatory requirements",regulatory
NRW Bank,"In accordance with 
Annual Report 2021 Report on Public Corporate Governance in the Year 2021
21
No business or personal relations that give rise to a material and 
not only temporary conflict of interest exist between the members  
of the Supervisory Board and NRW",interest
NRW Bank,"Potential conflicts 
of interest that may occur in the context of other mandates are 
managed in a forward-looking manner in the meaning of the PCGC",interest
NRW Bank,"The Supervisory Board also addressed the recommenda -
tions adopted as a result of the evaluation carried out in 2020, 
which could be implemented only in part due to coronavirus-  
related restrictions",restrictions
NRW Bank,"No relevant conflicts of interest were disclosed to the Supervisory  
Board in the fiscal year",interest
NRW Bank,"No member of the Supervisory Board 
pursued personal interests when making decisions",interest
NRW Bank,"The Board 
of Guarantors resolves on the approval of the annual financial 
statements, passes a resolution on the appropriation of profits 
and appoints the auditor",profit
NRW Bank,"BANK’s remuneration system must meet 
the requirements of the conservative remuneration policy of a 
competition-neutral promotional bank whose primary objective  
is not the generation of profits",profit
NRW Bank,"This Commission is com -
posed of the Heads of Internal Audit, Human Resources, Credit 
Management (back office) and Risk Control as well as the 
 Compliance Officer",credit
NRW Bank,"In both contracts, the former clause requiring a salary review 
after three years at the latest to compensate for any loss of 
purchasing power was deleted",loss
NRW Bank,Each pension account carries an individual interest rate,interest
NRW Bank,"The amount of the pension in the event of invalidity depends  
on the entitlement achieved as well as on the additionally agreed 
attributable period credited at the time the insured event occurs",credit
NRW Bank,"This remuneration  
structure very well reflects the underlying idea according to which  
the generation of profits is not the primary business objective",profit
NRW Bank,"2) Employer contributions to social security insurance, benefit payments and allocations to the provision for old-age pensions incl",security
NRW Bank,interest expenses,interest
NRW Bank,"3) Employer contributions to social security insurance, benefit payments and allocations to the provision for old-age pensions incl",security
NRW Bank,interest expenses,interest
NRW Bank,"In accordance with regulatory requirements and the provisions 
in the Statutes, the Supervisory Board addressed the business, 
promotional and risk strategy for the years 2022 to 2025, which 
had previously been discussed by the Promotional Committee 
and the Risk Committee",regulatory
NRW Bank,"BANK for the Fiscal Year 2021
parameters of its conservative investment strategy",investment
NRW Bank,"This income 
is used to finance the promotional business, to secure the viability  
of the Bank, also with regard to the creation of its own, non-  
interest-bearing provisions and reserves, and to finance the 
banking operations",interest
NRW Bank,"to reduce 
the interest rates on promotional loans, is a key aspect of 
NRW",interest
NRW Bank,"The promotional instruments 
used include, in particular, loans with below-market interest 
rates and / or long-term fixed-interest options, the provision of 
equity and mezzanine capital, risk sharing with house banks as 
well as advisory services",interest
NRW Bank,"BANK takes into account the 
existing offers by the Federal Promotional Institutes in the 
arrange  ment of its promotion and supports the use of federal 
and European promotional funds in the State of North Rhine-
Westphalia",funds
NRW Bank,"BANK conducts 
its activities in accordance with commercial principles, taking into  
account the public welfare on a non-competitive and non-profit-
oriented basis",profit
NRW Bank,"BANK”, it is 
a legally independent promotional bank engaging in competition-
neutral promotional business which permanently benefits from 
institutional and guarantor liability as well as from an explicit 
statutory funding guarantee from its guarantor",liability
NRW Bank,"BANK’s 
objective of acquiring (additional) EU funds for promotion in 
North Rhine-Westphalia",funds
NRW Bank,"cash management  
strategy, funding strategy and investment / trading strategy, as 
well as resource-related topics such as human resources and IT",investment
NRW Bank,"Operating income comprises net interest income and net 
commission income as well as net income from trading operations  
and the other operating result",interest
NRW Bank,"The CIR (before “Förderleistung”) is the ratio of administrative 
expenses excluding “Förderleistung” to net interest and com -
mission income before “Förderleistung”",interest
NRW Bank,"The business volume comprises total assets, contingent liabilities,  
other commitments as well as administered funds",funds
NRW Bank,"BANK defines the net asset value as the equity capital 
shown in the balance sheet with all its components plus allowance 
reserves",equity
NRW Bank,"The volume of new commitments comprises the commitments 
for promotional funds made in the current fiscal year",funds
NRW Bank,"Sales 
revenues in the contact-intensive service sectors and the physical 
retail stores that had still been restricted in the winter increased 
noticeably",revenue
NRW Bank,"As COVID-19 restrictions in Germany were eased in 
the second quarter of 2021, growth showed a strong counter-  
movement to the previous drops in GDP",restrictions
NRW Bank,"This was due in partic -
ular to the additional scope for interest rate reductions gained in 
the course of the year",interest
NRW Bank,"Thus, the introduction of negative funding 
rates for on-lending house banks as well as negative interest 
rates in the programme-based municipal direct business helped 
to make many promotional programmes more attractive",interest
NRW Bank,"to projects in 
the context of the sustainable transformation or investments in 
the modernisation of the infrastructure",investment
NRW Bank,"The stock markets remained unimpressed by the developments 
from the summer onwards and trended friendly within a relative -
ly narrow range of fluctuation",stock
NRW Bank,"by serving as the paying agent for 
grants awarded for equity reasons",equity
NRW Bank,"In the individual promotional fields, 
funds totalling € 3",funds
NRW Bank,"Moreover, since last 
August, municipalities have benefited from particularly favourable  
conditions for investments in climate protection thanks to addi -
tional interest rate subsidies",investment
NRW Bank,"BANK increased 
the available limit for investments in third-party-managed venture 
capital and private equity funds last year",investment
NRW Bank,"Besides improved conditions for investment loans, 
the scope for taking out liquidity loans was also significantly 
increased for municipalities in the affected regions",investment
NRW Bank,"31, 2020  
€ millions
Net interest income 202",interest
NRW Bank,"0
Taxes on income and revenues −1",revenue
NRW Bank,"2
Net income / loss for the year 153",loss
NRW Bank,"BANK’s trading book contains short-term trading trans-
actions with interest rate products",interest
NRW Bank,Interest-related expenses totalled € −227,interest
NRW Bank,"8 million, non-interest expenses 
for provisions for pensions and additional benefits for employees 
and pensioners of Portigon AG who are entitled to a pension 
under the laws relating to civil servants were also much lower 
than in the previous year (2020: € −9",interest
NRW Bank,"The Programme-based Promotion segment comprises the 
business units Housing Promotion, Promotion Programmes, 
 Special Finance, Equity Finance as well as Promotion Programme 
Advisory Services & Customer Service",equity
