Bank Name,Financial Text,Financial Term
Siemens Bank 2021,"As an example, the German Cabinet in May 2021 
adopted the first Sustainable Financing Strategy in  
Germany with the aim of mobilizing urgently needed 
investment for climate protection and sustainability and 
making these issues a central theme of the financial  
system",investment
Siemens Bank 2021,"Accordingly, demand for 
sustainable investment products and transactions also 
increased, intensifying the pressure on margins that  
was already present due to high liquidity",investment
Siemens Bank 2021,"We nevertheless managed to slightly increase our profit-
ability based on a strong interest income and lower pro-
visions for losses on loans and advances",profit
Siemens Bank 2021,"Digital infrastructure in general and investments in 
data centers in particular have seen significant growth 
in financing demand",investment
Siemens Bank 2021,"The Bank looks forward to further accompanying 
Siemens ’ customers across regions and sectors in meet-
ing the increasing demand for sustainable investments 
and digital transformation",investment
Siemens Bank 2021,"»Deposit and treasury business: The deposit business focus-
es on the receipt and investment of overnight money and 
time deposits from companies in the Siemens Group and 
selected third-party institutions",investment
Siemens Bank 2021,"The treasury business 
encompasses Group financing activities and asset liability 
management, including the management of a portfolio of 
highly liquid assets",liability
Siemens Bank 2021,"Asset liability management ensures 
that the credit business is funded by equity and deposits",liability
Siemens Bank 2021,"The funds from 
the “Next Generation EU” reconstruction scheme will further 
stimulate the economy in the respective recipient countries, 
especially in Southern Europe",funds
Siemens Bank 2021,"Profitability of the portfolio, which is reflected in an increase 
in net interest income and lower additions to allowances 
for losses on loans and advances, also exceeds expectations 
overall",profit
Siemens Bank 2021,"In this difficult market envi-
ronment, Siemens Bank consistently focused its business 
on attractive opportunity-risk profiles and the avoidance of 
excessive credit risk",credit
Siemens Bank 2021,"The economic environment this year continued to be 
characterized by extensive monetary and fiscal policy mea-
sures in the industrialized countries as well as a persistently 
loose monetary policy of important central banks and a very 
low interest rate level despite a noticeably higher inflation 
trend",interest
Siemens Bank 2021,"In the financing of projects and equipment investments, for 
which longer-term and therefore less cyclical planning cycles 
are regularly relevant, and also in project financing in the 
infrastructure sector, which has proven to be quite resilient to 
credit defaults even in the environment of the COVID-19 pan-
demic, Siemens Bank continues to observe ongoing intense 
competition in the search for attractive risk-return profiles, as 
interest rate levels remain historically low, especially in the 
eurozone",investment
Siemens Bank 2021,"Furthermore, new competitors beyond traditional 
banks, such as insurance companies, pension funds or alter -
native investment funds, continue to increase liquidity in the 
market with their demand for project financing and corpo-
rate loans, intensifying pressure on margins and documenta-
tion standards",investment
Siemens Bank 2021,"In particular, due to the increased importance 
of the topic of sustainability, there is growing demand for 
financing with a positive assessment under the ESG criteria 
(ESG: Environmental, Social, Governance), which will put fur -
ther pressure on interest margins",interest
Siemens Bank 2021,"Nevertheless, throughout the 2021 fiscal year, Siemens  
Bank succeeded in implementing all critical processes and 
controls without restrictions",restrictions
Siemens Bank 2021,"3 Regulatory developments 
The CRR II (Capital Requirements Regulation CRR) and CRD V  
(Capital Requirements Directive) package adopted by the EU 
Commission in 2019 introduced new regulatory requirements 
as of June 2021",regulatory
Siemens Bank 2021,"On 16 August 2021, BaFin specified its expectations to bank  
IT and information security in the revised BAIT, and the mini-
mum requirements for bank risk management in the sixth 
amendment to MaRisk",security
Siemens Bank 2021,"The Siemens Bank branch in Singapore founded in March 
2017 is required to comply with local regulatory require-
ments and reporting obligations in the Monetary Authority 
of Singapore (MAS) reporting system",regulatory
Siemens Bank 2021,"The local regulatory 
requirements are based on the Basel III framework and are 
essentially comparable with the European requirements",regulatory
Siemens Bank 2021,"The 
monitoring and development of changes and adjustments to 
local regulatory requirements is also part of Siemens Bank’s 
Compliance Program",regulatory
Siemens Bank 2021,"3 Regulatory developments
1",regulatory
Siemens Bank 2021,"In the deposit and treasury business, the Group financ-
ing portfolio, which forms an integral part of the loans and 
advances to customers, fell to €116 million (previous year 
€133 million)",deposit
Siemens Bank 2021,"The provision of collateral in cash means that 
Siemens Bank does not bear any credit risk in connection 
with this business",credit
Siemens Bank 2021,"Within the deposit and treasury business, the development 
of liquidity-related investments – which are reported under 
loans and advances to banks, credit balances with central 
banks, private bonds as well as under loans and advances to 
customers – is closely linked to the economic and regulatory 
requirements relating to liquidity control",investment
Siemens Bank 2021,"A major part of this 
asset portfolio is in short-term promissory note loans from 
investment-grade issuers",investment
Siemens Bank 2021,"With this asset portfolio, Siemens  
Bank intends to achieve positive income contributions and a 
high level of security in addition to compliance with commer -
cial and legal requirements regarding liquidity control",security
Siemens Bank 2021,"The significant increase in the second quarter of the 2021 fis-
cal year was due to short-term investments by the Siemens  
Group and lasted only for a few weeks",investment
Siemens Bank 2021,"This means that 
liquidity-related investments were at the expected level",investment
