Bank Name,Financial Text,Financial Term
UmweltBank AG,"Approximately€6 billion
1,000332

Letter from the Management Board
Germany’s greenest bank
About UmweltBank
Investing and providing for retirement sustainablyFinancing for environmental projectsSustainable investmentsGermany’s green bank shareResponsible corporate governanceDialogue with stakeholdersAnalysis of the main sustainability aspects1222253740445658
Contribution  to the environment
Environmental management systemEnvironmental performanceSustainability targetsReport of the Environmental Advisory BoardContact the Sustainability ManagementValidation of the environmental statement6468889196966
1 2
People at UmweltBank
Member of the Management BoardSupervisory BoardEnvironmental Advisory BoardSustainable personnel policy100
103
109114
About this reportGRI content indexPublishing details and contactAnnual  Report
Report of the Supervisory BoardManagement reportBalance sheetIncome statementNotes to the financial statementsIndependent auditor’s report126134
174
176
1782033 4
211212217
5 4
2022
to enable greater transformation",investment
UmweltBank AG,"However, there are signs that a new 
era is dawning in Germany – especially in security and energy policy",security
UmweltBank AG,"In July, the European Central Bank raised 
interest rates for the first time in around ten years",interest
UmweltBank AG,"Within less than 12 months, the key interest rate 
rose from 0",interest
UmweltBank AG,"Savers, but also banks, have been waiting a long time for the low-interest 
phase to end",interest
UmweltBank AG,"The speed and level of the interest rate hikes are posing challenges in the short term, 
however",interest
UmweltBank AG,"Our savings deposits, on the other hand, are mostly in accounts with short maturities and 
currently rising interest rates",interest
UmweltBank AG,"Although the Bank can grant new loans and extensions at significantly 
higher interest rates than a year ago, the interest margin will only benefit from this in the medium 
to long term",interest
UmweltBank AG,"Overall, the Bank recorded a significantly increased interest, financial 
and valuation result in 2022, as well as a commission and trading result at the previous-year level",interest
UmweltBank AG,"Overall, UmweltBank 
ended the 25th year of its existence with a pre-tax profit of €39",profit
UmweltBank AG,"In addition, the Bank is suc -
cessively expanding two high-growth business areas: investments in the equity of sustainable real 
estate and renewable energy projects via the subsidiary UmweltProjekt GmbH on the one hand and 
the green funds of the UmweltSpektrum brand on the other",investment
UmweltBank AG,"We now offer three in-house funds 
under the UmweltSpektrum brand",funds
UmweltBank AG,"in 2022, the funds already contributed around €1",funds
UmweltBank AG,"The wholly owned subsidiary Umwelt -
Projekt GmbH bundles these investments with a current volume of around €750 million",investment
UmweltBank AG,"The investments are extensive, but they are necessary and 
will pay off   – for customers, for our employees and, in the medium to long term, for you as well, 
dear shareholders",investment
UmweltBank AG,"Your UmweltBank Management Board
Goran Bašic
Member of the Management Board
Areas of responsibility:Jürgen Koppmann
Spokesperson of the 
Management Board 
Areas of responsibility:Heike Schmitz
Member of the 
Management Board
Areas of responsibility:
Financing Energy and Infrastructure 
Projects
Financing Real Estate ProjectsFinancing Private CustomersInvestmentsPersonnelTreasury & SustainabilityAccounting, 
Taxes & Operations
Reporting, Risk & 
Analytics
Back Offi   ce CreditLegal & ComplianceOrganisational ManagementInternal AuditCustomer Care & 
Account Management
Securities & PensionsInformation Technology & 
Project Management
Customer Care & ServiceMarketing & PR
years of UmweltBank
Learn more about the exciting development of UmweltBank in its multimedia company history",investment
UmweltBank AG,"The 
Bank does not engage in speculative transactions; lending is not focused on profit 
maximisation, but on a positive ecological and social impact",profit
UmweltBank AG,"We combine economy and ecology by off  ering our customers at-
tractive investments and financingsustainable projects exclusively",investment
UmweltBank AG,"Company UmweltBank
Legal form Stock corporation (Aktiengesellschaft)
Headquarters Nuremberg, Germany
Foundation 1997
Owners Approx",stock
UmweltBank AG,"132,000
Offi   ce locationsEmilienstraße 3, Nuremberg /Laufertorgraben 4, Nuremberg /Laufertorgraben 6, Nuremberg /Laufertorgraben 8, Nuremberg / Nunnenbeckstraße 6–8, Nuremberg
Funded environmental projects Almost 25,000 since foundation in 1997
Total assets €6 billionCorporate data as of 31 December 2022
13 122022
Corporate structure 2022 highlights
• Management Office
• Internal Consulting
• Corporate Affairs
• Information Security & Data 
Protectionelects
appoints and monitors
• Investments
• Financing Energy & Infrastructure Projects
• Financing Real Estate Projects
• Financing Private Customers
• Information Technology & Project Management
• Internal Audit
• Customer Care & Account Manage-ment Companies & Associations
• Customer Care & Account Manage-ment Private Customers• Customer Care & Service
• Marketing & PR
• Back Office Lending Business
• Reporting, Risk & Analytics
• Organisational Management
• Personnel
• Accounting, Taxes & Operations
• Legal & Compliance
• Treasury & Sustainability
• Securities & Pensionsleadsleads
advisesappoints with the 
consent  
of the Supervisory 
Board
Departments:Executive de-
partments:MARCH  
Philipp Langenbach joins the 
management of UmweltBank as Chief Representative responsible for Marketing and Personnel",investment
UmweltBank AG,"APRIL  
Expansion of the fund range: Two new funds under the UmweltS-pektrum brand enable investors to invest specifically in the topics of nature and people",funds
UmweltBank AG,"UmweltTreuhand GmbHOn its first birthday UmweltBank celebrates ‘black figures with green money ’
Photovoltaic project financing
UmweltBank off  ers building loans and mortgages for joint building venturesFlotation on the Regulated Unoffi   cial Market at the Frankfurt Stock Exchange 
Founding of the subsidiaryUmweltProjekt GmbHUmweltBank aligns for the future with new brand profile UmweltBank is granted a 
full banking licence
Green savings products 
Wind farm project financing
Sustainable building loans and mortgages
UmweltBank enables
simple photovoltaic financing for 
private customers with online toolPassing of the torchon the Management Board: Stefan Weber and Goran Bašić are new duo at the top
First own fund, 
UmweltSpektrum Mix,
comes onto the market
The new home of green money: 
UmweltHaus and UmweltQuartier in Nuremberg End of the KfW’s 100,000 Roofs pro-gramme: UmweltBank launches its own subsidy programme ‘Solar power for every roof’UmweltBank
20031998
2007
2016 20182001
2010
2020
FUTURE1994 199725 years2014/15
The year 2022 marks an important milestone for UmweltBank",stock
UmweltBank AG,"de/25jahre
17 16
Sustainable products
Building and residential
• Residential properties
• Joint building ventures
• Residential projects
• Social building 
• Investor projects
• Commercial real estate
UmweltWunschkredit
• Ecological building measures
• Photovoltaic systems
• Tiny houses
• e-mobilityRenewable energy sources 
• Wind power
• Heating concepts
• PhotovoltaicsSavings accounts 
• UmweltFlexkonto
• UmweltFestzins
• UmweltWachstumszins
Securities 
• UmweltBank share
• Green bonds
• Eco funds
Insurance 
• Base pension (Rürup pension)
• Company pension plan
• Private pension
• UmweltVorsorge juniorInvestments and pensions
Financing
UmweltProjekt GmbH is a wholly owned subsidiary of UmweltBank that pools and grows 
the Bank’s investment business",investment
UmweltBank AG,"Investments in sustainable projectsUmweltGarantie (environmental guarantee)
Every euro that customers invest with UmweltBank is used in accordance with the 
SDG – the United Nations’ Sustainable Development Goals",investment
UmweltBank AG,"Customers can be confident that the savings deposits and equity 
are used exclusively for loans in support of environmental projects",deposit
UmweltBank AG,"To check compliance with the UmweltGarantie, the Bank computes the ratio of volume 
of utilised environmental loans, note loans for a specific purpose, participating interests, 
green and social bonds plus its own investments with a positive SDG contribution to 
the deposit volume of customers, third-party loans from development banks and the 
original equity brought into UmweltBank from the investors",investment
UmweltBank AG,"2
UmweltBank offers its customers a wide range of green investments – from ecological 
savings products and green securities to sustainable pensions",investment
