Bank Name,Financial Text,Financial Term
Aareal Bank,Aareal Bank Group   Interim Financial   Information 1 January to   30 September 2022 1 Jan - 30 Sep 2022 1 Jan - 30 Sep 2021   Results Operating profit  mn 157 123 Consolidated net income  mn 100 56 Consolidated net income allocated to    ordinary shareholders  mn1 89 44 Costincome ratio 234,PROFIT
Aareal Bank,Dec 2021   Statement of Financial Position Property finance  mn 31928 30048 Equity  mn 3266 3061 Total assets  mn 53268 48728 Regulatory Indicators4 Basel IV phase-in5 Risk-weighted assets  mn 13136 12817 Common Equity Tier 1 ratio   CET1 ratio  19,EQUITY
Aareal Bank,In accordance with the Investment Agreement entered into with Atlantic BidCo GmbH there are no plans to distribute any dividends,INVESTMENT
Aareal Bank,The CET1 ratio as shown in the regulatory   report as at 30 September 2022 was 18,REGULATORY
Aareal Bank,The SREP recommendations concerning the NPL inventory and the ECBs NPL guidelines for the regulatory capital of new NPLs and an additional voluntary and preventive capital  deduction for regulatory uncertainties from ECB tests were taken into account,REGULATORY
Aareal Bank,Key Indicators 30 Sep 2022 31 Dec 2021   Moodys Issuer rating A3 A3 Senior Preferred A3  Bank deposit rating A3 A3 Outlook Negative Negative Mortgage Pfandbrief   Rating Aaa Aaa Fitch Ratings Issuer default rating BBB BBB Senior Preferred A- A- Senior Non Preferred BBB BBB Deposit ratings A- A- Outlook Negative Negative Sustainability   Ratings 6 MSCI AA AA ISS-ESG prime C prime C CDP Awareness Level CAwareness Level C Contents 2 Key Indicators 4 Business Development 4 Key Events and Transactions 4 Report on the Economic Position 4 Financial Performance 6 Financial Position  Assets 7 Financial Position  Equity and Liabilities 8 Report on Changed Forecasts  9 Events after the Reporting Date 10 Segment Results 11 Financial Calendar 11 Imprint Key Events and Transactions The course of the 2022 financial year and the forecast continue to be significantly influenced by the  macro-economic and geopolitical environment besides the development of the Covid-1 9 pandemic the  war in Ukraine has evolved into an additional uncertainty factor for the forecast,DEPOSIT
Aareal Bank,Growth was supported by corresponding funding   activities and a high average deposit volume of  1 3,DEPOSIT
Aareal Bank,Aareon was successful in growing sales revenue despite its transformation to a SaaS company,REVENUE
Aareal Bank,Report on the Economic Position   Financial Performance 1 Jan - 30 Sep 2022 1 Jan - 30 Sep 2021  mn Net interest income 514 435 Loss allowance 170 79 Net commission income 199 174 Net derecognition gain or loss 24 15 Net gain or loss from financial instruments fvpl 22 -7 Net gain or loss from hedge accounting -6 -4 Net gain or loss from investments accounted for using the equity method -2 -1 Administrative expenses 423 393 Net other operating incomeexpenses -1 -17 Operating profit 157 123 Income taxes 57 67 Consolidated net income 100 56 Consolidated net income attributable to non-controlling interests 0 2 Consolidated net income attributable to shareholders of Aareal Bank AG 100 54Business Development 4 Business Development  Key Events and Transactions  Report on the Economic Position Aareal Bank Group  Interim Financial Information  III  2022 1 Jan - 30 Sep 2022 1 Jan - 30 Sep 2021 Earnings per share EpS Consolidated net income attributable to shareholders of Aareal Bank AG1100 54 of which allocated to ordinary shareholders 89 44 of which allocated to AT1 investors 11 10 Earnings per ordinary share 21,PROFIT
Aareal Bank,Consolidated operating profit amounted to  1 57 million in the first nine months of the 2022 financial  year and was thus in line with expectations and significantly higher than in the previous year    1 23 million as a result of the strong operating performance and even though we recognised loss   allowance of  1 26 million for our exposure to Russia which is being run down,PROFIT
Aareal Bank,Net interest income of  5 14 million was significantly higher than in the previous year  435 million  mainly due to the expected year-on-year increase in the credit portfolio and first positive effects from  higher market interest rates on the deposit-taking business,INTEREST
Aareal Bank,Loss allowance totalled  170 million 9m 2021  79 million,LOSS
Aareal Bank,This includes an addition to loss allow - ance of  1 26 million for the Banks exposure to Russia which is currently being run down bringing the  coverage of the outstanding exposure of around  210 million to approximately 60,LOSS
Aareal Bank,Furthermore we moved a new LGD model for our commercial property finance portfolio which complies  with new EBA guidelines for rating procedures into production as at the end of the first half of the   year this new model also serves as a basis for model-based Stage 1 and 2 loss allowance,LOSS
Aareal Bank,Net commission income increased to  1 99 million 9m 2021  17 4 million on the back of higher sales  revenue at Aareon and the performance of the Banking  Digital Solutions segment,REVENUE
Aareal Bank,Despite its transfor- mation to a SaaS company Aareons sales revenue increased to  221 million 9m 2021  1 95 million,REVENUE
Aareal Bank,Net gain or loss from financial instruments fvpl and net gain or loss from hedge accounting in the   aggregate amount of  1 6 million 9m 2021  -1 1 million was mainly incurred by positive valuation  effects resulting from market developments for currency and interest rate hedging derivatives due to   the strong market dynamics and coming from negative values at the beginning of the year,LOSS
Aareal Bank,The costincome ratio in the banking  business which in line with common practice in the banking sector does not include the bank levy and  contributions to the deposit guarantee scheme improved to 39  and demonstrates Aareal Banks high  cost efficiency even in a European comparison,DEPOSIT
Aareal Bank,In the   previous year it was burdened by  1 1 million in interest on tax back payments as well as lower rental  income on properties held by the Bank as a result of Covid-1 9,INTEREST
Aareal Bank,Overall this resulted in consolidated operating profit of  1 57 million 9m 2021  1 23 million,PROFIT
Aareal Bank,T aking  into consideration income taxes of  57 million 9m 2021  67 million and non-controlling interest  income of  0 million 9m 2021  2 million consolidated net income attributable to shareholders of  Aareal Bank AG amounted to  100 million 9m 2021  54 million,INTEREST
Aareal Bank,Financial Position  Assets 30 Sep 2022 31 Dec 2021  mn Assets Financial assets ac 46693 42345 Cash funds 8323 6942 Loan receivables 30753 29434 Money market and capital market receivables 7532 5884 Receivables from other transactions 85 85 Loss allowance ac -627 -492 1   Earnings before interest taxes depreciation and amortisation before new products Value Creation Programme VCP ventures   MA activities and non-recurring effects,LOSS
Aareal Bank,Financial Position  Equity and Liabilities 30 Sep 2022 31 Dec 2021  mn Equity and liabilities Financial liabilities ac 45123 43017 Money market and capital market liabilities 31756 30597 Deposits from the housing industry 12814 11717 Liabilities from other transactions 93 94 Subordinated liabilities 460 609 Financial liabilities fvpl 4394 1882 Negative market value of designated hedging derivatives 2267 971 Negative market value of other derivatives 2127 911 Provisions 278 558 Income tax liabilities 22 17 Deferred tax liabilities 59 56 Other liabilities 126 137 1  Green financings meet the high energy efficiency requirements of the Aareal Green Finance Framework and the client undertakes   to meet these requirements throughout the term of the loan,DEPOSIT
Aareal Bank,The average deposit volume from the housing industry increased to  1 3,DEPOSIT
Aareal Bank,Given the strong operating performance during the first nine months of the year Aareal Bank currently  maintains its forecast for 2022 consolidated operating profit at the lower end of the range  210 million  to  250 million 2021  1 55 million despite loss allowance of  1 26 million for the exposure to Russia  currently being run down and the impact of the ECB Governing Councils decisions on the TL TRO pro- gramme,PROFIT
Aareal Bank,Loss allowance including credit risk-   induced adjustments to the measurement of defaulted property loans which are reported in net gain or  loss from financial instruments fvpl is projected to come out at the upper end of the range between  140 million and  180 million 2021  1 69 million due to the addition to loss allowance for the ex - posure to Russia currently being run down,LOSS
Aareal Bank,Net interest  income is anticipated to continue its upwards trend as a result of the increase in the credit portfolio and  positive effects from higher market interest rates on the deposit-taking business thus ranging between    660 million and  690 million original range  600 million to  630 million 2021  597 million,INTEREST
Aareal Bank,For the Banking  Digital Solutions segment Aareal Bank assumes slight growth in net commission   income for the core activities and continues to expect an average deposit volume from the housing   industry of above  1 2 billion previously around  1 2 billion,DEPOSIT
Aareal Bank,Aareon is expected to see a marked increase in sales revenue in the region of  305 million to    325 million for the current year 2021  269 million,REVENUE
Aareal Bank,With regard to capitalisation Aareal Bank expects a CET1 ratio Basel IV phase-in markedly above  1 6  by the end of the year despite the planned portfolio growth and subject to further regulatory changes,REGULATORY
Aareal Bank,As a result of the unilateral amendment to the contractual terms the Bank must realise a measure- ment loss in a low to mid-double-digit million range in net interest income and net derecognition gain  or loss due to the interest rate hedges entered into in connection with TL TRO,LOSS
Aareal Bank,However despite these  negative TL TRO implications Aareal Bank is able to confirm the full-year operating profit forecast for 2022  amid the Banks strong operating performance,PROFIT
Aareal Bank,Reported equity on the statement of financial position differs from this,EQUITY
Aareal Bank,Aareons total equity as disclosed in the statement of financial position  amounts to  138 million 31 December 2021  143 million,EQUITY
