Bank Name,Financial Text,Financial Term
DekaBank Deutsche,DekaBank Deutsche Girozentrale Annual financial statements 2022  1 Management report 2  At a glance 2  Information about the Deka Group 3  Economic report 20  Forecast and opportunities report 38  Risk report 45  Annual financial statements 97  Balance Sheet 97  Income Statement 99  Notes  100  Assurance of the Board of Management 134  Independant Auditors Report 135 Glossary 142Content     Management report     At a glance DekaBank Annual fina ncial statements 2022 2 At a glance  The Deka Group is looking back on a challenging 20 22 for both the economy and the public,LOSS
DekaBank Deutsche,The European Central Bank threw all its might against the rising inflation an d implemented multiple interest rate hikes with the  aim of easing the situation somewhat,INTEREST
DekaBank Deutsche,The institutional investment fund business accounted for net sales of 5,INVESTMENT
DekaBank Deutsche,While sales in master funds were well into positive territory there were outflows of funds in the case of advisorymanagement mandates partly due to a  customer ending their mandate,FUNDS
DekaBank Deutsche,Excluding the positive net income from own issues and other own credit quality effects in Treasury due to spread developments and actuarial gains on pension provisions caused by a change in the actuarial interest rate the economic result came to 741m,INTEREST
DekaBank Deutsche,Our financial strength is allowing  us to make targeted investments in key areas for the future such as digitalisat ion turning the Deka Group  into an even more customer-focu sed innovative and sustainable Wertpapierhaus,INVESTMENT
DekaBank Deutsche,The result will also ensure  that DekaBank is able to distribute profits and also to  retain part of these profits to further strengthen its  Common Equity Tier 1 capital,PROFIT
DekaBank Deutsche,The return on equity before tax balance sheet in 2022  was 17,EQUITY
DekaBank Deutsche,The  corresponding return on equity before tax balance sheet was 12,EQUITY
DekaBank Deutsche,At year-end the Common Equity  Tier 1 capital ratio stood at 17,EQUITY
DekaBank Deutsche,Management report    See also  Business development and profit performance in the Deka Group page 26 ff,PROFIT
DekaBank Deutsche,The savings banks hold their interests via this company which is owned by their regional savings bank and giro associations,INTEREST
DekaBank Deutsche,DekaBank is a member of the Sparkassen-Finanzgruppe  deposit guarantee system,DEPOSIT
DekaBank Deutsche,The deposit guarantee  system of the Sparkassen-Finanzgruppe  protects deposits with a savings bank a state bank  Landesbank   DekaBank or a state building society  Landesbausparkasse,DEPOSIT
DekaBank Deutsche,Frankfurt is also home to investment management  companies such as Deka Investment GmbH D eka Immobilien Investment GmbH Deka Vermgens- management GmbH and the robo-advisor company bevestor GmbH,INVESTMENT
DekaBank Deutsche,A further investment management company  WestInvest GmbH  is based in Dsseldorf,INVESTMENT
DekaBank Deutsche,In Luxembourg the Deka Group is represented in particular by DekaBank Deutsche Girozentrale  Niederlassung Luxemburg and the investment manage ment companies Deka International S,INVESTMENT
DekaBank Deutsche,The responsibilities are as follows   CEO Dr Georg Stocker   Deputy CEO  Asset Management Dr Matthias Danne   Risk CRO Birgit Dietl-Benzin   Finance CFO  Operations  COO Daniel Kapffer   Sales Torsten Knapmeyer   Banking business Martin K,STOCK
DekaBank Deutsche,As the DekaBank Board  member responsible for the banking business divisions his remit encompasses Capital Markets Financing and the Depositary,DEPOSIT
DekaBank Deutsche,To this end the Administrative Board has established a General and Nominating Committee an Audit Committee a Risk a nd Credit Committee and a Remuneration Supervision  Committee,CREDIT
DekaBank Deutsche,The Administrative  Board has adopted rules of procedure and also has a separate fit  proper policy along with guidelines on  the handling of conflicts of interest independen ce succession planning for members of the DekaBank  Administrative Board and Board of Management the induction and training of new members and the promotion of diversity on the DekaBank Administra tive Board and Board of Management,INTEREST
DekaBank Deutsche,Through its  asset management and banking activities it acts as a service provider for the investment administration and  management of assets supporting its customers at every stage in the investment and advisory process within  the securities business,INVESTMENT
DekaBank Deutsche,It also offers comprehensive advice and solutions around investment liquidity and risk management and refinancing,INVESTMENT
DekaBank Deutsche,As a banking division Asset Management Services en compasses banking services  for asset management  such as depositary business custody account business and digital multichannel management,DEPOSIT
DekaBank Deutsche,The banking business divisions  Capital Markets and Financing  support the integrated model by offering  additional investment products and enabling the nece ssary access to the money and capital markets and  to financing,INVESTMENT
DekaBank Deutsche,In business involving securities funds and real estate funds the Deka Group primarily earns commission  income from management and transaction fees,FUNDS
DekaBank Deutsche,Subject to  regulatory requirements some of this income is  passed on as an association payment to the savings ba nks in their capacity as sales partners,REGULATORY
DekaBank Deutsche,Interest income is obtained primarily from lending  business as well as from securities in the banking book Treasury function,INTEREST
DekaBank Deutsche,These particularly include insurance compan ies pension funds family offices foundations  corporates and the German public sector,FUNDS
DekaBank Deutsche,Product and solution provider  The core business is to provide suitable investments in  securities and real estate as well as supplementary  services throughout the investment and asset manageme nt value chain,INVESTMENT
DekaBank Deutsche,In this regard the Deka Group acts  as finance provider issuer structurer trustee and depositary,DEPOSIT
DekaBank Deutsche,In addition to investment products such as securities and real estate funds or certificates the Deka Group  also provides execution of securities trading cust ody accounts DekaBank custody account and S Brokers  DepotPlus  and DirektDepot  asset servicing and depositary services,INVESTMENT
DekaBank Deutsche,The Deka Groups sales support is fully aligned with  the Sparkassen-Finanzkonzept   the financial planning strategy offered by the savings banks  and aims to  support the savings banks throughout the investment and advisory process,INVESTMENT
DekaBank Deutsche,It  recognises the importance of this issue for society and the planet and also sees an opportunity here for growth and future profitability,PROFIT
DekaBank Deutsche,Alongside digital assets the Deka Group is also exploring the use of artificial intelligence in the context of  investment decisions,INVESTMENT
DekaBank Deutsche,In keeping with regulatory requirements the Deka Group understands sustainability as an ongoing process to fully integrate ESG criteria c limate and environmental E social S and governance  G aspects into the business model,REGULATORY
DekaBank Deutsche,Using a wide range of products with sustainabilit y characteristics from investments in securities and  real estate to financing solutions it helps its custom ers achieve their ambition of financing and investing in  a climate-friendly and sustainable way,INVESTMENT
DekaBank Deutsche,Regulatory requirements are reliably implemented wi th a long-term focus,REGULATORY
DekaBank Deutsche,The content of the Deka Gr oups sustainability report also reflects the extensive  information interests of sustainability rating agencies and other stakeholders,INTEREST
DekaBank Deutsche,Customers can choose from the following range of products for one-off investments or where available for  savings plans   actively managed mutual funds and special funds following fundamental and quantitative strategies as  well as advisory mandates in all major asset classes equities bonds money market mixed funds capital  protected funds and any combination of these    passively managed index funds exchange-traded funds  ETFs    asset management products and services asset manage ment funds using both actively managed target  funds and indexed funds fund-based asset manage ment savings bank asset management individual  security-based asset management and robo-advisory asset management in partnership with bevestor   pension products e,INVESTMENT
DekaBank Deutsche,fund-based private and company pension products   asset servicing which enables savings banks and instit utional investors to combine various asset classes in  master funds,FUNDS
DekaBank Deutsche,The business division also offers a wide range of solutions for sustainable investments and engagement  services,INVESTMENT
DekaBank Deutsche,The business di vision also works to prom ote good and responsible  corporate governance and helps institutional investor s comply with regulatory engagement and reporting  requirements,REGULATORY
DekaBank Deutsche,The Asset Management Securities busine ss division incorporates sustainability aspects into  fund investment and business risk processes,INVESTMENT
DekaBank Deutsche,These  involve macro individual-stock and fund research support with designing investment strategies and processes order desk and fund reporting services,INVESTMENT
DekaBank Deutsche,Asset Management Real Estate business division  The Asset Management Real Estate business division is the Deka Groups real estate investment specialist,INVESTMENT
