Bank Name,Financial Text,Financial Term
Deutsche Pfandbriefbank,Annual Financial  Statements  Annual Financial Statements 1 Income Statement 1 Balance Sheet 2 Notes 5 Accounting Policies 5 Notes to the Income Statement 15 Notes to the Balance Sheet 17 Other Notes 27 Responsibility Statement 50 Independent Auditors Report 51 Report on the Audit of the Annual Financial Statements and of the Combined  Management Report 51 Other Legal and Regulatory Requirements 57 Other Matter  Use of the Auditors Report 59 German Public Auditor Responsible for Engagement 59 Future-oriented statements 60 Imprint 60 Deutsche Pfandbriefbank AG    Annual Financial Statements 2022   1Income Statement  Income Statement of Deutsche Pfandbriefbank AG for the time from 1 January to 31 December 2022 in  million 2022 2021 1,REGULATORY
Deutsche Pfandbriefbank,Interest income from   a lending and money market business 2068 1914  b fixed-income and government-inscribed debt 234 2302 243 2,INTEREST
Deutsche Pfandbriefbank,Current income from   a equity shares and other variable-income securities - -  b participating interests - -  c investments in affiliated companies - - - - 4,INVESTMENT
Deutsche Pfandbriefbank,Income from profit pooling profit transfer or partial profit transfer agreements - - 5,PROFIT
Deutsche Pfandbriefbank,General and administrative expenses   a personnel expenses    aa wages and salaries -104 -113   ab social security contributions and expenses for pensions and other employee benefits -68 -172 -22    thereof for pensions 51 million 31,SECURITY
Deutsche Pfandbriefbank,Write-downs and impairments to participating interests investments in affiliated companies and  securities treated as fixed assets -5 -2 14,INVESTMENT
Deutsche Pfandbriefbank,Income from write-ups to participating interests investments in affiliated companies and securities  treated as fixed assets - - -5 -2 15,INVESTMENT
Deutsche Pfandbriefbank,Profitloss carried forward from the previous year - 37 114 219 25,PROFIT
Deutsche Pfandbriefbank,Refilling of profit participation capitalwithdrawals from profit participation capital - - 27,PROFIT
Deutsche Pfandbriefbank,Bonds and other fixed-income securities   a money market instruments    aa of public-sector issuers - -    thereof eligible as collateral for Deutsche Bundesbank 0 million 31,BONDS
Deutsche Pfandbriefbank,Equity shares and other variable-income securities 2 2 6,EQUITY
Deutsche Pfandbriefbank,Participating interests - -  thereof in banks 0 million 31,INTEREST
Deutsche Pfandbriefbank,Investments in affiliated companies 5 13  thereof in banks 0 million 31,INVESTMENT
Deutsche Pfandbriefbank,Overfunded plan assets - - Total assets 53131 54846 Liabilities and equity in  million  1,EQUITY
Deutsche Pfandbriefbank,Liabilities to customers   a registered Mortgage Pfandbriefe issued 3429 3321  b registered Public Pfandbriefe issued 5547 6306  c savings deposits    ca with agreed notice period of three months - -   cb with agreed notice period of more than three months - - - -  d other liabilities 9218 8401   thereof repayable on demand 1535 million 31,DEPOSIT
Deutsche Pfandbriefbank,Securitised liabilities   a bonds in issue    aa Mortgage Pfandbriefe 12291 12265   ab Public Pfandbriefe 2148 2092   ac other bonds 7852 6777 22291 21134  b other securitised liabilities - -   thereof money market instruments 0 million 31,BONDS
Deutsche Pfandbriefbank,Equity   a share capital 380 380  b additional paid-in capital 1639 1639  c retained earnings    ca legal reserve 13 13   cb reserve for shares in a controlling or major shareholding entity - -   cc statutory reserves - -   cd other retained earnings 703 717 716 730  d unappropriated retained earnings 128 159 2863 2908 Total liabilities and equity 53131 54846 1,EQUITY
Deutsche Pfandbriefbank,Contingent liabilities   a contingent liabilities from settled rediscounted bills of exchange - -  b liabilities from guarantees and indemnity agreements 70 185  c liability arising from the provision of collateral for third-party liabilities - - 70 185 2,LIABILITY
Deutsche Pfandbriefbank,Loans and advances  Loans and advances are recognised at nominal value in accordance with section 340e 2 of  the HGB with recognised loan loss provisions deducted,LOSS
Deutsche Pfandbriefbank,The difference between the nominal  value and the actual payment has characteristics of interest and is reported as prepaid expens- es,INTEREST
Deutsche Pfandbriefbank,It is amortised in proportion to the principal and pro rata temporis and recognised in the  income statement under net interest income,INTEREST
Deutsche Pfandbriefbank,Pro-rata interest and similar amounts are assigned  to the sub-item they relate to,INTEREST
Deutsche Pfandbriefbank,Risk provisioning  All identifiable individual default risks in the lending business were covered by specific allow- ances and provisions in the amount of expected losses,LOSS
Deutsche Pfandbriefbank,As regards the measurement of specific impairments expected individual cash flows also in- clude interest and the discount to fair value in addition to repayments,INTEREST
Deutsche Pfandbriefbank,To the extent that the  receivable underlying interest calculations has already been written down or written off because  of non-recoverability no interest income will be recognised,INTEREST
Deutsche Pfandbriefbank,Gains or losses from discounting or  unwinding of the discount in relation to risk provisioning are reported in Write-downs and valua- tion allowances of loans and advances and specific securities as well as additions to loan loss  Annual Financial Sta tements Notes Deutsche Pfandbriefbank AG    Annual Financial Statements 2022   6provisions and Income from amounts written back on loans and advances and specific securi- ties and from the reversal of loan loss provisions respectively,LOSS
Deutsche Pfandbriefbank,Portfolio-based allowances and provisions in the lending business general loan loss provision- ing are recognised for potential default risks in the lending business,LOSS
Deutsche Pfandbriefbank,When determining  amounts for general loan loss provisioning pbb applies a model-based procedure using the  regulatory risk parameters probability of default  PD loss given default  LGD and contractu- al information on loans and advances such as contractually agreed cash flows,LOSS
Deutsche Pfandbriefbank,Regulatory risk  parameters are transformed appropriately,REGULATORY
Deutsche Pfandbriefbank,The transformation uses parameters that are based  on historical loss experience,LOSS
Deutsche Pfandbriefbank,Furthermore the expected five-year swap rate for each currency is  taken into account as an additional transformation parameter,SWAP
Deutsche Pfandbriefbank,General loan loss provisioning is determined through probability weighting of various scenarios,LOSS
Deutsche Pfandbriefbank,The baseline scenario used by pbb to determine general loan loss provisioning is weighted at  55 31 December 2021 55 the positive scenario has a weighting of 5 31 December  2021 5 and the negative scenario has a weighting of 40 31 December 2021 40,LOSS
Deutsche Pfandbriefbank,For  loan receivables which were subject to a significant increase in the risk of losses or default  since the loan was granted lifetime expected credit losses are recognised,LOSS
Deutsche Pfandbriefbank,pbb has two Russia-related public investment financings with a gross carrying amount  totalling 24 million in its portfolio which are guaranteed by the Federal Republic of Germany to  a very large extent,INVESTMENT
Deutsche Pfandbriefbank,However the war between Russia and Ukraine and the subsequent reciprocal sanctions have  macroeconomic consequences such as reduced economic growth significantly increased infla- tion higher interest rates and supply chain issues all of which could have an indirect impact on  pbbs financings,INTEREST
Deutsche Pfandbriefbank,The market value forecasts used in the model to determine general loan loss provisioning for  office financings are based primarily on external sources,LOSS
Deutsche Pfandbriefbank,Moreover the risk of a further rise in interest rates was taken into account in the  negative scenario as this may not be offset  or only to a limited extent  by future rent in- creases especially for office properties outside of prime locations,INTEREST
Deutsche Pfandbriefbank,This decision was based on the almost complete withdrawal of COVID-19-related social re- strictions and hence the significantly lowered risk of credit defaults in connection with the pan- demic,CREDIT
Deutsche Pfandbriefbank,In 2022 pbb made three changes as regards the calculation of general loan loss provisioning  Firstly regulatory risk parameters including the probability of default PD and the loss given  default LGD are used as a basis for determining the amount of expected credit losses of of  general loan loss provisioning,LOSS
Deutsche Pfandbriefbank,The regulatory longer-term assessment over various economic  cycles through-the-cycle that refers to a particular point in time is transferred into a reporting  date-based or exact estimate of the current situation point-in-time as required under IFRS 9,REGULATORY
Deutsche Pfandbriefbank,The expected five-year swap rate per currency is taken into account as a transformation pa- rameter,SWAP
Deutsche Pfandbriefbank,Based on portfolio-specific analyses the five-year swap rate determined as at the  average maturity dates of a portfolio is now used for calculations to specific dates,SWAP
Deutsche Pfandbriefbank,Previously  the five-year swap rate was calculated based on a monthly average and without considering  specific maturities,SWAP
Deutsche Pfandbriefbank,The change in accounting estimates during the second quarter of 2022 benefited pbbs net  income from risk provisioning write-downs and impairments to receivables and certain securi- ties and additions of provisions in credit business in the amount of 7 million and was almost  completely attributable to impairments on balance sheet business,CREDIT
Deutsche Pfandbriefbank,The change in accounting estimates reflects findings from the ongoing  project to revise regulatory approaches for determining risk parameters,REGULATORY
