Bank Name,Financial Text,Financial Term
Landesbank Berlin,OPPORTUNITIES AND FORECAST REPORT       62    BALANCE SHEET           75  INCOME STATEMENT          77  STATEMENT OF CHANGES IN EQUITY        79  CASH FLOW STATEMENT          80  NOTES            81  INDEPENDENT AUDITORS REPORT        131  REPORT OF THE SUPERVISORY BOARD OF LANDESBANK BERLIN AG   140      A,EQUITY
Landesbank Berlin,Landesbank Berlin AG LBB is a non -listed stock company and a credit institution in the  meaning of the German Banking Act  Kreditwesenges etz hereinafter KWG,STOCK
Landesbank Berlin,It represents the interests of LBBBSK within the Sparkassen Finance Group and  towards the State  of Berlin,INTEREST
Landesbank Berlin,LBBBSK is a member of the protection scheme for banking institutions of the Sparkasse  Finance Group which is recognised as a deposit guarantee scheme,DEPOSIT
Landesbank Berlin,Additionally the protection scheme of the  Sparkassen Finance Gro up also meets the legal requirements for the protection of deposits,DEPOSIT
Landesbank Berlin,According to this all customers are entitled to compensation from the relevant deposit  guarantee scheme up to the amount of   100000 per depositor and per credit institution,DEPOSIT
Landesbank Berlin,Page 3 of 142   LBBBSK w ithin the Group as at 31 December 2022     The organisational chart shows key equity interests and affiliated companies only,INTEREST
Landesbank Berlin,Supervision and regulatory issues   The supervising authority competent for LBBBSK as well as for the group of the acquisition  company of S -Finanzgruppe mbH  Co,REGULATORY
Landesbank Berlin,LBB Grundstcksgesell -  schaft mbH 100   Other   Equity interests   S-Servicepartner Berlin   GmbH 70  Page 4 of 142   As at 31 December 2022 the CET 1 Common Equity Tier 1 capital ratio at LBBBSK came  to 18,INTEREST
Landesbank Berlin,LBB BSKs capital ratio benefits from the use of an internal ratings -based  approach IRBA and an advanced measurement approach AMA as recognised under  regulatory provisions,REGULATORY
Landesbank Berlin,After the Basel Committee on Banking Supervision finalised in  December 2017 the pa ckage regarding the reform on the regulatory framework for banks   frequently referred to as Basel IV  it is to be expected that future advantages in terms of  capital ratio inferred from the application of internal approaches will be limited,REGULATORY
Landesbank Berlin,Moreover  amendments to the credit risk standardised approach CRSA and to operational risks will  likely result in slightly increased capital requirements,CREDIT
Landesbank Berlin,The service  offering covers everything from payment transactions and financial investments to the  financing of private or business investments to structured asset management as well as  structured investment,INVESTMENT
Landesbank Berlin,Within the framework of this integrated approach traditional  topics include asset investment and financing inheritance management and foundation  management with cross -generational consultancy are also to be emphasis ed here,INVESTMENT
Landesbank Berlin,The credit card portfolio is composed especially of Amazon EU S,CREDIT
Landesbank Berlin,and ADAC  Finanzdienste GmbH both co -operation partners and is rounded off by LBBs proprietary  credit card brand,CREDIT
Landesbank Berlin,Control   The control of LBBBSKs operations is based on an annually recurring strategy and  planning process which is subject to regulatory specifications,REGULATORY
Landesbank Berlin,Central control instruments include especially the  financial statements which are prepared in accordance with commercial law and regulatory  rules budget reports finance reports and risk reports as well as cash flow  new business  and portfolio reports,REGULATORY
Landesbank Berlin,Therefore the following relevant financial performance indicators  apply for LBBBSK    Profit transfer to Landesbank Berlin Holding AG LBBH    Administrative expenses    CET 1 capital ratio proportion of CET 1 capital attributable under a regulatory  framework in relation to the aggregate risk total    Balance sheet total    Loans and advances to customers    Liabilities owed to customers    Cost-income -ratio CIR the ratio from administrative expenses and income net  interest income net commission income and other operating profitloss    Return on equity the ratio from Earnings before Ta x and Profit plus any changes to  the special item for general banking risks in accordance with Sec,PROFIT
Landesbank Berlin,Funds taken from PS-Sparen und Gewinnen   a prize draw that is based on a saving format   support children and youth projects as  well as facilities caring for people with disabilities  and the elderly in collaboration with the Senate administration for integration labour and  social affairs as well as education youth and family,FUNDS
Landesbank Berlin,The  offer available for financial education extends from fiat money for the first day at school to  Planspiel Brse  a stock exchange simulation game to the money and household lecture  service,STOCK
