Bank Name,Financial Text,Financial Term
Merkur Bank,Lending by the cooperative bank is   financed through deposits and the capital comes primarily from our customers,DEPOSIT
Merkur Bank,Merkur lends money to private individuals sustainable and socially responsible en - terprises and institutions and we offer savings investment and insurance products   as well as payment solutions,INVESTMENT
Merkur Bank,A world where education and a diverse cultural life  free from special interests drive education creativ - ity and innovation and enable personal develop - ment and the leading of fulfilling lives,INTEREST
Merkur Bank,com page 27 Kragegaarden page 28 Amnesty International page 29 Lau Thoft  Haslund  page 55 Henrik Wagner page 58 Mew page 60 Baaring Efterskole page 62 Merkur Cooperative Bank Merkur Cooperative BankAnnual report 2022 03 Financial highlights KEY FIGURES IN DKK m 2022 2021 2020 2019 2018 Income statement Net interest and fee income 174,INTEREST
Merkur Bank,our ability to pay our deposit holders their money back,DEPOSIT
Merkur Bank,Merkur Cooperative BankAnnual report 2022 04FINANCIAL HIGHLIGHTS Financial highlights KEY FIGURES IN DKK m H2 2022 H1 2022 H2 2021 Net interest income 54,INTEREST
Merkur Bank,In 2022 we  also said goodbye to negative interest rates on depos - its which is positive for both our customers and  Merkur,INTEREST
Merkur Bank,Activity levels in the domestic  property market declined while investment trends  stagnated as share markets plummeted,INVESTMENT
Merkur Bank,These factors all had an impact on the profit  for the year,PROFIT
Merkur Bank,Interest rates also contributed posi - tively to developments particularly in Q4,INTEREST
Merkur Bank,Seen in isolation the profit before tax for H2  amounted to DKK 18m  which is double the profit  before tax posted for the same period last year,PROFIT
Merkur Bank,In July for the first time in more than ten years  Danmarks Nationalbank the central bank of Den - mark decided to raise the folio account1 interest rate  several times in the autumn which is why the folio ac - count interest rate increased by 2,INTEREST
Merkur Bank,Following Danmarks Nationalbanks interest  rate hikes we could finally wave goodbye to negative  1 A folio account is an account that all Danish banks have with Danmarks Nationalbank the central bank of Denmarkinterest rates on deposits much to the delight of both  our customers and Merkur,INTEREST
Merkur Bank,The interest rate increases  also affected lending rates and thus had a positive im - pact on Merkurs net interest income which grew by  DKK 11,INTEREST
Merkur Bank,Rising interest rates and fees along with limited  growth in costs have resulted in further improve - ments in basic earnings,INTEREST
Merkur Bank,At the beginning of 2022 we issued a profit guid - ance of DKK 10-18m for the year,PROFIT
Merkur Bank,This led to uncer - tainty about the expectations for the year and two  major losses in H1 prompted us to revise our guidance  to a profit before tax in the range of DKK -5 to DKK  5m,PROFIT
Merkur Bank,Similarly 2022 got off to a good start based on a  strong appetite for sustainable investments among  Merkurs customers  however they ended up adopt - ing a more cautious approach as the macroeconomic  challenges proved rather persistent during the year,INVESTMENT
Merkur Bank,Still earnings from our ethically screened investment  products were up by 10,INVESTMENT
Merkur Bank,All in all we are looking back on an unpredictable  year which resulted in a small loss and this of course  is not satisfactory,LOSS
Merkur Bank,This is due in part to the uncertain  economic situation but also based on our updated  lending guidelines which include stricter disposable  income requirements and a stronger focus on making  sure that our customers finances are healthy enough  to accommodate an increase in interest rate levels in  the future,INTEREST
Merkur Bank,This  means that we cannot afford to take excessive risks  but must focus on running a profitable business,PROFIT
Merkur Bank,Deposits loans and other forms of banking  services  Never before have so many customers entrusted us  with so much money,DEPOSIT
Merkur Bank,The increase in deposits is partly due to our cus - tomers cautious investment strategies,INVESTMENT
Merkur Bank,However our customers have welcomed Merkurs  impact pools where sustainability is an integral part  of the investment strategy,INVESTMENT
Merkur Bank,Even after the negative  market value adjustments which affected the vast  majority of investments in 2022 investments in  Merkurs impact pools rose by 71 to DKK 88m,INVESTMENT
Merkur Bank,Ethically screened investments and so-called impact  investments have really taken off in the Danish market,INVESTMENT
Merkur Bank,We work  with several partners including Triodos Investment  Management which is a reputable and extremely thor - ough company when it comes to selecting companies  countries and projects in which to invest,INVESTMENT
Merkur Bank,Merkurs cus - tomers have invested a total of DKK 1886m in Triodos  investment funds which is on a par with 2021,INVESTMENT
Merkur Bank,Customer investments DKK m 2022 2021 Change Triodos impact funds 1886 1883 3  SDG Invest 94 107 -13  Sparinvest 66 84 -18  Maj Invest 11 14 -3  Total 2057 2088 -31 DKK 3,INVESTMENT
Merkur Bank,Investment activity was  stagnant in 2022 due to falling market values among  other things,INVESTMENT
Merkur Bank,We expect the investment area to  bounce back in 2023 as many of Merkurs customers  want to promote sustainable change through their in - vestments,INVESTMENT
Merkur Bank,In H2 there was a slow -down in the property market due to the considerable  uncertainty caused by inflation rising energy prices  and interest rates and so our mortgage lending activ - ities mainly consisted in loan conversions,INTEREST
Merkur Bank,Its  important that our investments are aligned with the im - pact we want to make in the world,INVESTMENT
Merkur Bank,Therefore we greatly ap - preciate the dialogue we are having with Merkur on how our val - ues can best be translated into a successful investment portfolio,INVESTMENT
Merkur Bank,Customer testimonial  Investment customer Merkur Cooperative BankAnnual report 2022 11MANAGEMENT REVIEW customers also make ongoing repayments on their  mortgage loans the brokered mortgage portfolio with  Totalkredit is unchanged relative to the end of 2021,INVESTMENT
Merkur Bank,Merkur continues to have a large deposit surplus  which means that at the end of the year we had liq - uid funds of almost DKK 2,DEPOSIT
Merkur Bank,The statutory re - quirement imposed on financial institutions such as  Merkur is a liquidity coverage of 100 of the calcu - Development in business volume DKK m 2022 2021 Loans 1632 1669 Deposits 3765 3698 Deposits with pool scheme 88 51 Guarantees 686 773 Value of customer custody accounts 2057 2088 Business volume before mortgage brokering 8228 8279 Brokered mortgage loans 4881 4758 Total business volume 13109 13037 Business volume per full-service customer DKK 000 637 62715   increase in mortgage loans from DLRDKK 3,DEPOSIT
Merkur Bank,Income Overall Merkurs net interest and fee income grew by  DKK 16,INTEREST
