Bank Name,Financial Text,Financial Term
Metzler Bank,Metzler International Investments plc Financial Statements for the Year Ended 30 September 2019 Audited Table of Contents Page   Directors Report 3   Investment Reviews 8   Portfolio and Statement of Changes in Investments 51   Fund Summary Information 146   Statement of Comprehensive Income 151   Statement of Financial Position 158   Statement of Changes in Net Assets Attributable to the Holders of Redeemable Shares 165   Notes to the Financial Statements 177   Additional Disclosures to the Shareholders 237 Independent Auditors Report 238   Depositary Report 240   Management and Administration 241   2 Directors Report     Principal Activities   The Company had no employees during the year ended 30 September 2019 or 30 September 2018,INVESTMENT
Metzler Bank,The Company has twenty two active sub funds the Funds  as at 30 September 2019 as follows   1,FUNDS
Metzler Bank,TheDirectors present their annual report together withtheaudited financial statements ofMetzler International Investments plc the Company for the year ended 30 September 2019,INVESTMENT
Metzler Bank,Metzler International Investments plcisaninvestment company with variable capital organised under thelaws ofIreland and hasitsregistered office atKilmore House Spencer Dock North Wall Quay Dublin 1Ireland,INVESTMENT
Metzler Bank,TheCompany isauthorised asan Undertaking forCollective Investment inTransferable Securities pursuant totheEuropean Union Undertakings forCollective Investment inTransferable Securities Amendment Regulations 2016 amending theEuropean Communities Undertakings forCollective Investment inTransferable Securities Regulations 2011 andThe Central Bank Supervision andEnforcement Act 2013 Section 481 Undertakings for Collective Investment in Transferable Securities Regulations 2019,INVESTMENT
Metzler Bank,Thepurpose forwhich theCompany isestablished isthecollective investment intransferable securities ofcapital raised from thepublic operating ontheprinciple ofrisk-spreading,INVESTMENT
Metzler Bank,TheCompany aims toprovide investors withtheopportunity toinvest in avariety offunds investing inequities equity related securities anddebt securities such asbonds treasury bills commercial paper promissory notes fixed interest and floating rate and zero coupon notes and certificates ofdeposit open-ended investment funds and warrants,INVESTMENT
Metzler Bank,Inaccordance withthemanagement agreement theManager hasdelegated certain ofitsfunctions tothefollowing Investment Managers lMetzler Asset Management GmbH MAM hasbeen appointed asInvestment Manager ofMetzler European Smaller Companies Metzler European Growth Metzler Global Selection Metzler International Growth Metzler Eastern Europe Metzler European Concentrated Growth Metzler European Small and Micro Cap Metzler Euro Corporates Short Term Metzler Wertsicherungsfonds 90Metzler Alternative Multi Strategy Metzler Wertsicherungsfonds 98Metzler Sovereign Select LCR Metzler European Dividend Sustainability Metzler European Equity Enhanced Metzler Global Equity Enhanced Metzler US Equity Enhanced Metzler Japanese Equity Enhanced Metzler German Equity Enhanced andMetzler Wertsicherungsfonds 92,INVESTMENT
Metzler Bank,Ltd has been appointed as Investment Manager of Metzler Japanese Equity Fund,INVESTMENT
Metzler Bank,l Nissay Asset Management Corporation has been appointed as Investment Manager to Metzler Focus Japan,INVESTMENT
Metzler Bank,lChina Asset Management Hong Kong Limited hasbeen appointed asInvestment Manager toMetzler China AShare Equity Fund,INVESTMENT
Metzler Bank,Launch of New Sub Fund Launch of Additional Share Classes Conversion to a Share Class Fund Change of Name Events since the Year End Date It is the intention of the Directors to continue to develop the investment activities of the Company,INVESTMENT
Metzler Bank,Adetailed performance review foreach Fund isincluded intheInvestment Reviews section onpages 7to49,INVESTMENT
Metzler Bank,Theperformance figures of the Funds shown in the investment reviews are adjusted for any distributions made during the financial year,INVESTMENT
Metzler Bank,Rainer Matthes - German Keith Milne - Irish  Damien Owens - Irish Joachim Treppner - German Deirdre Yaghootfam independent director - Irish   Directors and Secretarys Interests Soft Commissions There were no soft commission arrangements in place during the year,INTEREST
Metzler Bank,None oftheDirectors theCompany Secretary northeir families held at30September 2019 orduring theyear anybeneficial interest in the shares of the Company,INTEREST
Metzler Bank,Thedirectors areresponsible forkeeping adequate accounting records which disclose withreasonable accuracy atanytime the assets liabilities financial position andprofit orloss oftheCompany andenable them toensure thatthefinancial statements comply with theCompanies Act2014 theEuropean Communities Undertakings forCollective Investment inTransferable Securities Regulations 2011 andtheCentral Bank Supervision andEnforcement Act2013 Section 481 Undertakings for Collective Investment inTransferable Securities Regulations 2019,PROFIT
Metzler Bank,Regulation 43oftheCentral Bank Supervision and Enforcement Act2013 Section 481 Undertakings forCollective Investment inTransferable Securities Regulations 2019 Transactions involving Connected Persons states that any transaction carried outwith these connected persons must becarried outasifnegotiated atarms length andmust beinthe best interests of the shareholders,INVESTMENT
Metzler Bank,On behalf of the Board on Keith Milne DirectorDamien Owens Director 7 30 January 2020 Investment Reviews Metzler European Smaller Companies Investment Objective Fund Report Performance in review period  -2,INVESTMENT
Metzler Bank,Themacroeconomic and inparticular thepolitical climate forEuropean equity markets was difficult throughout theentire reporting period,EQUITY
Metzler Bank,From October theequity markets were virtually cleared,EQUITY
Metzler Bank,Atthebeginning oftheyear thetrend ontheequity markets reversed,EQUITY
Metzler Bank,Market participants viewed thepolitical risks slightly more positively andequities benefitted from the central banks interest rate policy,INTEREST
Metzler Bank,Consequently the equity markets recovered considerably from theheavy losses they hadsuffered however again largely irrespective of fundamental corporate data,LOSS
Metzler Bank,InMay USPresident Trump putanendtothestock market recovery viaaTwitter statement and reignited thetrade conflict,STOCK
Metzler Bank,The investment objective oftheFund istoachieve long term capital appreciation by investing predominantly inEuropean equities andequity related securities insuch away that medium tosmall companies measured bymarket capitalization willform themain focus of the portfolio,INVESTMENT
Metzler Bank,Inthereporting period weadded solid more defensive growth stocks totheportfolio,STOCK
Metzler Bank,Stocks intheBritish medical technology firmBTG also grew strongly with afigure of 48,STOCK
Metzler Bank,We realised profits and fully divested our position in Entertainment One,PROFIT
Metzler Bank,Meanwhile stocks intheBritish online fashion retailer Asos -47 were among thelosers inthefund and wesold ourshareholding infull,STOCK
Metzler Bank,The French stock Maisons du Monde also compromised fund performance with a minus of 43,STOCK
Metzler Bank,Wealso added two manufacturers ofpharmaceutical products forveterinary applications We included stocks oftheFrench company Virbac and theBritish manufacturer Dechra Pharmaceuticals,STOCK
Metzler Bank,Following astrong price rally wealso reduced our position intheDanish medical technology firmColoplast andsecured profits forthefund,PROFIT
Metzler Bank,Wealso divested ourstocks oftheBritish online fashion retailer Asos infull The company isfighting against falling margins and tougher competition,STOCK
Metzler Bank,We further disposed ofallshares intheDanish biotech company Novozymes aswellasourstocks in the German automotive supplier Continental,STOCK
Metzler Bank,Thestocks thatcontributed themost totheperformance oftheportfolio included Wirecard financial services provider Germany Danone food beverages France and ASML semiconductors Netherlands,STOCK
Metzler Bank,The investment objective oftheFund istoachieve long term capital appreciation by investing predominantly inEuropean equities andequity related securities insuch away that companies of growth sectors will be the main focus of the investment portfolio,INVESTMENT
Metzler Bank,Atthebeginning ofthereporting period theinitially further escalating trade conflict between theUSA and China weaker economic data continued interest rate increases bytheUS Federal Reserve together withaseries ofpolitical risks caused aninitial downturn inequity prices,INTEREST
Metzler Bank,The outlook became brighter from thebeginning of2019 The excessive price declines ontheequity markets were largely reversed bytheendofthereporting period,EQUITY
Metzler Bank,In May USPresident Trump called anend tothestock market recovery viaTwitter and reignited thetrade conflict,STOCK
Metzler Bank,The Fund may invest upto100 ofitsnetassets inInvestment Funds inaccordance with the conditions set down by the Central Bank,INVESTMENT
Metzler Bank,Atthebeginning oftheyear under review and again inDecember prices ontheglobal equity markets fellsharply duetorecession fears,EQUITY
Metzler Bank,Moreover market participants feared that companies profit margins would decrease,PROFIT
Metzler Bank,Inthesummer months indications forareturn toamore expansive monetary policy grew andtheequity markets recovered accordingly,EQUITY
Metzler Bank,Thefund which isprimarily invested inequities started themonth ofOctober witha netequity exposure ofjustbelow 97,EQUITY
Metzler Bank,Both tactical indicators aswell asour riskmanagement also resulted inindications thatinvolved areduction inequity exposure,EQUITY
Metzler Bank,Especially throughout December thisenabled ustoabsorb some oftheprice losses,LOSS
Metzler Bank,Furthermore weexpect thecycle ofinterest rate increases intheUSA toslow down significantly,INTEREST
Metzler Bank,Atthebeginning ofApril equity exposure was initially increased byapprox,EQUITY
Metzler Bank,Following the surprising escalation ofthetrade conflict between theUSA andChina wesawanincreased riskfordownturns inshare prices andtherefore reduced thenetequity exposure through share index futures byupto10 bythemiddle ofMay,EQUITY
Metzler Bank,Inthe second halfofMay andthebeginning ofJune wetook advantage ofthelower price levels toincrease thenetequity exposure byapprox,EQUITY
Metzler Bank,Inthesecond halfofAugust andthebeginning ofSeptember wethen increased theequity exposure again byaround 20percentage points especially in view oftheanticipated more expansive monetary policy from theUSFederal Reserve and theECB,EQUITY
Metzler Bank,Attheend ofSeptember netequity exposure stood atjustunder 96 ofall investments,INVESTMENT
Metzler Bank,Forthereporting period both sector allocation and stock selection were negative with larger impact from stock selection,STOCK
Metzler Bank,Interms ofstock selection overweight positions inDai-ichi Seiko and NEC Electric Appliances Nihon Unisys and TIS Information Communication Itochu Corp,STOCK
Metzler Bank,With value stocks continuing tounderperform growth stocks formost partofthereporting period except forsome momentary bounces theportfolio hasfailed toproduce attractive returns,STOCK
Metzler Bank,Despite thedifficult conditions webelieve bottom-up individual stock selection willprevail andwehave been gradually increasing theover under-weights ofourhigh low convictions,STOCK
Metzler Bank,The investment objective oftheFund istoachieve long term capital appreciation by investing predominantly inequities and equity related securities ofinternational growth companies,INVESTMENT
Metzler Bank,The escalating trade conflict between theUSA and China theweaker economic data continued interest rate hikes bytheUSFederal Reserve andaseries ofpolitical risks all initially sent share prices plummeting,INTEREST
Metzler Bank,Wetook advantage offalling prices onequity markets inthefinal three months of2018 to further increase ourpositions inseveral selected technology andsemi-conductor stocks at what we believe to be favourable initial price offerings For instance webuilt upour shareholdings inthe semiconductor company ASML Netherlands aswellasintheUStechnology company Microsoft software andhardware,STOCK
Metzler Bank,Steady organic growth and gradually rising margins make this defensive growth stock anattractive investment,INVESTMENT
Metzler Bank,In contrast wesold ourentire stake inRockwell Automation automation technology USA and Blackstone private equity USA securing gains for the fund,EQUITY
Metzler Bank,Inthefourth quarter of2018 prices ontheequity markets caved inconfirming investors recession fears,EQUITY
Metzler Bank,Signs ofrapprochement emerged inthetrade dispute between theUSA and China andtheFederal Reserve announced thatitwould refrain from further interest rate increases fornow,INTEREST
Metzler Bank,Inthisenvironment the Eastern European stock exchanges performed comparatively well,STOCK
Metzler Bank,Falling oilprices initially depressed prices ontheRussian stock exchanges,STOCK
Metzler Bank,ThePolish stock market managed toescape theglobal price slump inthefourth quarter of 2018,STOCK
Metzler Bank,Inthesecond half oftheyear under review performance oftheequity markets inPoland was primarily driven byweak financial stocks the heavyweight inthe MSCI Poland Index,STOCK
Metzler Bank,Historically low interest rates increasingly strict regulation andpotential losses from CHF mortgages impacted prices,LOSS
Metzler Bank,Inthesecond andthird quarter of2019 wefurther increased ourpositions intheBosporus region forinstance with stocks inthegroceries discount store BIM the automobile manufacturer Ford Otosan and the agricultural machinery manufacturer Turk Traktor,STOCK
Metzler Bank,TheTurkish central bank reduced its keyinterest ratefrom 24,INTEREST
Metzler Bank,Measured against theMSCI TIndex theTurkish stock exchange posted gains of 26,STOCK
Metzler Bank,InMay theJapanese equity pulled back amid concerns over a setback intheglobal economy caused bytrade frictions with theUShiking tariffs on Chinese imports imposing sanctions onHuawei andsetting additional tariffs onMexican imports,EQUITY
Metzler Bank,InJune theJapanese equity turned upastheFed chair suggested interest rates could come down after thecorrection inearly June causing concerns ontheUSimposing additional tariffs onMexican imports,INTEREST
Metzler Bank,InQ32019 inJuly theJapanese equity rallied on1progress seen with trade talks between theUSandChina atasummit meeting held attheG20 and2strength ontheUS market brought byexpectations formonetary easing,EQUITY
Metzler Bank,The equity market continued tofluctuate asa result ofincreasing converns oneconomic recession,EQUITY
Metzler Bank,InSeptember theJapanese equity rebounded onreopening ofUS-China trade talks and higher USinterest rates,INTEREST
Metzler Bank,USlong-term interest rates rose partly on an improvement in US economic indicators and the Yen weakened,INTEREST
Metzler Bank,The investment objective oftheFund istoachieve long term capital appreciation by investing predominantly inequities andor equity related securities ofcompanies located in Japan which arelisted ortraded onrecognised markets inJapan,INVESTMENT
Metzler Bank,The Fund willforthe most partbeinvested inupto35securities however thisnumber may beincreased ifthe Investment Manager deems appropriate,INVESTMENT
Metzler Bank,InOctober 2018 Japanese stock market plunged asinvestors turned risk-off amid arisein USlong-term interest rates and concern over aslowdown inChinese economy,INTEREST
Metzler Bank,In November thenews onareduction inApples iPhone production themidterm election results intheUStrade friction between theUSandChina andweakness intheUStech stocks weighed ontheJapanese stock markets,STOCK
Metzler Bank,The FOMCs decision tohike interest ratewasitsfourth during 2018,INTEREST
Metzler Bank,InQ12019 themarket dropped significantly inthefirsttrading session oftheyear but responded positively tothestrength onUSmarket when theFedadopted acautious stance onfurther interest rateincrease,INTEREST
Metzler Bank,We took advantage oftheexcellent performance ofshares inColoplast theDanish manufacturer of products forstool and urinary incontinence and divested ourstake ataprofit during the reporting period,PROFIT
Metzler Bank,Wealso reduced ourengagement inAssa Abloy aSwedish group that manufactures and distributes electromechanical products such aslock systems and security doors and realised profits,PROFIT
Metzler Bank,New stocks also include theinsurer Prudential andtheSwiss dentistry company Straumann which iswellpositioned in the market for dental implants,STOCK
Metzler Bank,Inparticular stocks inHelloFresh Danone and ASM International made apositive contribution toperformance inthereporting period,STOCK
Metzler Bank,The investment objective oftheFund istoachieve long term capital appreciation by investing predominantly inEuropean equities andequity related securities insuch away that companies ofgrowth sectors willbethemain focus oftheinvestment portfolio,INVESTMENT
Metzler Bank,Price losses inthefourth quarter of2018 almost consistently hitdouble digits,LOSS
Metzler Bank,However theequity markets recovered again inthenew year,EQUITY
Metzler Bank,This affected cyclical stocks whereas ultra- defensive stocks noted increased demand,STOCK
Metzler Bank,In particular several companies were challenged byprofit warnings inthefirst half ofthe reporting period,PROFIT
Metzler Bank,The price oftheBritish online fashion retailer Asos collapsed when in December thecompany surprisingly lowered theprofit targets fortheongoing 201819 financial year,PROFIT
Metzler Bank,Inthethird quarter of2019 wedivested thisstock infull,STOCK
Metzler Bank,The price of Fresenius Medical Care also crashed inthefourth quarter of2018 when theleading German supplier ofdialysis products and services revised itsexpected profit growth downwards,PROFIT
Metzler Bank,The companys figures were significantly weaker than expected and theprofit forecast had tobecorrected downward twice,PROFIT
Metzler Bank,Stocks inAccessor Technology Group -70 adeveloper ofsolutions foraccess systems formajor events listed inLondon initially gained significantly butthen suffered severely from thesell-off ofsmall caps,STOCK
Metzler Bank,Theannouncement ofhigh investments also pulled theshare down,INVESTMENT
Metzler Bank,While shares intheBritish firmLearning Technologies -31 had performed extremely well intheprevious reporting period they fluctuated strongly in the current year under review and closed on a loss,LOSS
Metzler Bank,We disposed ofseveral cyclical stocks intheyear under review astheuncertain macroeconomic outlook andaweakening economy leftussceptical,STOCK
Metzler Bank,The objective oftheFund istoachieve long term capital appreciation byinvesting predominantly inEuropean equities andequity related securities with afocus onmicro and small companies measured bymarket capitalisation with promising long-term growth prospects,EQUITY
Metzler Bank,The European stock markets were marked byhigh volatility during thereporting period,STOCK
Metzler Bank,Particularly inthefinal quarter of2019 thestock exchanges trended downwards until stabilisation wasachieved,STOCK
Metzler Bank,In thereporting period thebroad European stock market STOXX 600 finished onaplus of 5,STOCK
Metzler Bank,The fund performance issignificantly influenced bytheindividual stocks chosen,STOCK
Metzler Bank,Inthereporting period thefund significantly lagged behind stock market performance,STOCK
Metzler Bank,The company posted healthy figures and raised profit expectations,PROFIT
Metzler Bank,Stocks inthesalmon farming business Scottish Salmon Company listed inNorway performed even better 89,STOCK
Metzler Bank,While risk-free bonds gained significantly when measured forinstance against German federal bonds corporate bonds remained very weak,BONDS
Metzler Bank,Risk premiums rose sharply even for corporate bonds with short residual terms,BONDS
Metzler Bank,Finally themost important central banks also hadtheir say The USFederal Reserve continued itscycle ofinterest rate increases inDecember 2018 with afurther 25 base points,INTEREST
Metzler Bank,Theyield on ten-year federal bonds fellsharply inthefirstquarter of2019 even dropping below thezero percent mark inMarch,BONDS
Metzler Bank,TheEuropean Central Bank responded with anexpansive impetus byadjusting itsforward guidance and postponing theearliest possible date forakeyinterest rate increase in2020,INTEREST
Metzler Bank,Corporate bonds benefitted from falling interest rate levels aswell as restrictions onrisk premiums inthefirst quarter of2019 after these had increased significantly inthequarter before that,INTEREST
Metzler Bank,This particularly affected lower rating classes longer terms and subordinated bonds,BONDS
Metzler Bank,The yield onten-year federal bonds dropped below the-0,BONDS
Metzler Bank,Inparticular hepromised further interest rate cuts and even new bond purchases,INTEREST
Metzler Bank,Risk premiums forcorporate bonds ascompared to government bonds had slightly increased inMay and fellagain thereafter however still remaining slightly above their all-year low,BONDS
Metzler Bank,Thebigwinners inthequarter under review were primarily government bonds from countries attheperiphery oftheEuropean Monetary Union especially Italy and Greece,BONDS
Metzler Bank,The third quarter of2019 was primarily marked byafurther declining general interest rate level especially forlonger terms,INTEREST
Metzler Bank,Forinstance theyield forten-year federal bonds felltoa lowof-0,BONDS
Metzler Bank,Thus theentire yield curve forfederal bonds wasinthenegative range forthefirst time,BONDS
Metzler Bank,Asaprecautionary measure theUSFederal Reserve reduced thekeyinterest rate twice inthethird quarter,INTEREST
Metzler Bank,Meanwhile theEuropean Central Bank decided onanextensive bundle ofmeasures including another reduction indeposit rates and therecommencement ofnetbond purchases from November,DEPOSIT
Metzler Bank,Inview ofthe political andeconomic risks aswell astheincreasing attractiveness ofeuro-denominated corporate bonds ascompared tothecorresponding government bonds riskpremiums for euro-denominated corporate bonds trended sideways,BONDS
Metzler Bank,Subordinated bonds also performed better than senior bonds,BONDS
Metzler Bank,Inthereporting period we maintained anoverweighting ofbonds with lowratings intheportfolio aswell asan overweighting in subordinated bonds and bonds with residual term of more than three years,BONDS
Metzler Bank,Some new individual stocks were included intheportfolio inpart through participation in new emissions andthrough purchases onthesecondary market,STOCK
Metzler Bank,Inaddition wereallocated a number of bonds with shorter residual terms to bonds with comparatively longer terms,BONDS
Metzler Bank,Aquantitative duration management system was used inorder tobeable tosystematically profit from the interest rate dynamics within the eurozone,PROFIT
Metzler Bank,Trading signals were implemented using liquid exchange-traded futures contracts oninterest rates and bonds,INTEREST
Metzler Bank,Due totherelative weakness compared totheequity market theduration ofthefund was however reduced standing at 4,EQUITY
Metzler Bank,Inthefirstnine months of2019 thestrong bond market dominated fund performance dueto thehigh initial allocation forbonds,BONDS
Metzler Bank,However thehigh contribution from bonds ensured a clearly positive result,BONDS
Metzler Bank,The investment objective oftheFund istoachieve long term capital appreciation while aiming torestrict negative returns within acalendar year to10 thus aiming topreserve a minimum NetAsset Value perShare adjusted fordividend distributions atyear endof90 oftheNetAsset Value perShare atthebeginning ofacalendar year,INVESTMENT
Metzler Bank,The Fund willseek toattain itsinvestment objective bygaining exposure totheglobal equity and debt securities markets,INVESTMENT
Metzler Bank,The Fund willgain thisexposure bypredominantly investing in global stock index derivatives and interest ratebond derivatives,INTEREST
Metzler Bank,Metzler Wertsicherungsfonds 90began thefinancial year withanequity quota of43,EQUITY
Metzler Bank,Derivatives onglobal equity indices held bythefund lostapproximately 11,EQUITY
Metzler Bank,Due totheconsistently negative performance onthestock market andincreased volatility theequity ratio was significantly reduced and stood at 5,STOCK
Metzler Bank,Meanwhile theprices ofthederivatives onglobal bonds held intheportfolio performed positively Attheend oftheyear they stood ataplus of0,BONDS
Metzler Bank,The fund thus started thenew calendar year with an equity exposure of 8,EQUITY
Metzler Bank,Until theendofSeptember thestock markets appeared inbetter light than in2018,STOCK
Metzler Bank,Overall theglobal stock basket stillrecorded significant growth of 15,STOCK
Metzler Bank,Inthefourth quarter of2018 thereporting period started offwith acorrection ontheequity market and correspondingly increasing volatilities,EQUITY
Metzler Bank,The counter-measures taken bythe central banks ensured asignificant recovery oftheequity markets in2019,EQUITY
Metzler Bank,Due totherelative weakness compared totheequity market theduration ofthefund was however reduced standing at 1,EQUITY
Metzler Bank,The investment objective oftheFund istoachieve long term capital appreciation while aiming torestrict negative returns within acalendar year to2thus aiming topreserve a minimum NetAsset Value perShare adjusted fordividend distributions atyear endof98 oftheNetAsset Value perShare atthebeginning ofacalendar year,INVESTMENT
Metzler Bank,The Fund willseek toattain itsinvestment objective bygaining exposure totheEUdebt securities markets and theglobal equity markets,INVESTMENT
Metzler Bank,The Fund willgain this exposure by predominantly investing inEUinterest ratebond derivatives and global equity index derivatives,INTEREST
Metzler Bank,Metzler Wertsicherungsfonds 98began thefinancial year with anequity quota of2,EQUITY
Metzler Bank,Due totheconsistently negative performance ontheequity market with high volatility theequity exposure was significantly reduced and stood at approx,EQUITY
Metzler Bank,Meanwhile theprices ofthederivatives onglobal bonds held intheportfolio performed very positively Attheend oftheyear they stood ataplus of1,BONDS
Metzler Bank,The fund thus started thenew calendar year with an equity exposure of 1,EQUITY
Metzler Bank,Italian government bonds benefitted disproportionately Risk premiums forexample against federal bonds decreased considerably,BONDS
