Bank Name,Financial Text,Financial Term
Berenberg Bank,We adhere to these principles in the interests of our  clients business associates partners employees and the company,INTEREST
Berenberg Bank,FOREWORD  4 We have been supporting sustainability mandates for a long time and offer our  customers not only financially sound investments but also investments products  and services that take into account social and ecological criteria,INVESTMENT
Berenberg Bank,In the Corporate Banking business division we co-finance renewable  energy projects worldwide with our Green Energy Junior Debt Funds and by doing  so make a contribution to the transition to renewable energy,FUNDS
Berenberg Bank,An established ESG  team operates within the area of equity research at Berenberg designed to help  integrate ESG analysis into our core equity research products,EQUITY
Berenberg Bank,An office in Brussels was added at the end of 2021 and an office in Stockholm is set to be opened,STOCK
Berenberg Bank,We help our clients to grow their investments  achieve their goals and meet their challenges and we do this as expert advisers and  longstanding service providers,INVESTMENT
Berenberg Bank,Investment Bank The broad-based Investment Bank division focuses on service and advisory opera - tions in the segments of Equities Investment Banking and Financial Markets,INVESTMENT
Berenberg Bank,As at  year-end 2021 our Equity Research team covered 1250 shares,EQUITY
Berenberg Bank,Asset Management  We offer multi-award-winning funds in various asset classes  global asset management strategies opportunistic approaches and professional risk  management strategies,FUNDS
Berenberg Bank,The investment strategies we develop for our clients focus on high  product quality dynamic growth and promising performance,INVESTMENT
Berenberg Bank,Sustainability aspects  are integrated into our investment processes,INVESTMENT
Berenberg Bank,In recent years we have built up special expertise in credit  fund solutions for institutional investors,CREDIT
Berenberg Bank,BUSINESS MODEL AND ENVIRONMENT 10 Significant changes in the reporting year Berenberg closed the financial year 2021 with a net profit for the year of   170,PROFIT
Berenberg Bank,As expected net interest income  fell again significantly by   18,INTEREST
Berenberg Bank,The ratio of current net interest income excluding income from  participating interestsaffiliated companies to net commission income was 6   94  12  88 underlining the tremendous importance of the commission business for  the Banks business model,INTEREST
Berenberg Bank,A key determinant of Berenbergs net commission income is the securities and  equities business in the Investment Bank business division,INVESTMENT
Berenberg Bank,As a signatory to the United Nations-supported Principles for  Responsible Investment UN PRI we remain committed to our responsibility  in this respect,INVESTMENT
Berenberg Bank,In addition our investment funds have received top marks from  relevant research houses such as the Forum Nachhaltige Geldanlagen FNG the  sustainable investment forum for Germany Austria Liechtenstein and Switzerland,INVESTMENT
Berenberg Bank,In Corporate Banking the commission income generated in the reporting year  once again exceeded interest income,INTEREST
Berenberg Bank,In addition to our many years of experience  in services rendered to German and international shipping customers we also gen - erated very pleasing transaction-related commission income in the subsegments of  Structured Finance and Infrastructure  Energy particularly through institutional  investments in credit funds,INVESTMENT
Berenberg Bank,The historically low andor negative interest rates continue to affect banks  business activities,INTEREST
Berenberg Bank,Added to this are ever-changing regulatory requirements as  well as digitalisation challenges that need to be overcome,REGULATORY
Berenberg Bank,We intend to further expand our New York location and our equity research for  US stocks and by doing so increase the regional diversity of the business model  already established in Europe,STOCK
Berenberg Bank,We plan to retain our proven diversified business model focused on the areas  of Investment Bank Wealth and Asset Management and Corporate Banking,INVESTMENT
Berenberg Bank,Over the  past few years we have further expanded this product range and built up a track  record with solid performance drawing in particular on the outstanding internal  equity know-how at our disposal,EQUITY
Berenberg Bank,The debt funds set up and managed within Corporate Banking have exhibited  particularly positive developments,FUNDS
Berenberg Bank,Moreover the new restrictions which had  to be imposed again in some parts of the world in 2021 were far more targeted than  those which were implemented in the first wave,RESTRICTIONS
Berenberg Bank,Supply bottlenecks and a shortage of semiconductors and other 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 Net profit for the year  million 60 66 40 104 161 90 23 61 108 170 Net commission income  million 206 234 244 321 254 343 279 356 416 573 Total assets  million 4279 4525 4514 4738 4716 4741 4693 5059 4654 6376 Equity  million 221 223 219 234 265 296 293 288 296 341 Receivables from clientsloans  million 794 642 750 1013 934 929 1097 1175 1046 1075 Liabilities to clientsdeposits  million 3083 3390 3199 3570 3721 3736 3924 4263 3835 5480 Return on equity before taxes  43,PROFIT
Berenberg Bank,In  addition to effective measures implemented to prevent new waves of the pandemic  the credit-financed stimulus of the previous year also contributed to this growth,CREDIT
