Bank Name,Financial Text,Financial Term
Commerz Bank,data Corporate  Clients   Treasury Platforms Group Operations Group Business  Platforms Group Digital Transformation Group Credit Group Technology Foundations Group Organisation   Security and  Group Securities   Brokerage,CREDIT
Commerz Bank,Restrictions on voting rights and transfers nature of   voting control for employee shares We are not aware of any restrictions on voting rights or the transfer  of shares,RESTRICTIONS
Commerz Bank,Equity holdings that exceed 10 of the voting rights  According to the German Securiti es Trading Act every investor  who reaches exceeds or falls below certain proportions of voting  rights through acquisition sale or in any other way must notify us  and the Federal Financial Supervisory Authority BaFin,EQUITY
Commerz Bank,The Board of  Managing Directors is authoris ed with the approval of the  Supervisory Board to exclude subscription rights in order to i  exclude fractional amounts from th e subscription ri ghts ii to  the extent necessary grant subscr iption rights to new shares to              6 Commerzbank Aktiengesellschaft   holders of conversion or option rights iii increase the share  capital against contributions in kind or iv issue new shares  against cash contributions to th e extent of no more than 10  of the Banks share capital at  the time the authorisation  becomes effective or at the time the authorisation is exercised  whichever amount is lower if the issue price of the new shares is not significantly lower than the stock market price for shares  of the same class at the time the issue price is determined,STOCK
Commerz Bank,of the German Stock Corporation Act the shares purchased on the basis of  this authorisation must at no  time exceed 10 of the Banks share capital,STOCK
Commerz Bank,At the discretion of the Boar d of Managing Directors the  shares may be acquired on the stock exchange or by means of a  public purchase offer addressed to all shareholders,STOCK
Commerz Bank,The Board of Managing Directors was authorised to use  repurchased shares as follows in accordance with the resolution of the Annual General Meeting     sale of treasury shares on the stock exchange or by means of  an offer to all shareholders   sale of treasury shares against a non-cash contribution for the  purpose of acquiring companies parts of companies or equity interests in companies as well as other assets   in the event of the sale of treasury shares by means of an offer  to all shareholders the granting  of a subscription right for  holders of conversion or option rights as would be due to them  after exercising the conversion  or option right or after  fulfilment of a corresponding conversion or option obligation   issue of treasury shares i as employee shares to employees up  to a proportional amount of the share capital of 15000000,INTEREST
Commerz Bank,The terms and conditions  of these derivatives must ensure th at the derivatives entail delivery  of only shares that have themselves been acquired in compliance with the principle of equal treatment the acquisition of shares on  the stock exchange is sufficient for this purpose,STOCK
Commerz Bank,In general the  right of termination is also conditional upon a material deterioration in Commerzbanks credit standing,CREDIT
Commerz Bank,In the event of  this type of termination the in dividual agreements signed under  these master agreements would have to be settled at market value which can be determined on any stock exchange trading day,STOCK
Commerz Bank,As regards the risk assessment of the reporting process  required by COSO in respect of the reliability of financial reporting  for example ensuring that all transactions are fully and correctly recognised in the financial statements the Bank follows the  recommendations of the International Standard on Auditing  ISA 315,LIABILITY
Commerz Bank,The scope and  structure of the governance framework follow both the legal and  regulatory requirements and also the Commerzbank corporate constitution approved by the Bo ard of Managing Directors,REGULATORY
Commerz Bank,Financial Statements and Management Report 2022 9  Group Audit reports to the Supervisory Board and its appointed  committees in line with regulatory  requirements and by means of  summary quarterly reports about th e work it has carried out and  its material findings,REGULATORY
Commerz Bank,consolidating equity liabilities  income and expenses currency translation and the elimination of intra-Group profits,PROFIT
