Bank Name,Financial Text,Financial Term
Helaba Bank,Annual Financial Report 2022 Annual Financial Statements of Helaba   Contents  Management Report and Annual Financial Statements   of Landesbank Hessen-Thringen Girozentrale 4  Management Report of Landesbank Hessen-Thringen Girozentrale 72  Annual Financial Statements of Landesbank Hessen-Thringen Girozentrale 74 Balance Sheet of Landesbank Hessen-Thringen Girozentrale 78  Income Statement of Landesbank Hessen-Thringen Girozentrale 80  Notes to the Annual Financial Statements   of Landesbank Hessen-Thringen Girozentrale 135 Responsibility Statement 136 Independent auditors report 143 Independent auditors report on a limited assurance engagement  Management Report and Annual Financial Statements   of Landesbausparkasse Hessen-Thringen 146  Management Report of Landesbausparkasse Hessen-Thringen 162 Statistical Annex to the Management Report 175  Annual Financial Statements of Landesbausparkasse Hessen-Thringen 176  Balance Sheet of Landesbausparkasse Hessen-Thringen 178  Income Statement of Landesbausparkasse Hessen-Thringen 180  Notes to the Annual Financial Statements   of Landesbausparkasse Hessen-Thringen 186  Independent Auditors Report 189  Advisory Board of Landesbausparkasse Hessen-Thringen 191 Helaba Addresses  Management   Report of   Landesbank   Hessen-Thringen   Girozentrale  6 Management Report Basic Information About Helaba Management Report Basic Information   About Helaba The Helaba business model Landesbank Hessen-Thringen Girozentrale  Helaba  is a credit  institution organised under public law with a commitment to  operating sustainably its long-term strategic business model  is that of a full-service bank with a regional focus a presence in  carefully selected international markets and a very close rela - tionship with the Sparkassen-Finanzgruppe,CREDIT
Helaba Bank,Helaba  operates as a for-profit entity in line with the  applicable provisions of the Charter and the Treaty of the For- mation of a Joint Savings Banks Association Hesse-Thuringia,PROFIT
Helaba Bank,FBG  offers consulting services for family-   owned businesses in connection with mergers and acquisitions  MA through the investment in IMAP  MA Consultants AG  Deutschland,INVESTMENT
Helaba Bank,Helaba    Invest offers professional management of the assets of institu- tional investors using special funds for institutional investors  and retail funds and as part of advisory and management port- 7 folios,FUNDS
Helaba Bank,Its range of products includes management and advisory  services in connection with both liquid and illiquid asset classes  together with the administration of master investment company  portfolios including optional and statutory reporting as well as  risk management,INVESTMENT
Helaba Bank,Within the Sparkassen-Finanzgruppe  Helaba  Invest is the largest provider of special funds for institu- tional investors,FUNDS
Helaba Bank,The group focuses on developing  housing projects managing and optimising residential property  portfolios and initiating and supporting residential real estate  funds,FUNDS
Helaba Bank,Helaba s registered offices are situated in Frankfurt am Main and  Erfurt and it also has branches in Dsseldorf Kassel Paris   London New York and Stockholm,STOCK
Helaba Bank,Management instruments and non-financial   performance indicators As part of managing the Bank as a whole Helaba  has integrated  systems in place for business and profitability management  which are firmly embedded in an overarching management  framework,PROFIT
Helaba Bank,Profitability analyses and the results  of cross-selling are also produced,PROFIT
Helaba Bank,Systematic prelim- inary costings are carried out for loan agreements in particular  to ensure that new business is managed with a focus on risk and  profitability,PROFIT
Helaba Bank,Profitability targets are managed on the basis of for example  return on equity  RoE  as the economic return on equity ratio  of operating result before taxes to average capital employed in  the financial year determined in accordance with IFRS,PROFIT
Helaba Bank,For  2022 the Helaba  Group set a target range of 6   to 8   for  economic return on equity before taxes,EQUITY
Helaba Bank,The CIR is the ratio of general  and administrative expenses including depreciation amortisa- tion and write-downs to total profitloss before taxes net of gen - eral and administrative expenses including depreciation amor - tisation and write-downs and of loss allowances for loans and  advances,PROFIT
Helaba Bank,Capital adequacy is managed through the allocation of regula- tory and economic limits and through the own funds ratios,FUNDS
Helaba Bank,When the target capital ratios are set the targets take into ac- count the additional own funds requirements specified by the  European Central Bank  ECB,FUNDS
Helaba Bank,Taking into account the capital  buffer requirements applicable at 31 December 2022 the min- imum Common Equity Tier 1  CET 1 capital ratio including cap - ital buffer requirements required to be maintained by the  Helaba  Regulatory Group under the Supervisory Review and  Evaluation Process  SREP  decision taken by the ECB  was  8,EQUITY
Helaba Bank,In February 2022 the ECB  notified the Helaba  Regulatory Group  of the findings of the Supervisory Review and Evaluation Process  SREP,REGULATORY
Helaba Bank,The leverage ratio measures the ratio between regulatory cap- ital and the unweighted total of all on-balance sheet and off-bal- ance sheet asset items including derivatives,REGULATORY
Helaba Bank,Both  liquidity ratios are leading to increased liquidity management  costs and therefore have a negative impact on profitability,PROFIT
Helaba Bank,As part of the implementation of the Single Resolution Mecha- nism  SRM  in Europe the competent resolution authority has  specified an institution-specific minimum requirement for own  funds and eligible liabilities  MREL,FUNDS
Helaba Bank,The mandatory final MREL   for the Helaba  Regulatory Group applicable from 1 January  2024 based on figures as at 31 December 2021 is 21,REGULATORY
Helaba Bank,The Helaba  Regulatory Group was notified of this MREL  by the  competent resolution authority at the end of January 2023 and  has been complying with the requirement since 1 January 2023,REGULATORY
Helaba Bank,These are supplemented by Pfandbrief issues  which are a cost-efficient component of its stable funding base  and funds raised through development institutions such as  WIBank,FUNDS
Helaba Bank,In order to fulfil its own aspiration to support the economy in  the transformation the Helaba  Regulatory Group has set itself  strategic objectives across the three dimensions of sustainabil - ity environment social and governance  ESG  and began back - ing those objectives with key performance indicators  KPIs in  2022,REGULATORY
Helaba Bank,The KPI management system testifies to the Helaba   Regulatory Groups ambition to orient its business activities  around sustainability and enables it to measure its progress in  quantitative terms,REGULATORY
Helaba Bank,These principles incorporate social eco- nomic and regulatory changes,REGULATORY
Helaba Bank,The Helaba  Regulatory Groups overall liquidity situation re - mains excellent and sound,REGULATORY
Helaba Bank,Financing in the real estate portfolio is particularly af - fected by the rise in interest rates,INTEREST
Helaba Bank,As part of its  range of services and advisory activities Helaba  also helps its  customers to raise funds through the capital markets,FUNDS
Helaba Bank,Loss allowances for 2022 were  at the expected level,LOSS
Helaba Bank,Further details on credit risk are presented in the risk report and  in Note 37 of the consolidated financial statements,CREDIT
Helaba Bank,Rising interest rates  only reinforce the importance of prioritising the income or cost  savings potentially to be realised over exploration for its own  sake in digitalisation initiatives,INTEREST
Helaba Bank,The growing significance of ESG  data from the regulatory per- spective is another significant influencing factor here,REGULATORY
Helaba Bank,The Helaba  Regulatory Group within the meaning of the KWG   and the CRR  together with its affiliated subsidiaries Frankfurter  Sparkasse and Frankfurter Bankgesellschaft Deutschland AG  is among the banks classified as significant and therefore sub - ject to direct supervision by the ECB,REGULATORY
Helaba Bank,The ECB  sent the Helaba  Regulatory Group a letter dated 14  December 2022 notifying it of the findings of the Supervisory  Review and Evaluation Process  SREP,REGULATORY
Helaba Bank,The requirements of the EBA  concerning disclosures regard- ing ESG  risks in accordance with Article 449a CRR  are satis- fied in the Helaba  Regulatory Groups 2022 Disclosure Re - port,REGULATORY
Helaba Bank,Helaba  liaises  very closely with its owners and has devised a number of dif- ferent solutions that take account of the questions posed by  the regulatory authorities,REGULATORY
Helaba Bank,Helaba  and its owners are confi- dent that at the end of the process Helaba s own funds in- struments will again be found to comply with all relevant  regulatory requirements,FUNDS
Helaba Bank,This increase reflects strong  demand for credit as a result of factors including customers in- creasing stocks in response to supply chain problems higher  material  commodity and energy prices and greater funding  requirements in connection with the sustainability transforma- tion and infrastructure finance,STOCK
Helaba Bank,Macroeconomic turmoil impacted heavily on the financial and  capital markets in 2022 accounting for a large part of the years  significant rise in inflation and sharp increase in interest rates  over the entire yield curve,INTEREST
Helaba Bank,Central  banks around the world brought the time of quantitative easing  QE to an end as well as introducing sizeable interest hikes,INTEREST
Helaba Bank,Bank issuing activities in the capital market accordingly fluctu- ated hugely in 2022 and were generally characterised by a  sometimes quite significant widening of spreads especially in  the case of credit asset classes,CREDIT
Helaba Bank,Interest rates rose substantially  too considerably enhancing the appeal of the fixed income mar - ket as a whole,INTEREST
Helaba Bank,Boosted by the substantial increase in interest rates sales of  retail issues placed through the Sparkasse network rose to a  record volume of  6,INTEREST
Helaba Bank,As in previous years  the customer deposits in the retail business within the Group  in particular through the subsidiary Frankfurter Sparkasse  brought further diversification to the funding base,DEPOSIT
Helaba Bank,Once again the CET 1 ratio  therefore remains well above the regulatory requirements,REGULATORY
Helaba Bank,In its first credit risk sharing transaction Helaba  freed up risk- weighted assets  RWA s of around  0,CREDIT
Helaba Bank,This credit risk sharing transaction synthetically transfers de - fault risk to investors,CREDIT
Helaba Bank,The NPL  ratio for the Helaba  Regulatory Group in accordance  with EBA  risk indicator code AQT3,REGULATORY
Helaba Bank,In the Helaba  Regulatory Groups MREL  portfolio reg- ulatory own funds accounted for 17,FUNDS
Helaba Bank,The MREL  portfolio is therefore well in excess of the current and  future MREL  requirements specified for the Helaba  Regulatory  Group by the competent resolution authority,REGULATORY
Helaba Bank,Helaba  is guided by the final MREL  set by the regulatory author - ities for the period from 1 January 2024 which stands at  21,REGULATORY
Helaba Bank,It is also successfully implementing its sustainable finance ad- visory service in which it offers a broadly based range of infor- mation across sectors and products around the theme of sus- tainable finance covering all financial instruments loans  promissory notes bonds leases guarantees etc,BONDS
Helaba Bank,These transac- tions included the issue of ESG -linked promissory notes in  which the interest cost attaching to the promissory note is  linked to the entitys sustainability performance,INTEREST
Helaba Bank,Helaba  is pursuing a portfolio-based approach and is planning  to issue more green bonds,BONDS
Helaba Bank,Externally induced costs including ex - penses for the bank levy the reserve funds and assessments  in contrast rose very significantly from 2018 on,FUNDS
Helaba Bank,The flexibility  created by the project is facilitating investment in future growth,INVESTMENT
Helaba Bank,Over the last few years it has therefore been able not  only to consolidate its market position in its core areas of busi- ness but also  on the basis of the good operating results  achieved  service all subordinated liabilities profit participa- tion rights and silent participations in full at all times and pay  regular dividends,PROFIT
Helaba Bank,For this reason net interest income and therefore also  the operating result and net income for the year reported under the results of operations are  14 m 2021  14 m higher than  in the income statement prepared in accordance with the   German Commercial Code Handelsgesetzbuch HGB,INTEREST
Helaba Bank,In addi- tion income from equity investments and dividends is not  shown separately under results of operations but instead in - cluded in net interest income,INVESTMENT
Helaba Bank,Results of operations 2022 2021 Changes in  m in  m in  m in  Net interest income 1303 1298 4 0,INTEREST
Helaba Bank,The very sharp increase in net  income of the trading portfolio and other net operating income  coupled with strong growth in net fee and commission income  boosted the operating result before loss allowances to  737 m  2021  489 m despite noticeably higher general and adminis - trative expenses,LOSS
Helaba Bank,The expense under net additions to loss allowances  net  remeasurement gains  losses was all but unchanged year on  year enabling Helaba  to increase its operating result before  taxes by  250 m to  488 m,LOSS
Helaba Bank,Net interest income a key component of Helaba s income rose  from  1298 m to  1303 m despite a fall in contributions from  participation in the ECB  tendering process  TLTRO  III,INTEREST
Helaba Bank,Net interest income also benefited from global  interest rate rises,INTEREST
Helaba Bank,Conversely lower  income from early termination fees had a negative impact on  net interest income,INTEREST
Helaba Bank,This was largely offset by the positive con- tribution from investments of own funds due to the rise in inter - est rate levels,INVESTMENT
Helaba Bank,Once again the income of  328 m 2021  82 m resulted  mainly from interest rate-related business which is the focus of  the customer-driven capital market activities,INTEREST
Helaba Bank,The very marked  increase here reflects the significant changes seen in market  conditions especially interest rates,INTEREST
Helaba Bank,Due to the noticeable rise  in interest rates and wider credit spreads remeasurement gains  on derivatives within net x-value adjustments  XVA s and a clear  increase in customer demand for hedging instruments and cap - ital market finance were the main drivers of the positive trend  in net trading income,INTEREST
Helaba Bank,This very significant im- provement is explained in part by lower expenses from interest  on pension and other provisions and in part by the fact that the  prior-year figure was adversely affected by additions to provi- sions,INTEREST
Helaba Bank,Other administrative expenses were  impacted by a very sharp increase in the European bank levy of   20 m to  90 m and a very strong rise in expenses for the asso- ciation overhead allocation and the reserve funds of  35 m to   81 m,FUNDS
Helaba Bank,Whereas the European bank levy increased as a result of  the general rise in contributions expenses for the reserve funds  went up due to DKB s switch to the private banks deposit guar- antee scheme,DEPOSIT
Helaba Bank,Depreciation and amortisation rose main due to  increased investment in information technology  IT,INVESTMENT
Helaba Bank,The net operating income of  1811 m 2021  1455 m and  general and administrative expenses including write-downs of   1074 m 2021  966 m combined to give an operating result  before loss allowances of  737 m 2021  489 m which equates  to a year-on-year increase of  248 m,LOSS
Helaba Bank,This rise is due in part to an increase in customer  deposits,DEPOSIT
Helaba Bank,The general rise in interest rates also led to an in - crease in the balance of cash collateral received and provided,INTEREST
Helaba Bank,The volume of bonds and equities allocated to the investment  and liquidity portfolio rose by  1,INVESTMENT
Helaba Bank,The main  investments were bonds and other fixed-income securities to- talling  13,INVESTMENT
Helaba Bank,Equity shares  and other variable-income securities amounted to   0,EQUITY
Helaba Bank,The portfolio of bonds  and other fixed-income securities contracted by  0,BONDS
Helaba Bank,Moving in the opposite direction were own bonds and  notes the return on which resulted in an increase of  3,BONDS
Helaba Bank,In  this context some of the loans granted in response to the  greater customer financing requirements were deposited in  overnight and term deposit accounts held with Helaba,DEPOSIT
Helaba Bank,Liabili- ties due to customers included home savings deposits of   5,DEPOSIT
Helaba Bank,Within securitised liabilities the issuance pro - grammes comprising short-term money market instruments  amounted to  0,MARKET INSTRUMENTS
Helaba Bank,Own funds Helaba s own funds reported on the balance sheet equity ex - cluding net retained profits including the fund for general bank - ing risks profit participation rights subordinated liabilities and  additional Tier 1 instruments totalled  10,PROFIT
Helaba Bank,Helaba s regulatory own funds as at 31 December 2022  i,FUNDS
Helaba Bank,before the annual financial statements were adopted and thus  before appropriations to revenue reserves were taken into con- sideration and including an allowance surplus of  263 m result - ing from the comparison of expected losses against loss allow- ances at the end of 2021  amounted to  9,REVENUE
Helaba Bank,Helaba s own funds  requirements under the CRR  amounted to  4,FUNDS
