Bank Name,Financial Text,Financial Term
Siemens Bank 2022,to take account of the wider effects of our investments  in technology and projects on mankind and society,INVESTMENT
Siemens Bank 2022,Christoph Baumgarten   Chief Financial Officer Member   Management Board Our green financing for three wastewater treat- ment plants in Saudi Arabia Madinah 3 Tabuk 2  and Buraydah 2 ISTPs will help optimize the use of  water resources by providing recycled water reduc- ing the consumption of fresh water and contributing  to Saudi Arabian water security,SECURITY
Siemens Bank 2022,These suc- cesses are bright spots in a tumultuous year and serve  to highlight our overarching commitment to ensuring  energy transition and security of supply and to invest- ing in fundamental infrastructure for the benefit of all  in the long term,SECURITY
Siemens Bank 2022,Deposit and treasury business The deposit business focus- es on the receipt and investment of overnight money and  time deposits from companies within the Siemens Group  and selected third-party institutions,INVESTMENT
Siemens Bank 2022,The treasury business  encompasses Group financing activities and asset liability  management including the management of a portfolio of  highly liquid assets,LIABILITY
Siemens Bank 2022,Asset liability management ensures  that the lending business is funded by equity and deposits,LIABILITY
Siemens Bank 2022,Central banks in many indus- trialized and emerging countries have reacted to above-target  inflation with more stringent monetary policies and raised  interest rates thus tightening financing conditions for com- panies in a way that curbs economy activity,INTEREST
Siemens Bank 2022,Overall how - ever the interest rate increases already implemented or still  expected by the central banks  especially in the eurozone   are moderate compared to the extent of inflation,INTEREST
Siemens Bank 2022,At the beginning of the year the economy in Europe recov - ered from the economic impact of the COVID-19 pandemic  and the accompanying lifting of restrictions is supporting  private consumption,RESTRICTIONS
Siemens Bank 2022,In terms of overall new business environment the first and  second quarters of the fiscal year were characterized by a sig- nificant increase in refinancing and new business due to the  further economic recovery after the severe restrictions of the  COVID-19 pandemic,RESTRICTIONS
Siemens Bank 2022,In the financing of projects and equipment investments for  which longer-term and therefore less cyclical planning cycles  are regularly relevant as well as in project financing in the  infrastructure sector which has proven to be quite resilient   to credit defaults even in the environment of the COVID-19  pandemic Siemens Bank continues to observe ongoing  intense competition in the search for attractive risk-return  profiles,INVESTMENT
Siemens Bank 2022,Due to the difficult macroeco- nomic environment and the overall significant increase in  interest rates higher interest margins than in previous years  could once more be achieved in some asset classes,INTEREST
Siemens Bank 2022,The current CRR III draft includes in particular far-reaching  changes in the Credit Risk Standardized Approach STA the  Internal Ratings-Based Approach IRBA as well as in the   capital requirements for operational risk,CREDIT
Siemens Bank 2022,Particularly noteworthy are among other  things the suitability and reliability of management body  members fit  proper as well as the regulations on SREP  and the inclusion of ESG factors in risk management,LIABILITY
Siemens Bank 2022,The simplifications in German reporting practice which   were enacted by the regulatory authority in the course of  COVID-19 largely expired as of June 30 2022,REGULATORY
Siemens Bank 2022,The European Parliaments Digital Operational Resilience Act  DORA the final version of which is still expected in 2022  contains requirements relating to information and commu- nication ICT risk management classification and reporting  of ICT-related incidents digital operational resilience testing  contractual arrangements between third-party ICT service  providers and financial institutions the regulatory frame- work for critical third-party ICT service providers and rules  for information sharing,REGULATORY
Siemens Bank 2022,The new Siemens Bank branch founded in Singapore in  March 2017 is required to comply with local regulatory  requirements and reporting obligations in the Monetary  Authority of Singapore MAS reporting system,REGULATORY
Siemens Bank 2022,The local  regulatory requirements are based on the Basel III Framework  and are essentially comparable with the European require- ments,REGULATORY
Siemens Bank 2022,The monitoring and development of changes and  adjustments to local regulatory requirements is also part of  Siemens Banks Compliance Program,REGULATORY
Siemens Bank 2022,Prof- itability of the portfolio which is reflected in a significant  increase in net interest income also exceeds expectations  overall,INTEREST
Siemens Bank 2022,The significant increase in additions to provisions for  losses on loans and advances is primarily due to the provi- sioning for an exposure in the European energy infrastruc- ture sector which has been adversely affected by the Ukraine  conflict,LOSS
Siemens Bank 2022,As a result profit from operations is significantly below  Siemens Banks planning primarily due to the aforemen- tioned provisioning,PROFIT
Siemens Bank 2022,In the deposit and treasury business the Group financ- ing portfolio which forms an integral part of the loans and  advances to customers fell to 76 million previous year  116 million,DEPOSIT
Siemens Bank 2022,The provision of collateral in cash means that  Siemens Bank does not bear any credit risk in connection  with this business,CREDIT
Siemens Bank 2022,Within the deposit and treasury business the development  of liquidity-related investments  which are reported under  loans and advances to banks credit balances with central  banks private bonds as well as under loans and advances to  customers  is closely linked to the economic and regulatory  requirements relating to liquidity control,INVESTMENT
Siemens Bank 2022,A major part of this  asset portfolio is in short-term promissory note loans from  investment-grade issuers,INVESTMENT
Siemens Bank 2022,With this asset portfolio Siemens   Bank intends to achieve positive income contributions and a  high level of security in addition to compliance with commer - cial and legal requirements regarding liquidity control,SECURITY
Siemens Bank 2022,In the 2022 fiscal year liquidity investments at the central  bank were generally slightly higher than in previous years,INVESTMENT
Siemens Bank 2022,These are due to short-term investments by the Siemens   Group as is the significant increase in the second quarter  of the 2021 fiscal year which only lasted for a few weeks,INVESTMENT
Siemens Bank 2022,This means that liquidity-related investments were at the  expected level,INVESTMENT
Siemens Bank 2022,Figure 2 Change in liquidity-related investments in the ALM and treasury  business  millionQ1 Q2 Q3 Q4 Q1 Q2 Q3 Q4 Q1 Q2 Q3 Q4 2020 2021 202214000,INVESTMENT
Siemens Bank 2022,Here 10 previous year 12 of the  recorded business volume of Siemens Bank is financed by  equity,EQUITY
Siemens Bank 2022,Siemens AG as the sole shareholder of Siemens Bank  has paid in a share capital of 5000 thousand previous year  5000 thousand and capital provisions in the form of oth- er payments into equity amounting to 995000 thousand  previous year 995000 thousand,EQUITY
Siemens Bank 2022,Although by far the largest proportion of deposits is made  by Siemens AG and its subsidiaries Siemens Bank also holds  deposits of customers from outside the Group,DEPOSIT
Siemens Bank 2022,However  Siemens Bank does not accept retail banking deposits,DEPOSIT
Siemens Bank 2022,Where  deposits are used directly for the purpose of funding the len- ding business they are matched as far as possible with the  lending currencies in accordance with the expected repay - ment profiles so that the exposure of Siemens Bank to cur - rency and maturity transformation risk is limited,DEPOSIT
Siemens Bank 2022,Currently Siemens Bank has not issued any bonds on capital  markets nor has it placed any promissory note loans or other  bonds,BONDS
Siemens Bank 2022,Furthermore Siemens Bank has not made any substantial  capital investments or financial investments in the 2022   fiscal year,INVESTMENT
Siemens Bank 2022,Results of operations The 2022 fiscal year saw strong operational performance with  an increase in the lending portfolio and higher interest mar - gins which is reflected in significantly improved net inter - est income after the moderate growth of the previous year,INTEREST
Siemens Bank 2022,Nevertheless additions to allowances for losses on loans and  advances were significantly higher than in the previous year  due primarily to provisioning for an exposure in the European  energy infrastructure sector that was adversely affected by  the Ukraine conflict,LOSS
Siemens Bank 2022,As a result Siemens Bank was not able to match the positive  development of the 2020 and 2021 fiscal years but achieved  by far the highest operating income before allowances for  losses on loans and advances since the Banks formation  despite the challenging developments in connection with   the Ukraine crisis,LOSS
Siemens Bank 2022,Interest terms also reflect the effect of inflation,INTEREST
Siemens Bank 2022,The  net interest margin contribution from the lending business  generates most of the net interest income,INTEREST
Siemens Bank 2022,Liquidity-related  investments in the deposit and treasury business normally  generate lower interest margins,INVESTMENT
Siemens Bank 2022,As the portfolio in the core  lending business grew strongly in the 2022 fiscal year after  moderate growth in the previous year the increase in net  interest income reflects the increased average portfolio vol- ume,INTEREST
Siemens Bank 2022,Nominal net interest income is also heavily dependent  on the volatility of exchange rates during the year as a signif- icant portion of the portfolio is denominated in USD GBP and  AUD,INTEREST
Siemens Bank 2022,Since growth in the lending  business portfolio in the 2022 fiscal year was stronger than  in previous years and net interest margins were success- fully increased the increase in net interest income exceeds  Siemens Banks expectations,INTEREST
