Bank Name,Financial Text,Financial Term
Allied Irish Bank,Now most of the Covid  restrictions have been lifted and in May 2022 we were able  to hold our first physical meetings post Covid,RESTRICTIONS
Allied Irish Bank,During 2021 AIB welcomed both the Hungarian Energy  and Public Utility Regulatory Authority HEA and the  Montenegrin Electricity Market Operator COTEE as  members of the Association,REGULATORY
Allied Irish Bank,Issuing Bodies interested in joining can apply for  Scheme Observer Status see more info in 2021 we  welcomed Operator za OIEiEK Bosnia and Herzegovina  and the Bulgarian Sustainable Energy Development  Agency SEDA as Observers,INTEREST
Allied Irish Bank,This map identifies the countries of organisations that  were members of the AIB and countries interested in  or actively pursuing membership as at the end of 2021,INTEREST
Allied Irish Bank,There is also a need for sharing  experiences and knowledge between mature markets and  markets where trust and interest towards disclosure are still  under development,INTEREST
Allied Irish Bank,Despite the limitations  of an online meeting format there was great interest in  the exchange and an obvious need to share best-practice  experiences,INTEREST
Allied Irish Bank,She supports  the EECS Unit and both Scheme Groups in strategic and  regulatory matters and she represents AIB within CEN,REGULATORY
Allied Irish Bank,External Affairs Unit External Affairs Unit Provision of information  and recruitment of new  EECS members Chaired by Milada  Mehinovic of Pronovo  Switzerland AIB        Annual Report 202119 EECS Unit Internal regulation of  the Association and  administration and  development of the  EECS standard chaired  by Maria Koulouvari of  DAPEEP GreeceDespite the pandemic restrictions which prevented us from  meeting in person or because of these unprecedented  conditions which left us deprived of social interaction our  joint efforts during 2021 provided us with valuable time to  spend on our duties and led to amazing results,RESTRICTIONS
Allied Irish Bank,Through the EECS standard  and member audits as well as  reliability checks the AIB supports  this trust,LIABILITY
Allied Irish Bank,Through the EECS standard  and member audits as well as reliability checks the AIB supports  this trust,LIABILITY
Allied Irish Bank,Harald Proidl Head of Renewables and Energy Efficiency  Department  Scope of national participation in EECS Number of registered scheme participants 58 Registered production devices and total capacity installed Number of production devices Total capacity installed MW  132 189 23 214 Registered production devices and total capacity   installed per technology Technology Number of  production  devicesTotal capacity   installed per   technology MW  PV 127 982 1 843 Hydro 3 497 17 713 Wind 710 3 658 Certified EECS production as compared to national   RES production GWh   EECS RES production National RES production 33 853 38 397 AIB        Annual Report 202128Profile of the organisation BRUGEL is the Brussels regulatory authority for electricity gas and  water price control,REGULATORY
Allied Irish Bank,Role BRUGEL provides collaboratively and independently regulatory  analytical and forward-looking expertise to make strategic proposals  issue recommendations on market dynamics and propose and apply  tariff models for an efficient and socially-just energy transition,REGULATORY
Allied Irish Bank,News and perspectives regarding the national  framework for energy tracking certificates There is an increasing interest in Guarantees of Origin both from  consumers and producers,INTEREST
Allied Irish Bank,The assurance brought by the reliability checks and audits  that AIB does on all connected Domains provides for an important  saving of resources at the level of the national Issuing Bodies,LIABILITY
Allied Irish Bank,News and perspectives regarding the national  framework for energy tracking certificates The regulatory framework regarding Guarantees of Origin is  stable,REGULATORY
Allied Irish Bank,In its study F2291 CREG  recommended the adoption of a regulatory framework for H2  transmission in an early phase,REGULATORY
Allied Irish Bank,AIBs harmo- nized standard ensures a high level of reliability,LIABILITY
Allied Irish Bank,AIB        Annual Report 202136 Report from member Profile of the organisation HROTE was established in 2005 as the state-owned company which  performs the activities necessary to organise the electricity and gas  markets as a public service under the supervision of the Croatian  Energy Regulatory Agency,REGULATORY
Allied Irish Bank,Following the conclusion of the auction and successful sale  of the Guarantees of Origin the collected funds were transferred to  the incentive system fund while the Guarantees of Origin that were  sold at the auctions were transferred to the accounts of the auction  participants who successfully bought  them,FUNDS
Allied Irish Bank,It operates maintains and develops Cyprus electricity  transmission system maintaining security of supply integrating  renewable energy sources and issues connection conditions for new  independent power producers,SECURITY
Allied Irish Bank,TSOC  performs the Residual Mix and Suppliers Mix calculations applying  Regulatory Decision 12792015 which follows the issuance-based  method,REGULATORY
Allied Irish Bank,Additional information An increased interest for participation in the Cyprus GO Registry  and for transfers through the AIB Hub has been observed in the past  year mainly due to the reduction of the cost of registration issuing  transferring and cancelling Guarantees of Origin for RES and High  Efficiency CHP installations to zero,INTEREST
Allied Irish Bank,This was based on a Decision  published in March by the Cyprus Energy Regulatory Authority,REGULATORY
Allied Irish Bank,is a joint stock company established in 2001 and is the  holder of the license for the Market Operators activities which  includes activities in the electricity and gas markets in the Czech  Republic,STOCK
Allied Irish Bank,We are confident in the reliability of such a standard as  it relies on clear and secured processes regularly audited by the AIB  members themselves,LIABILITY
Allied Irish Bank,In addition UBA has regulatory  competence regarding the in-depth provisions of GOs the registry  and the fees which are detailed in the GO Implementing Ordinance  and Fee Ordinance,REGULATORY
Allied Irish Bank,Auctioneer of the CO2 Emissions Allowances representing the  Greek State in the auctions carried out by EEX and managing the  revenues from the respective auctions,REVENUE
Allied Irish Bank,National RES production GWh  22 1875 AIB        Annual Report 202154 Name of the company MEKH Hungarian Energy  and Public Utility Regulatory  Authority Area of operation Hungary Address Bajcsy-Zsilinszky t 52,REGULATORY
Allied Irish Bank,huProfile of the organisation MEKH  established in 2013 as the successor of the Hungarian  Energy Office  is the Regulatory Body of the energy and public  utility market supervising sectors of strategic importance,REGULATORY
Allied Irish Bank,AIB        Annual Report 202159Scope of national participation in EECS Number of registered scheme participants 57 Registered production devices and total capacity installed Number of production devices Total capacity installed MW  104 88241 Registered production devices and total capacity   installed per technology Technology Number of  production  devicesTotal capacity   installed per   technology  MW Wind 65 65017 Hydro 39 23224 Certified EECS production as compared to national   RES production GWh   EECS RES production National RES production 1 8389 10 937News and perspectives regarding the national IB SEMO continues to see interest grow in GOs in Ireland as further  renewable generation comes out of renewable support schemes,INTEREST
Allied Irish Bank,SEMO have continued strong interest in corporate renewable  sourced energy and green source products,INTEREST
Allied Irish Bank,Applications from market parties interested in trader accounts are currently not accepted,INTEREST
Allied Irish Bank,The sole shareholder of GSE  is the Ministry of Economy and Finance which exercises its rights  according to the strategic guidelines indicated by the Ministry of  Economic Development and according to the regulatory provisions  of the Authority,REGULATORY
Allied Irish Bank,- Aigars Slis  Head of Data Analysis Group AIB        Annual Report 202166Profile of the organisation The Institut Luxembourgeois de Rgulation ILR is an independent  authority in charge of regulation of electricity and natural gas mar - kets as well as of telecommunications railways airport taxes postal  services radio spectrum and networks information system security,SECURITY
Allied Irish Bank,lu Report from member  In order to facilitate monitoring  and to improve the reliability of the  electricity disclosure system and  especially of its green attributes  the ILR decided to join the AIB in  2009  AIB        Annual Report 202167More information for account holders is available on the following  websites httpcmo,LIABILITY
Allied Irish Bank,Benefits to the company of AIB membership  In order to facilitate monitoring and to improve the reliability of the  electricity disclosure system and especially of its green attributes  ILR decided to join the AIB in 2009 and made a platform available for  registration of production devices and handling of certificates,LIABILITY
Allied Irish Bank,Generators can value their renewable generation attributes and  suppliers can improve the reliability and credibility of their electricity  products says Claude Hornick,LIABILITY
Allied Irish Bank,Auction revenues are used to decrease the cost of the RES public  support scheme,REVENUE
Allied Irish Bank,The Energy and Water Regulatory Agency is in charge  of Disclosure rules and the calculation of the Residual Mix is the  responsibility of the Market Operator,REGULATORY
Allied Irish Bank,News and perspectives regarding the national  framework for energy tracking certificates 2021 was the year of the publication of a legal document that allowed  the start of GO auctions for the generation of electricity in produc - tion facilities that benefit from a price or investment support regime,INVESTMENT
Allied Irish Bank,Report from member Name of the company Joint stock company  Elektromrea Srbije  Belgrade Area of operation Serbia Address Kneza Miloa 11 11 000 Belgrade Serbia www,STOCK
Allied Irish Bank,Scope of national participation in EECS Number of registered scheme participants 51 Registered production devices and total capacity installed Number of production devices Total capacity installed MW  2 429 3 245 Registered production devices and total capacity   installed per technology Technology Number of  production  devicesTotal capacity   installed per   technology  MW Hydropower 274 2 544 Solar PV devices  10kW 1 416 533 Solar PV devices  10 kW 738 5 Biomass 1 163 Certified EECS production as compared to national   RES production GWh   EECS RES production National RES production 4 812 0 AIB        Annual Report 202180Profile of the organisation National Regulatory Authority Role The Energy Agency is the National Regulatory Authority for electricity  and gas in Slovenia and the Slovenian Issuing Body of GOs for  renewable electricity and electricity from high efficiency CHP,REGULATORY
Allied Irish Bank,After the deadline  for submission the Agency selected the new entrants from the  candidates based on the approved increase in funds for support and  the price offered to produce electricity,FUNDS
Allied Irish Bank,Additional information The electricity prices in late 2021 has led to an increased interest of  solar panel installations in Sweden Energimyndigheten are awaiting  to see how this effects the market for GOs in Sweden,INTEREST
Allied Irish Bank,Pronovo has been mandated with this task by law  and is accredited by the Swiss Accreditation Service SAS,CREDIT
Allied Irish Bank,With the current  revision of the Energy Act measures such as operating cost support  for biomass plants investment support auctions for large scale  photovoltaic plants and higher contributions for photovoltaic plants  without own consumption will be implemented,INVESTMENT
Allied Irish Bank,A-npo 1      ANNUAL ACCOUNTS AND OTHER DOCUMENTS  TO BE FILED UNDER BELGIAN COMPANIES   AND ASSOCIATIONS CODE      IDENTIFICATION DETAILS on date of deposit     NAME,DEPOSIT
Allied Irish Bank,Codes Period Preceding period EQUITY AND LIABILITIES EQUITY,EQUITY
Allied Irish Bank,Credit institutions leasing and other similar obligations,CREDIT
Allied Irish Bank,Gain loss of the period available for appropriation,LOSS
Allied Irish Bank,Provisions Provisions for risks and costs are booked for foreseeable risks and clearly defined losses or costs incurred during the financial year to which the financial statements relates or during previous financial years and which are certain or probable at the balance sheet date but the amount of which is not fixed,LOSS
Allied Irish Bank,Sustainability Statement Association of Issuing Bodies ivzw The AIB is a non-profit-making international association Telephone 32  0 486 558 301 Website www,PROFIT
