Bank Name,Financial Text,Financial Term
Banco Santander Bank,Annual Report 2022 Snapshot of Success Numbers Profit and Loss Figures Santander Consumer Bank AG  CET 1 Return on Risk Weighted Assets 2021 2021 2022 2022Profit for the Year Cost-Income RatioGerman GAAP HGB0101  31122022   in  million0101  31122021   in  millionChange   in  Net Interest Income 1014,PROFIT
Banco Santander Bank,In addition to the traditional automotive financing business  strategic growth initiatives such as our white label solutions  for selected car dealers cooperations and equity investments  12,INVESTMENT
Banco Santander Bank,In addition new credit volume in dealer  purchase financing also increased by 9,CREDIT
Banco Santander Bank,We expect the acquisition to further expand our  existing captive business in Germany and contribute to the  profitable growth of our automotive business,PROFIT
Banco Santander Bank,Durables new credit volume  increased by 12 to 559 million despite the fact that the over- all e-commerce market declined,CREDIT
Banco Santander Bank,The main growth drivers here  were the traditional new credit business at the point of sale  thanks to new partners as well as the increase in new credit  volume in e-commerce and the expansion of our purchase on  account factoring product,CREDIT
Banco Santander Bank,Annual Report 20224 Snapshot of Success Numbers  Table of Contents  Letter from the CEO  Financial Management   Report of the Supervisory Board  Management Report   Balance Sheet   Profit and Loss Statement   Annex  Independent Auditors Report   Imprint   Kind regards Vito Volpe   Chief Executive Officer   Santander Consumer Bank AGThanks to our successful and resilient business model we  again achieved a good profit for the year of 444,PROFIT
Banco Santander Bank,However due   to the sharp increase in commission and interest expenses   particularly as a result of the higher capital market-induced  interest expense from customer and non-customer business  our result fell short of our original planning,INTEREST
Banco Santander Bank,The successful placement of the  SC Germany Consumer 2022-1 consumer credit ABS in the  amount of one billion euros contributed to strengthening our  capital base in addition to the positive liquidity effect,CREDIT
Banco Santander Bank,Our refinancing mix primarily includes deposits from  private clients and institutional investors,DEPOSIT
Banco Santander Bank,This includes  withdrawals under our commercial paper program- me as well as issuing unsecured and secured bonds,BONDS
Banco Santander Bank,With a balanced refinan- cing mix we were able to raise the necessary funds  efficiently and cost-effectively at all times during the  financial year,FUNDS
Banco Santander Bank,Annual Report 20227 Snapshot of Success Numbers  Table of Contents  Letter from the CEO  Financial Management  Report of the Supervisory Board  Management Report   Balance Sheet   Profit and Loss Statement   Annex  Independent Auditors Report   Imprint   You can find our current ratings with the agencies  publications as well as current investor presentations  on the Banks Investor Relations portal at   https www,PROFIT
Banco Santander Bank,Over the last three years consumer credit ABS has  become increasingly important,CREDIT
Banco Santander Bank,This consumer  credit ABS SC Germany Consumer 2022-1 had a  volume of 1 billion divided into seven tranches with  different risk profiles,CREDIT
Banco Santander Bank,In addition to  the liquidity injection the equity-relieving effect be - nefited us,EQUITY
Banco Santander Bank,Supported by a trustful cooperation with  our international investors ABS transac- tions will remain an important strategic  instrument for managing the capital and  liquidity of our Bank in the future Andreas Glaser   CFO Santander Consumer Bank AG Annual Report 20228 Snapshot of Success Numbers  Table of Contents  Letter from the CEO  Financial Management  Report of the Supervisory Board  Management Report   Balance Sheet   Profit and Loss Statement   Annex  Independent Auditors Report   Imprint    The year 2022 was a special year for Santander Consumer Bank  AG with exceptional conditions,PROFIT
Banco Santander Bank,Bericht des Aufsichtsrats Annual Report 20229 Snapshot of Success Numbers  Table of Contents  Letter from the CEO  Financial Management   Report of the Supervisory Board  Management Report   Balance Sheet   Profit and Loss Statement   Annex  Independent Auditors Report   Imprint   The annual financial statements and the management report  for the 2022 financial year were audited by Pricewaterhouse- Coopers GmbH Wirtschaftsprfungsgesellschaft Frankfurt  who were appointed as auditors by the Annual General Mee- ting and included in the accounts and received an unqualified  audit opinion,PROFIT
Banco Santander Bank,After the final result of the examination of the annual  financial statements the management report and the proposal  for the appropriation of profits by the Supervisory Board no  objections were raised,PROFIT
