Bank Name,Financial Text,Financial Term
Hamburg Commercial Bank,Der Vorstand der Hamburg Commercia l Bank besteht aus  Ian Banwell CEO Ulrik Lackschewitz Chief Risk Officer  CRODeputy CEO Christopher Brody Chief Investment Of- ficer CIO sowie Marc Ziegner CFO,INVESTMENT
Hamburg Commercial Bank,Oktober  2017 be- standen haben kein Bestandsschutz besteht da die Bank zum  damaligen Zeitpunkt noch nicht dem Einl agensicherungs- fonds angeschlossen war,LOSS
Hamburg Commercial Bank,Die Bank ist ihren Kunden  zugewandt und steht fr Verlsslichkeit sowie Aufrichtigkeit  sie handelt entschlossen u nd zeitnah,LOSS
Hamburg Commercial Bank,Grundlage des Chancenmanage- ments der Bank sind die Analyse des makrokonomischen  Umfelds der Wet tbewerbsbedingungen in den relevanten  Mrkten und des Bankenumfelds sowie die Bewertung von  Trends aus denen sich geschftliche Chancen ableiten lassen   - Wachstum in unseren Kernmrkten  Wir nutzen unsere  fundierte Asset -Expertise und unsere umfassende Markt- kenntnis fr profitables Wachstum in Deutschland sowie  ausgewhlten europischen und internationalen Mrkten  die ausreichend Wachstumspotenzial bieten,PROFIT
Hamburg Commercial Bank,Dabei orientiert sich das Risiko -und Liquidittsmanag e- ment unter Bercksichtigung von Profitabilittsanforderun- gen an der Optimierung der Passivseite,PROFIT
Hamburg Commercial Bank,Segment Treasury  Group Functions   Die Aktivitten im Segment Treasury  Group Functions kon- zentrieren sich auf die Steuerung strategischer Investments sowie auf die Treasury -Funktion einschlielich der zentralen  Steuerung der Liquiditts - und Marktpreisrisiken der Bank des  Derivateportfolios sowie die Bewirtschaftung des Deckungs- stocks,INVESTMENT
Hamburg Commercial Bank,Die bedeutsamsten Steuerungskennzahlen sind wie folgt definiert   Definition der bedeutsam sten  Steuerungskennzahlen  Finanzielle Steuerungskennzahle n  RoE nach Steuern   Return on Equity nach  Steuern   Der RoE nach Steuern ergibt sich aus der Relation des Konzernergebnisses zum durchschnittlichen bilanziellen Eigen- kapital und zeigt die Verzinsung des Kapitals an,EQUITY
Hamburg Commercial Bank,CET1 -Quote  Common Equity Tier 1   Die CET1- Quote ist definiert als Quotient aus hartem Kernkapital nach Abzgen und der Summe der risikogewichte- ten Aktiva ausgedrckt in Prozent,EQUITY
Hamburg Commercial Bank,Angesichts der Unsicherheit ber die knftigen Erdgasli e- ferungen aus Russland haben die EU -Staaten ihre Lagerbe- stnde an Erdgas erfolgreich massiv aufgestockt sodass im Herbst die Lager in der EU teilweise einen Fllstand von 100    erreichten untersttzt von einem auergewhnlich warmen Oktober und effektiven Sparanstrengungen der Industrie und der privaten Haushalte,STOCK
Hamburg Commercial Bank,Die ameri-kanische Zentralbank erhhte 2022 die Fed Funds Rate von 0  bis 025   auf 425  bis 45  beginnend im Mrz,FUNDS
Hamburg Commercial Bank,Seitdem  konnte der Euro jedoch wieder Boden gut machen und schloss das Jahr bei 107 US -Dollar unter anderem da sich die  Finanzmrkte etwas beruhigt haben und die Suche nach ei-nem sicheren Hafen an Bedeutung verloren hat,LOSS
Hamburg Commercial Bank,ENTWICKLUNGEN IN DEN FR DIE HAMBURG COMMERCIAL BANK RELEVANTEN MRKTENBRANCHEN   Immobilienmrkte   Die deutschen Immobilienmrkte entwickelten sich in 2022  auf den Investment - und Vermietungsmrkten sowie bei den  Nutzungsarten unterschiedlich,INVESTMENT
Hamburg Commercial Bank,Im Jahresverlauf sank das  noch bis zum Frhjahr hohe Transaktionsvolumen auf den Ge-werbeimmobilien -Investmentmrkten deutlich vor allem bei  zuvor sehr gefragten Bro - und Logistikimmobilien,INVESTMENT
Hamburg Commercial Bank,Der nichtstationre Einzelhandel der  besonders von den Eindmmungsmanahmen whrend der  Pandemie und den Beschrnku ngen fr den stationren Ein- zelhandel profitiert hatte verzeichnete in den ersten zehn Monaten 2022 einen realen Umsatzrckgang von rund 8   im  Vergleich zum Vorjahreszeitraum,PROFIT
Hamburg Commercial Bank,Auch wenn gleichzeitig die Refinanzierungskosten anstie- gen drfte der Zinsberschuss der Banken bereits 2022 vom vernderten Zinsumfeld profitiert haben,PROFIT
Hamburg Commercial Bank,Damit wird insbesondere fr deutsche Banken der Weg zu ei-ner nachhaltig hheren Profitabilitt nicht einfacher,PROFIT
Hamburg Commercial Bank,Weitere Kernthemen der EZB im SREP - Prozess bildeten IT- und Cybersecurity nicht zuletzt wiede- rum vor dem Hintergrund des Kriegs in der Ukraine sowie das Thema Nachhaltigkeit Sustainability,SECURITY
Hamburg Commercial Bank,Im Segment Shipping profitierte die Bank unverndert von  der im Jahr 2022 insgesamt sehr guten Wirtschaftslage in den  Marktsegmenten Containerschiffe und Massengutfrachter,PROFIT
