Bank Name,Financial Text,Financial Term
Kaiser Partner Privatbank,On its growth path the bank  pays the utmost attention to the security of client assets with a core  capital ratio of 19,SECURITY
Kaiser Partner Privatbank,In order to make up for the shortfall of ever-decreasing  Russian gas supplies and to fill up gas storage facilities Europeans  had to stock up on the world market during the summer at record  prices of up to EUR 350 per megawatt hour,STOCK
Kaiser Partner Privatbank,and in  some cases considerably more resulted in nothing less than the  most aggressive globally synchronized cycle of interest rate hikes  in more than 40 years,INTEREST
Kaiser Partner Privatbank,For example the abrupt  unwinding of years of zero and negative interest rate policies  resulted in an unprecedented simultaneous sell-off in equities and  bonds,INTEREST
Kaiser Partner Privatbank,Even supposedly safe havens such as gold and real estate  came under pressure in the face of the interest rate turnaround,INTEREST
Kaiser Partner Privatbank,The resulting underperfor - mance of green investment strategies was not the only reason for  the first minor identity crisis of the fledgling sustainability industry,INVESTMENT
Kaiser Partner Privatbank,In 2022 shares of  substance were once again in demand on the stock market after a  long time,STOCK
Kaiser Partner Privatbank,By contrast companies whose sales and profits are not expected  until well into the future had to pay tribute to the sharp rise in  discount rates,PROFIT
Kaiser Partner Privatbank,What goes up must come down - in the price  charts of many unprofitable technology companies and crypto in - vestments the rollercoaster ride of the past two years left behind  various pyramid formations and sometimes spectacular bankrupt - cies,PROFIT
Kaiser Partner Privatbank,The fact that a lot of air has escaped from some investment  bubbles in the meantime that many investors dreams have burst  but also that a little more realism has returned has its good side  just like the normalization of monetary policy,INVESTMENT
Kaiser Partner Privatbank,And after a long time  government bonds are once again a valid investment alternative  with an increasingly attractive riskreturn ratio,INVESTMENT
Kaiser Partner Privatbank,Financial result 2022 Positive development in profit and net new client assets In a persistently challenging market environment with uncertain - ties regarding the war and its impact on the global economy  increasing regulatory and margin pressure the private bank gener - ated a pleasing annual profit of CHF 5,PROFIT
Kaiser Partner Privatbank,The main contributor was net interest income which  rose by CHF 1,INTEREST
Kaiser Partner Privatbank,Partner for External Asset Managers and Funds As a custodian bank our business clients which include external as - set managers and administrators of international investment funds  have their portfolios managed by Kaiser Partner Privatbank AG,INVESTMENT
Kaiser Partner Privatbank,Investments in people knowledge and systems  guarantee more quality safety and security and  efficiency,INVESTMENT
Kaiser Partner Privatbank,Solid equity base Mainly due to retained earnings the equity base increased by  6 to 59,EQUITY
Kaiser Partner Privatbank,While savers were  happy about the return of interest rates consumers were worried  about the declining purchasing power of their wallets,INTEREST
Kaiser Partner Privatbank,However setting the appropriate interest  rate level is a science with multiple and ever-changing influencing  factors and unknowns,INTEREST
Kaiser Partner Privatbank,Moreover the interest rate moves of the  past few quarters have long and variable lags,INTEREST
Kaiser Partner Privatbank,Higher for longer key interest  rates however could belatedly lead to a recession after all,INTEREST
Kaiser Partner Privatbank,In the equity mar - kets a textbook recession would most likely be associated with new  lows and an extension of the bear market,EQUITY
Kaiser Partner Privatbank,But even in the absence  of a major economic slump falling profits are likely to exert gravity  on the prices of listed companies in the 2023 investment year,PROFIT
Kaiser Partner Privatbank,Profit  margins will remain under pressure not least due to rising labor  costs,PROFIT
Kaiser Partner Privatbank,So the investment environment could remain challenging this  year,INVESTMENT
Kaiser Partner Privatbank,So far quantitative tightening by central banks has only caused  investor headaches in niches such as semi-liquid real estate funds,FUNDS
Kaiser Partner Privatbank,However temporary distortions and liquidity bottlenecks due to the  sharp rise in interest rates cannot be completely ruled out in other  investment segments in the near future,INVESTMENT
Kaiser Partner Privatbank,And so the increasing alignment of economic  climate and security priorities with an eye on the worlds cli- matic fever thermometer could also lead to a better outcome for  people and the planet,SECURITY
Kaiser Partner Privatbank,In a few years we may look back to the youth of  ESG and live in an investment world of ESG 2,INVESTMENT
Kaiser Partner Privatbank,For example we now also enable our customers to make  dedicated impact investments in the private markets,INVESTMENT
