Bank Name,Financial Text,Financial Term
Kfw Bank,The KfW statement of financial position and income statement presentation of items was adjusted as follows Equity was expanded to include the Reserves from the ERP Special Fund and the three sub-items in Retained earnings Statutory reserve under Article 10 2 KfW Law and Special reserve under Article 10 3 KfW Law and Special reserve under Section 17 4 of the D-Mark Balance Sheet Act,EQUITY
Kfw Bank,Differences between notional amounts and lower paid out  amounts of receivables which are similar in nature to interest have been included in Deferred income and recognised  over the term through profit or loss in Interest income,PROFIT
Kfw Bank,There was a change this financial year in the valuation of equity investments held in KfWs fixed assets,INVESTMENT
Kfw Bank,Securities and investments are therefore valued  strictly at the lower of cost or market  strenges Niederstwertprinzip,INVESTMENT
Kfw Bank,- Interest rate reductions are recognised in the income statement as they arise at their present value at the time the loan terms and conditions are determined,INTEREST
Kfw Bank,Consequently  these transactions result in   interest rates below the market rate which has a negative impact on KfWs earnings position,INTEREST
Kfw Bank,The difference that normally results upon loan commitment  the present value of the nominal scheduled interest  rate reductions during the first fixed interest rate period  is recognised in profit or loss with a negative impact on interest expense and accounted for as an adjusting item in Loans and advances under the statement of financial  position items Loans and advances to banks or Loans and advances to customers,PROFIT
Kfw Bank,The adjustment to the carrying  amount is amortised in Net interest income using the effective interest rate method,INTEREST
Kfw Bank,In the event of unscheduled repayment in full this is recognised in profit or loss under Interest income,PROFIT
Kfw Bank,In some cases hedge accounting is applied for securities and their interest hedges primarily interest rate swaps in accordance with Section 254 HGB,INTEREST
Kfw Bank,Reversals of impairment losses have been accounted for in accordance with the statutory  requirements,LOSS
Kfw Bank,Zero-coupon bonds issued are recognised at their current redemption amount,BONDS
Kfw Bank,The projected unit credit method with the following parameters is applied to KfWs calculations for all active staff members,CREDIT
Kfw Bank,Provisions with a remaining life of more than one year are discounted with the market interest rate published by the Deutsche Bundesbank,INTEREST
Kfw Bank,For significant receivables an individual assessment of credit exposure regarding expected cashflows is undertaken when there are indications of impairment,CREDIT
Kfw Bank,For non-performing loans interest income is generally accrued based on the probability of collection,INTEREST
Kfw Bank,The automatically determined portfolio valuation allowance includes the expected basic loss resulting from the  portfolio valuation model for all receivables non-retail and retail receivables without indicators of impairment,LOSS
Kfw Bank,These are calculated based on the changes in credit quality since initial recognition either in the amount of the one-year expected loss or if there has been significant deterioration in credit risk since initial recognition in the amount of the lifetime expected credit loss,LOSS
Kfw Bank,Additions and reversals are recognised net in the item Impairment of receivables and certain securities and additions  to provisions for loan losses or Income from the reversals of impairment losses on receivables and certain securities  and reversals of provisions for loan losses,LOSS
Kfw Bank,The same applies to unrealised and realised results from equity investments  shares in affiliated companies and securities held as fixed assets,INVESTMENT
Kfw Bank,The valuation of interest-related transactions in the banking book Refinanzierungsverbund follows the management  of interest rate fluctuation risk at KfW,INTEREST
Kfw Bank,The principle of prudence is applied by recognising a provision for anticipated losses from onerous contracts in accordance with Section 340a in conjunction with Section 249 1 sentence 1 2nd alternative HGB for any excess obligations resulting from the valuation of the interest-related banking book,LOSS
Kfw Bank,The requirements of the statement of the Banking Committee of the German Institute of Auditors Institut der Wirtschaftsprfer  IDW on the loss-free valuation of the banking book BFA 3 are taken into account,LOSS
Kfw Bank,In addition to net interest and relevant commission income this includes the associated administrative costs and risk costs in the amount of expected losses,LOSS
Kfw Bank,No provision for contingent losses was required during the reporting year,LOSS
Kfw Bank,- Negative interest incurred as a result of the persisting low interest rate environment is reported in a separate column under Interest income and Interest expense,INTEREST
Kfw Bank,This involved KfW subscribing a subordinated  interest-bearing bearer security of KfW IPEX-Bank GmbH in the amount of EUR 600 million,INTEREST
Kfw Bank,KfW has also granted KfW IPEX-Bank GmbH a subordinated interest-bearing  loan tier 2 capital in the amount of EUR 400 million,INTEREST
Kfw Bank,The list of shareholdings shows significant equity  investments with a capital share greater than 20,INVESTMENT
Kfw Bank,The other equity investments are of minor importance,INVESTMENT
Kfw Bank,Dec 2021 EUR in thousands Equity  invest ments1-Shares in  affiliated  companies1Securities  held as fixed  assets1Intangible  assets Property  plant and  equipment4Total  Acquisition costs production costs as of 1 Jan,EQUITY
Kfw Bank,This resulted from the foreign currency valuation of swap transactions concluded to hedge foreign currency risks from receivables and liabilities,SWAP
Kfw Bank,As regards the reference interest rate switch to alternative risk-free rates IBOR reform KfW is relying on a group-wide  project structure,INTEREST
Kfw Bank,Derivative financial instruments indexed to the above reference rates which have not been actively migrated by the end of the year are passively  transitioned into the new interest-rate environment via ISDA fallbacks,INTEREST
Kfw Bank,KfW HGB 2021 Notes     19 Notes to the liabilities and equity 12 Liabilities to banks 31 Dec,EQUITY
Kfw Bank,Holdings of promissory note loans Schuldscheindarlehen increased during the current financial year due to KfW raising  funds via the WSF by EUR 3,FUNDS
Kfw Bank,In the context of the reference interest rate switch to alternative risk-free rates IBOR reform the amounts under  the line item Deferred income increased,INTEREST
Kfw Bank,social security payments 70 48 Irrevocable loan commitments below market rate 69 10 Early retirement 53 60 Retransfer obligation with respect to land 53 53 There was a difference of EUR 186 million between the discounting of provisions for pensions at the average market  rate of the past ten years and the discounting of this item at the average market rate of the past seven years,SECURITY
Kfw Bank,An adjusting item in the amount of EUR 69 million 2020 EUR 10 million was reported in financial year 2021 under  item b Other provisions due to the interest rate being below the market rate for promotional loans irrevocably committed with additional promotional support in the form of interest rate reductions with an impact on KfWs earnings position,INTEREST
Kfw Bank,As of year-end 2021 KfWs equity amounted  to EUR 29,EQUITY
Kfw Bank,Other required notes to the  liabilities and equity 21 Contingent liabilities 31 Dec,EQUITY
Kfw Bank,The bank regularly assesses the risk as part of credit risk monitoring,CREDIT
Kfw Bank,If there are reasons for a probable outflow of funds the bank recognises individual provisions general provisions are made for latent risks,FUNDS
Kfw Bank,If there are indications that a loss will be incurred from an expected outflow of funds the bank recognises an individual provision latent risks are covered through the recognition of portfolio provisions,LOSS
Kfw Bank,Provisions recognised for the interest rate reductions in irrevocable loan commitments granted by KfW in the promotional lending business and negatively impacting its earnings position are deducted,INTEREST
Kfw Bank,Of this amount EUR 210 million 2020 EUR 145 million is attributable to deposits with the central bank EUR 48 million 2020 EUR 32 million to receivables from the Federal Government resulting from the privatisation  of Deutsche Telekom AG and Deutsche Post AG and EUR 47 million 2020 EUR 72 million to money-market transactions,DEPOSIT
Kfw Bank,In isolated cases KfW staff or third parties appointed by KfW take on executive body functions at companies in which  KfW holds equity investments or with which it has another relevant creditor relationship,INVESTMENT
Kfw Bank,The risks arising therefrom are covered by the directors and officers liability insurance policy of the respective company,LIABILITY
Kfw Bank,Liability risks may arise for KfW in the event that no effective insurance coverage is in place,LIABILITY
Kfw Bank,Currency-related forward transactionsderivative products   Cross-currency swaps  FX swaps  Currency forwards  Spot FX deals The following presentation of derivatives transactions is in accordance with the requirements of Section 285 No,SWAP
Kfw Bank,Carrying  amountsNotional  amountsFair values  EUR in millions EUR in millions EUR in millions Securities held as fixed assets Bonds and other fixed-income securities 28655 28174 28705 Securities held as liquidity reserves Bonds and other fixed-income securities 3904 4490 4876 Total 32559 32664 33581 KfW uses derivatives to hedge open positions only,BONDS
Kfw Bank,Through the use of the modified lower of cost or fair value principle for the fixed assets only permanent impairment losses are recognised in the income statement,LOSS
Kfw Bank,In addition to hedging relationships pursuant to Section 254 HGB derivative financial instruments used to hedge interest risks in the banking book and the interest-bearing hedged items are included in asset liability management,LIABILITY
Kfw Bank,Hedging relationships are also included in the loss-free valuation of the banking book BFA 3,LOSS
Kfw Bank,and members of the Credit Executive and Audit Committees receive EUR 0,CREDIT
Kfw Bank,It is partially covered by export and credit insurance and  amounts to EUR 31 million net,CREDIT
Kfw Bank,Indirect effects of the conflict  can also be expected on KfWs loan and equity investment exposures and therefore on KfWs business and  earnings position as well,INVESTMENT
Kfw Bank,KfW HGB 2021 Notes     31 39 Mandates held by executive directors or other employees in supervisory boards  of large corporations in accordance with Section 267 3 HGBMandates held by Executive Board members Dr Gnther Brunig CEO 1 January 2021 to 30 September 2021  Co-CEO 1 October 2021 to 31 October 2021Deutsche Post AG Bonn Deutsche Telekom AG BonnDeutsche Pfandbriefbank AG Munich Dr Ingrid Hengster until 31 December 2021 DEG  Deutsche Investitions- und Entwicklungsgesellschaft mbH CologneDeutsche Bahn AG BerlinKfW IPEX-Bank GmbH Frankfurt am Main KfW IPEX-Bank until 8 July 2021 Christiane Laibach since 1 June 2021 KfW IPEX-Bank GmbH Frankfurt am Main KfW IPEX-Bank since 8 July 2021 Bernd Loewen DEG  Deutsche Investitions- und Entwicklungsgesellschaft mbH Cologne Dr Stefan Pei KfW IPEX-Bank GmbH Frankfurt am Main Mandates of other employees  Dr Lutz-Christian Funke Eurogrid GmbH BerlinIKB  Deutsche Industriebank AG Dsseldorf50Hertz Transmission GmbH Christian Krmer ProCredit Holding AG  Co,CREDIT
Kfw Bank,KGaA Frankfurt am Main until 27 May 2021 Dr Jan Martin Witte ProCredit Holding AG  Co,CREDIT
Kfw Bank,di  United  Services Trade UnionRepresentativ e of the trade unions Stefan KrzellMember of the Federal Executive Board of the Confederation of German Trade Unions DGBRepresentative of the trade unions   since 6 January 2021 Dr Joachim Lang Director General of the Federation of German Industries BDIRepresentative of industry   since 6 January 2021 Steffi Lemke Federal Minister for the Environment Nature Conservation Nuclear Safety and Consumer Protection   since 8 December 2021 Heiko Maas Federal Minister for Foreign Affairs   until 8 December 2021 Dr Gerd Mller Federal Minister for Economic Cooperation and Development   until 8 December 2021 34    KfW HGB 2021 Notes  Board of Supervisory Directors Rainer Neske Chair of the Board of Managing Directors of Landesbank Baden-Wrttemberg LBBWRepresentative of industrial credit since 6 January 2021 Cem zdemir Federal Minister of Food and Agriculture   since 8 December 2021 Dr Hans-Walter Peters President of the Association of German Banks BdB Representative of the commercial banks   since 6 January 2021 Achim Post Member of the German BundestagMember appointed by the German Bundestag   since 13 January 2022 Michael Richter Minister of Finance of the State of Saxony-AnhaltMember appointed by the German Bundesrat   since 1 January 2022 Joachim Rukwied President of the German Farmers Association DBVRepresentative of agricultureFrank SchfflerMember of the German BundestagMember appointed by the German Bundestag   since 13 January 2022 Andreas Scheuer Federal Minister of Transport and Digital Infrastructure   until 8 December 2021 Helmut Schleweis President of the German Savings Banks Association DSGVRepresentative of the savings banks   since 6 January 2021 Svenja Schulze Federal Minister for the Environment Nature Conservation and Nuclear Safety   until 8 December 2021Federal Minister for Economic Cooperation and Development   since 8 December 2021 Holger Schwannecke Secretary General of the German Confederation of Skilled Crafts ZDHRepresentative of the skilled crafts Edith Sitzmann Minister of Finance of the State of Baden-WrttembergMember appointed by the German Bundesrat   until 11 May 2021Dietmar StrehlSenator for Finance of the Free Hanseatic City of Bremen   since 1 January 2022 Peter Strobel Minister of Finance and European Affairs of the State of SaarlandMember appointed by the German Bundesrat   until 31 December 2021 Heike Taubert Minister of Finance of the State of ThuringiaMember appointed by the German Bundesrat   until 31 December 2021 Michael Theurer Member of the German BundestagMember appointed by the German Bundestag   until 15 December 2021 Dr Martin Wansleben Chief Executive of the Association of German Chambers of Commerce and Industry DIHK Representative of industry Dr Volker Wissing Federal Minister for Digital and Transport   since 8 December 2021 KfW HGB 2021 Notes  Board of Supervisory Directors     35 Responsibility statement To the best of our knowledge and in accordance with the applicable accounting principles the annual financial  statements give a true and fair view of the net assets financial and earnings position of the company and the combined management report includes a fair review of the development and performance of the business and the  position of the company together with a description of the principal risks and rewards associated with the expected development of the company,CREDIT
Kfw Bank,KfW HGB 2021 Notes  Independent auditors report     39 Other legal and regulatory requirements Report on the assurance in accordance with Sec,REGULATORY
