Bank Name,Financial Text,Financial Term
Landesbank,Part of the regulatory disclosure of ESG risks in accordance with Article 449a CRR was completed for the first time as at  31 December 2022,REGULATORY
Landesbank,There will be slight increases in regulatory equity due to earnings retention and in the total  risk expos ure amount due to the changes to operational risks compared with the 2022 annual report with a  corresponding impact on the related ratios,EQUITY
Landesbank,As at 31 December 2022  the regulatory scope of consolidation in the disclosure report includes Berlin Hyp AG Berlin  Hyp which was acquired in the 2022 financial year,REGULATORY
Landesbank,The section on t he disclosure of own funds pursuant to Article 437 CRR  also continues to be supplemented by GL 201801 Comparison of own funds and capital and leverage ratio applying  and not applying transitional provisions for IFRS  9 in conjunction with Article 473a CRR  II,FUNDS
Landesbank,The obligation to disclose tables EU INS1 and EU INS2 does not apply to LBBW as LBBW has no equity holdings in  insurance undertakings and is not a financial conglomerate,EQUITY
Landesbank,There will be slight increases  in regulatory equity due to earnings retention and in the total risk exposure amount due to the changes to operational  risks compared with the 2022 annual report with a corresponding impact on the related ratios,EQUITY
Landesbank,Thanks to an increase in own funds as against the previous quarter  and despite higher risk -weighted exposure amounts  the Common Equity Tier  1 ratio rose by 0,FUNDS
Landesbank,Disclosure report 2022    5           EUR million  31122022  30092022  30062022  31032022  31122021   Available own funds amounts   Common Equity Tier 1 CET1 capital  13708  12511  12644  12581  12473   Tier 1 capital  14452  13255  13387  13325  13456   Total capital  18934 17770  17966  17974  18090   Risk-weighted exposure amounts   Total risk -weighted exposure amount  93645  89296  91154  89096  84416   Capital ratios as a percentage of risk -weighted exposure amount   Common Equity Tier  1 ratio   14,FUNDS
Landesbank,Equity exposures are reported exclusively under the IRB approach,EQUITY
Landesbank,Significant investments in financial sector entities must be risk -weighted at 250,INVESTMENT
Landesbank,The own funds requirements for securitization transactions take place in accordance with the securitization regulations,FUNDS
Landesbank,The own funds requirements for market price risks for the general interest rate risk general share price risk and  associated option price risks of LBBW Bank are calculated based on an interna l market price risk model also approved  by the regulatory authority,INTEREST
Landesbank,This also includes the own funds requirements for the stressed VaR,FUNDS
Landesbank,Own funds requirements for operational ri sks are calculated using the standardized approach,FUNDS
Landesbank,The following table sets out the total risk exposure amounts and own funds requirements for risk types that are relevant  from a prudential point of view,FUNDS
Landesbank,Significant investments in financial sector entit ies to which a 250 risk weight must be applied along with deferred taxes  resulting from temporary differences are reported in the line Amounts below the thresholds for deductions,INVESTMENT
Landesbank,A breakdown by exposure class is provided as follows    Disclosure of the u se of the standardized approach section 11    Disclosure of the use of the IRB approach to credit risk section 12    Disclosure of exposures to counterparty credit risk section 14      Disclosure report 2022    7        Total risk exposure amounts TREA  Total own funds  requirements   EUR m illion  31122022  30092022  31122022   Credit risk excluding CCR  74012  68313  5921   Of which the standardized approach  11551  11353  924  Of which the foundation IRB FIRB approach  59810  54022  4785   Of which slotting approach  195 198 16  Of whic h equities under the simple risk -weighted approach  1459  1493  117  Of which the advanced IRB AIRB approach      Counterparty credit risk - CCR  4998  6488  400  Of which the standardized approach  2424  3263  194  Of which internal model method IMM      Of which exposures to a CCP  90 88 7  Of which credit valuation adjustment - CVA 1311  1272  105  Of which other CCR  1173  1866  94  Settlement risk  3 3 0  Securitization exposures in the non -trading book after the cap  2453  1668  196  Of which SEC -IRBA a pproach  797 211 64  Of which SEC -ERBA including IAA  924 871 74  Of which SEC -SA approach  116 130 9  Of which 1250 deduction  617 456 49  Position foreign exchange and commodities risks Market risk  6424  8080  514  Of which the standardized approach  3214 3776  257  Of which IMA  3210  4304  257  Large exposures      Operational risk  6372  5199  510  Of which basic indicator approach      Of which the standardized approach  6372  5199  510  Of which advanced measurement approach      Amounts below the thres holds for deduction subject to 250 risk weight - for  informative purposes  2393  2702  191  Total  94262  89752  7541        Figure 2 EU OV1  Overview of risk -weighted exposure amounts   The total risk exposure amount increased  on the previous quarter as figures for Berlin Hyp were taken into account for  the first time,FUNDS
Landesbank,This is chiefly reflected in the increase in the credit risk in the receivables measured in accordance with the foundation  IRB approach,CREDIT
Landesbank,This also applies to risks from  LBBW pension funds to which the bank has outsourced most of its direct defined benefit obligations,FUNDS
Landesbank,LBBW assigns  companies whose risks are regarded as immaterial in investment risk,INVESTMENT
Landesbank,Further information on ESG risks can be found in section 21 Regulatory disclosure of ESG risks Article 449a CRR,REGULATORY
Landesbank,The following material risk types were identified   Financial risks    Counterparty default risks    Market price risks    Liquidity risks    Real estate risks    Development risks    Investment risks     Non-financial risks    Operational risks    Reputation risks    Business risks    Model risks    Tax compliance risks        Disclosure report 2022    9  LBBW defines financial risks as risks that are taken delibera tely ex ante and that can be priced to generate income,INVESTMENT
Landesbank,In terms of capital the quantitative part of risk appetite sets out concrete specifications in the form of thresholds for  LBBWs material economic and regulatory steering parameters  specifications are set out for times of normal business  operations as well as under stress conditions,REGULATORY
Landesbank,It is the LBBW Groups intention to act in the best and  long-term interest of its customers and stakeholders,INTEREST
Landesbank,Capital adequacy that is suitable in the long term   Annual medium -term planning comprises the economic and regulatory considerations brings these together and acts as  a link between the strategic framework and integrated bank management throughout the year,REGULATORY
Landesbank,In addition compliance with the internal targets and thus with minimum regulatory requirements is also ensured in the  case of adverse economic developments,REGULATORY
Landesbank,Economic considerations complement regulatory considerations   To ensure adequate capitalization from an economic point o f view in addition to the regulatory capital view a Group -wide  compilation of risks across all material risk types and subsidiaries economic capital and the comparison of these with  the capital calculated from an economic perspective aggregate risk co ver,REGULATORY
Landesbank,At LBBW aggregate risk cover corresponds to risk coverage potential as per MaRisk denotes t he equity restricted  according to economic criteria which is available to cover unexpected losses,LOSS
Landesbank,In addition to equity as per IFRS including  valuation reserves the realized income statement gainslosses in accordance with IFRS are considered component s of  aggregate risk cover,LOSS
Landesbank,Conservative deductible items are also included due to regulatory requirements,REGULATORY
Landesbank,In contrast to the equity stipulated  by regulatory bodies it is quantified as value at risk VaR at a confidence level of 99,EQUITY
Landesbank,By contrast the liquidity risks within the meani ng of the risk of not meeting payment obligations are managed and  limited in accordance with the quantitative and procedural rules defined in the liquidity risk tolerance for regulatory and  economic considerations,REGULATORY
Landesbank,The scenarios are arranged in such a way that they take into account the impact on the economic and regulatory capital  and liquidity situation,REGULATORY
Landesbank,ESG scenario analyses are prepared for several medium and long -term time periods on the basis of  regulatory or own scenarios and serve primarily as an early warning and way of identifying where action is required in the  long term as well as a basis for strategic discussions,REGULATORY
Landesbank,It supports  the Board of Managing Directors among other things in structuring the balance sheet managing capital and liquidity as  Risk strategy Non -financial riskFinancial risk Non-financial riskRisk Committee Asset Liability Committee Regulatory  Accounting Committee Investment risks Group investmentsMarket price risks Liquidity risks Treasury Financial Institutions  Markets Group Risk ControlCounterparty default risks  Country risks Front office departments Back office departments Credit and risk management Central loan processing Country Limit Committee Joint decision -making authority on lending  front office  back office Group Risk Control Credit CommitteeCredit risk strategyMarket price risk Liquidity risk Investment risk Real estate risk and Development risk strategyGroups Board of Managing Directors Business strategy Group risk strategyAnnual General Meeting Supervisory Board Committees Real estate risks LBBW Immobilien Group LBBW Corporate Real Estate  Management GmbH Development risks LBBW Immobilien Management GmbHOperational risk Group Risk Control in cooperation with all  of the Groups divisions Other risks Business risks Reputation risks Model risks Tax Compliance risksAuthority based on decision -making hierarchy for loans and trading articles of association and internal regulations of the exec utive bodies and the  Groups Board of Managing Directors Cross -cutting issues incl,LIABILITY
Landesbank,The RegulatoryAccounting Committee evaluates at an early stage the requirements of the large number of provisions of  banking supervisory law and accounting that are relevant for management purposes and takes the measures required,REGULATORY
Landesbank,Processes of adjustment   New types of trading and credit product at LBBW are subject to a New Product Process that ensures the  product is  included in LBBWs various systems such as accounting or Risk Control,CREDIT
Landesbank,The structure takes account of MaRisk and other relevant statements by national and international  regulatory authorities,REGULATORY
Landesbank,Disclosure report 2022    14  LBBW Group  Risk situation   LBBW Group  Risk -bearing capacity          31122022  31122021   EUR million  Absolute1 Utilization in   Absolute1 Utilization in    Aggregate risk cover  13335  44 12210  50  Economic capital limit2 10700  54 10000  60  Correlated total economic capital  5830   6038    of which       Counterparty risk  3604   3725    Market price risk  1665   1835    Investment risk  30  31   Operational risk  690  676   Development risk  98  101   Real estate risk  135  131   Other r isks3 279  196   Interrisk correlations  -672  -656         1 Confidence level 99,INVESTMENT
Landesbank,Aggregate risk cover  increased despite negative effects from market developments especially thanks to operating profit performance and the  integration of Berlin Hyp,PROFIT
Landesbank,Higher interest rates also have a risk -reducing effect on  the present values of the individual  risk types,INTEREST
Landesbank,Details on the regulatory key figures can be found in the report on financial position and performance the notes and in  the liquidity risks section,REGULATORY
