Bank Name,Financial Text,Financial Term
Metzler Bank,Metzler International Investments plc Financial Statements for the Year Ended 30 September 2019 Audited Table of Contents Page   Directors Report 3   Investment Reviews 8   Portfolio and Statement of Changes in Investments 51   Fund Summary Information 146   Statement of Comprehensive Income 151   Statement of Financial Position 158   Statement of Changes in Net Assets Attributable to the Holders of Redeemable Shares 165   Notes to the Financial Statements 177   Additional Disclosures to the Shareholders 237 Independent Auditors Report 238   Depositary Report 240   Management and Administration 241   2 Directors Report     Principal Activities   The Company had no employees during the year ended 30 September 2019 or 30 September 2018,INVESTMENT
Metzler Bank,The Company has twenty two active sub funds the Funds  as at 30 September 2019 as follows   1,FUNDS
Metzler Bank,TheDirectors present their annual report together withtheaudited financial statements ofMetzler International Investments plc the Company for the year ended 30 September 2019,INVESTMENT
Metzler Bank,Metzler International Investments plcisaninvestment company with variable capital organised under thelaws ofIreland and hasitsregistered office atKilmore House Spencer Dock North Wall Quay Dublin 1Ireland,INVESTMENT
Metzler Bank,TheCompany isauthorised asan Undertaking forCollective Investment inTransferable Securities pursuant totheEuropean Union Undertakings forCollective Investment inTransferable Securities Amendment Regulations 2016 amending theEuropean Communities Undertakings forCollective Investment inTransferable Securities Regulations 2011 andThe Central Bank Supervision andEnforcement Act 2013 Section 481 Undertakings for Collective Investment in Transferable Securities Regulations 2019,INVESTMENT
Metzler Bank,Thepurpose forwhich theCompany isestablished isthecollective investment intransferable securities ofcapital raised from thepublic operating ontheprinciple ofrisk-spreading,INVESTMENT
Metzler Bank,TheCompany aims toprovide investors withtheopportunity toinvest in avariety offunds investing inequities equity related securities anddebt securities such asbonds treasury bills commercial paper promissory notes fixed interest and floating rate and zero coupon notes and certificates ofdeposit open-ended investment funds and warrants,INVESTMENT
Metzler Bank,Inaccordance withthemanagement agreement theManager hasdelegated certain ofitsfunctions tothefollowing Investment Managers lMetzler Asset Management GmbH MAM hasbeen appointed asInvestment Manager ofMetzler European Smaller Companies Metzler European Growth Metzler Global Selection Metzler International Growth Metzler Eastern Europe Metzler European Concentrated Growth Metzler European Small and Micro Cap Metzler Euro Corporates Short Term Metzler Wertsicherungsfonds 90Metzler Alternative Multi Strategy Metzler Wertsicherungsfonds 98Metzler Sovereign Select LCR Metzler European Dividend Sustainability Metzler European Equity Enhanced Metzler Global Equity Enhanced Metzler US Equity Enhanced Metzler Japanese Equity Enhanced Metzler German Equity Enhanced andMetzler Wertsicherungsfonds 92,INVESTMENT
Metzler Bank,Ltd has been appointed as Investment Manager of Metzler Japanese Equity Fund,INVESTMENT
Metzler Bank,l Nissay Asset Management Corporation has been appointed as Investment Manager to Metzler Focus Japan,INVESTMENT
Metzler Bank,lChina Asset Management Hong Kong Limited hasbeen appointed asInvestment Manager toMetzler China AShare Equity Fund,INVESTMENT
Metzler Bank,Launch of New Sub Fund Launch of Additional Share Classes Conversion to a Share Class Fund Change of Name Events since the Year End Date It is the intention of the Directors to continue to develop the investment activities of the Company,INVESTMENT
Metzler Bank,Adetailed performance review foreach Fund isincluded intheInvestment Reviews section onpages 7to49,INVESTMENT
Metzler Bank,Theperformance figures of the Funds shown in the investment reviews are adjusted for any distributions made during the financial year,INVESTMENT
Metzler Bank,Rainer Matthes - German Keith Milne - Irish  Damien Owens - Irish Joachim Treppner - German Deirdre Yaghootfam independent director - Irish   Directors and Secretarys Interests Soft Commissions There were no soft commission arrangements in place during the year,INTEREST
Metzler Bank,None oftheDirectors theCompany Secretary northeir families held at30September 2019 orduring theyear anybeneficial interest in the shares of the Company,INTEREST
Metzler Bank,Thedirectors areresponsible forkeeping adequate accounting records which disclose withreasonable accuracy atanytime the assets liabilities financial position andprofit orloss oftheCompany andenable them toensure thatthefinancial statements comply with theCompanies Act2014 theEuropean Communities Undertakings forCollective Investment inTransferable Securities Regulations 2011 andtheCentral Bank Supervision andEnforcement Act2013 Section 481 Undertakings for Collective Investment inTransferable Securities Regulations 2019,PROFIT
Metzler Bank,Regulation 43oftheCentral Bank Supervision and Enforcement Act2013 Section 481 Undertakings forCollective Investment inTransferable Securities Regulations 2019 Transactions involving Connected Persons states that any transaction carried outwith these connected persons must becarried outasifnegotiated atarms length andmust beinthe best interests of the shareholders,INVESTMENT
Metzler Bank,On behalf of the Board on Keith Milne DirectorDamien Owens Director 7 30 January 2020 Investment Reviews Metzler European Smaller Companies Investment Objective Fund Report Performance in review period  -2,INVESTMENT
Metzler Bank,Themacroeconomic and inparticular thepolitical climate forEuropean equity markets was difficult throughout theentire reporting period,EQUITY
Metzler Bank,From October theequity markets were virtually cleared,EQUITY
Metzler Bank,Atthebeginning oftheyear thetrend ontheequity markets reversed,EQUITY
Metzler Bank,Market participants viewed thepolitical risks slightly more positively andequities benefitted from the central banks interest rate policy,INTEREST
Metzler Bank,Consequently the equity markets recovered considerably from theheavy losses they hadsuffered however again largely irrespective of fundamental corporate data,LOSS
Metzler Bank,InMay USPresident Trump putanendtothestock market recovery viaaTwitter statement and reignited thetrade conflict,STOCK
Metzler Bank,Inthereporting period weadded solid more defensive growth stocks totheportfolio,STOCK
Metzler Bank,Stocks intheBritish medical technology firmBTG also grew strongly with afigure of 48,STOCK
Metzler Bank,We realised profits and fully divested our position in Entertainment One,PROFIT
Metzler Bank,Meanwhile stocks intheBritish online fashion retailer Asos -47 were among thelosers inthefund and wesold ourshareholding infull,STOCK
Metzler Bank,The French stock Maisons du Monde also compromised fund performance with a minus of 43,STOCK
Metzler Bank,Wealso added two manufacturers ofpharmaceutical products forveterinary applications We included stocks oftheFrench company Virbac and theBritish manufacturer Dechra Pharmaceuticals,STOCK
Metzler Bank,Following astrong price rally wealso reduced our position intheDanish medical technology firmColoplast andsecured profits forthefund,PROFIT
Metzler Bank,Wealso divested ourstocks oftheBritish online fashion retailer Asos infull The company isfighting against falling margins and tougher competition,STOCK
Metzler Bank,We further disposed ofallshares intheDanish biotech company Novozymes aswellasourstocks in the German automotive supplier Continental,STOCK
Metzler Bank,Thestocks thatcontributed themost totheperformance oftheportfolio included Wirecard financial services provider Germany Danone food beverages France and ASML semiconductors Netherlands,STOCK
Metzler Bank,Atthebeginning ofthereporting period theinitially further escalating trade conflict between theUSA and China weaker economic data continued interest rate increases bytheUS Federal Reserve together withaseries ofpolitical risks caused aninitial downturn inequity prices,INTEREST
Metzler Bank,The outlook became brighter from thebeginning of2019 The excessive price declines ontheequity markets were largely reversed bytheendofthereporting period,EQUITY
Metzler Bank,In May USPresident Trump called anend tothestock market recovery viaTwitter and reignited thetrade conflict,STOCK
Metzler Bank,Atthebeginning oftheyear under review and again inDecember prices ontheglobal equity markets fellsharply duetorecession fears,EQUITY
Metzler Bank,Moreover market participants feared that companies profit margins would decrease,PROFIT
Metzler Bank,Inthesummer months indications forareturn toamore expansive monetary policy grew andtheequity markets recovered accordingly,EQUITY
Metzler Bank,Thefund which isprimarily invested inequities started themonth ofOctober witha netequity exposure ofjustbelow 97,EQUITY
Metzler Bank,Both tactical indicators aswell asour riskmanagement also resulted inindications thatinvolved areduction inequity exposure,EQUITY
Metzler Bank,Especially throughout December thisenabled ustoabsorb some oftheprice losses,LOSS
Metzler Bank,Furthermore weexpect thecycle ofinterest rate increases intheUSA toslow down significantly,INTEREST
Metzler Bank,Atthebeginning ofApril equity exposure was initially increased byapprox,EQUITY
Metzler Bank,Following the surprising escalation ofthetrade conflict between theUSA andChina wesawanincreased riskfordownturns inshare prices andtherefore reduced thenetequity exposure through share index futures byupto10 bythemiddle ofMay,EQUITY
Metzler Bank,Inthe second halfofMay andthebeginning ofJune wetook advantage ofthelower price levels toincrease thenetequity exposure byapprox,EQUITY
Metzler Bank,Inthesecond halfofAugust andthebeginning ofSeptember wethen increased theequity exposure again byaround 20percentage points especially in view oftheanticipated more expansive monetary policy from theUSFederal Reserve and theECB,EQUITY
Metzler Bank,Forthereporting period both sector allocation and stock selection were negative with larger impact from stock selection,STOCK
Metzler Bank,Interms ofstock selection overweight positions inDai-ichi Seiko and NEC Electric Appliances Nihon Unisys and TIS Information Communication Itochu Corp,STOCK
Metzler Bank,With value stocks continuing tounderperform growth stocks formost partofthereporting period except forsome momentary bounces theportfolio hasfailed toproduce attractive returns,STOCK
Metzler Bank,Despite thedifficult conditions webelieve bottom-up individual stock selection willprevail andwehave been gradually increasing theover under-weights ofourhigh low convictions,STOCK
Metzler Bank,The escalating trade conflict between theUSA and China theweaker economic data continued interest rate hikes bytheUSFederal Reserve andaseries ofpolitical risks all initially sent share prices plummeting,INTEREST
Metzler Bank,Wetook advantage offalling prices onequity markets inthefinal three months of2018 to further increase ourpositions inseveral selected technology andsemi-conductor stocks at what we believe to be favourable initial price offerings For instance webuilt upour shareholdings inthe semiconductor company ASML Netherlands aswellasintheUStechnology company Microsoft software andhardware,STOCK
Metzler Bank,In contrast wesold ourentire stake inRockwell Automation automation technology USA and Blackstone private equity USA securing gains for the fund,EQUITY
Metzler Bank,Inthefourth quarter of2018 prices ontheequity markets caved inconfirming investors recession fears,EQUITY
Metzler Bank,Signs ofrapprochement emerged inthetrade dispute between theUSA and China andtheFederal Reserve announced thatitwould refrain from further interest rate increases fornow,INTEREST
Metzler Bank,Historically low interest rates increasingly strict regulation andpotential losses from CHF mortgages impacted prices,LOSS
Metzler Bank,TheTurkish central bank reduced its keyinterest ratefrom 24,INTEREST
Metzler Bank,InMay theJapanese equity pulled back amid concerns over a setback intheglobal economy caused bytrade frictions with theUShiking tariffs on Chinese imports imposing sanctions onHuawei andsetting additional tariffs onMexican imports,EQUITY
Metzler Bank,InJune theJapanese equity turned upastheFed chair suggested interest rates could come down after thecorrection inearly June causing concerns ontheUSimposing additional tariffs onMexican imports,INTEREST
Metzler Bank,InSeptember theJapanese equity rebounded onreopening ofUS-China trade talks and higher USinterest rates,INTEREST
Metzler Bank,USlong-term interest rates rose partly on an improvement in US economic indicators and the Yen weakened,INTEREST
Metzler Bank,InOctober 2018 Japanese stock market plunged asinvestors turned risk-off amid arisein USlong-term interest rates and concern over aslowdown inChinese economy,INTEREST
Metzler Bank,The FOMCs decision tohike interest ratewasitsfourth during 2018,INTEREST
Metzler Bank,InQ12019 themarket dropped significantly inthefirsttrading session oftheyear but responded positively tothestrength onUSmarket when theFedadopted acautious stance onfurther interest rateincrease,INTEREST
Metzler Bank,We took advantage oftheexcellent performance ofshares inColoplast theDanish manufacturer of products forstool and urinary incontinence and divested ourstake ataprofit during the reporting period,PROFIT
Metzler Bank,Wealso reduced ourengagement inAssa Abloy aSwedish group that manufactures and distributes electromechanical products such aslock systems and security doors and realised profits,PROFIT
Metzler Bank,Price losses inthefourth quarter of2018 almost consistently hitdouble digits,LOSS
Metzler Bank,In particular several companies were challenged byprofit warnings inthefirst half ofthe reporting period,PROFIT
Metzler Bank,The price oftheBritish online fashion retailer Asos collapsed when in December thecompany surprisingly lowered theprofit targets fortheongoing 201819 financial year,PROFIT
Metzler Bank,The price of Fresenius Medical Care also crashed inthefourth quarter of2018 when theleading German supplier ofdialysis products and services revised itsexpected profit growth downwards,PROFIT
Metzler Bank,The companys figures were significantly weaker than expected and theprofit forecast had tobecorrected downward twice,PROFIT
Metzler Bank,While shares intheBritish firmLearning Technologies -31 had performed extremely well intheprevious reporting period they fluctuated strongly in the current year under review and closed on a loss,LOSS
Metzler Bank,The company posted healthy figures and raised profit expectations,PROFIT
Metzler Bank,While risk-free bonds gained significantly when measured forinstance against German federal bonds corporate bonds remained very weak,BONDS
Metzler Bank,Risk premiums rose sharply even for corporate bonds with short residual terms,BONDS
Metzler Bank,Finally themost important central banks also hadtheir say The USFederal Reserve continued itscycle ofinterest rate increases inDecember 2018 with afurther 25 base points,INTEREST
Metzler Bank,Theyield on ten-year federal bonds fellsharply inthefirstquarter of2019 even dropping below thezero percent mark inMarch,BONDS
Metzler Bank,This particularly affected lower rating classes longer terms and subordinated bonds,BONDS
Metzler Bank,The yield onten-year federal bonds dropped below the-0,BONDS
Metzler Bank,Risk premiums forcorporate bonds ascompared to government bonds had slightly increased inMay and fellagain thereafter however still remaining slightly above their all-year low,BONDS
Metzler Bank,Thebigwinners inthequarter under review were primarily government bonds from countries attheperiphery oftheEuropean Monetary Union especially Italy and Greece,BONDS
Metzler Bank,Forinstance theyield forten-year federal bonds felltoa lowof-0,BONDS
Metzler Bank,Thus theentire yield curve forfederal bonds wasinthenegative range forthefirst time,BONDS
Metzler Bank,Meanwhile theEuropean Central Bank decided onanextensive bundle ofmeasures including another reduction indeposit rates and therecommencement ofnetbond purchases from November,DEPOSIT
Metzler Bank,Inview ofthe political andeconomic risks aswell astheincreasing attractiveness ofeuro-denominated corporate bonds ascompared tothecorresponding government bonds riskpremiums for euro-denominated corporate bonds trended sideways,BONDS
Metzler Bank,Subordinated bonds also performed better than senior bonds,BONDS
Metzler Bank,Inthereporting period we maintained anoverweighting ofbonds with lowratings intheportfolio aswell asan overweighting in subordinated bonds and bonds with residual term of more than three years,BONDS
Metzler Bank,Inaddition wereallocated a number of bonds with shorter residual terms to bonds with comparatively longer terms,BONDS
Metzler Bank,Aquantitative duration management system was used inorder tobeable tosystematically profit from the interest rate dynamics within the eurozone,PROFIT
Metzler Bank,Inthefirstnine months of2019 thestrong bond market dominated fund performance dueto thehigh initial allocation forbonds,BONDS
Metzler Bank,However thehigh contribution from bonds ensured a clearly positive result,BONDS
Metzler Bank,This ledtosignificant losses onthe equity markets andespecially government bonds with particularly high ratings were sought assafe harbours,LOSS
Metzler Bank,Itscored with structural and consistent revenue and profit growth,REVENUE
Metzler Bank,When theequity markets started toconsolidate inthefourth quarter of2018 thefund recorded significant losses butmanaged toreduce these against itsbenchmark assets,LOSS
Metzler Bank,When theequity markets started toconsolidate inthefourth quarter of2018 thefund recorded notable losses butmanaged toreduce these slightly against itsbenchmark assets,LOSS
Metzler Bank,Thebenchmark assets used forthefund recorded aprofit of8,PROFIT
Metzler Bank,Astheequity markets started toconsolidate inthefourth quarter of2018 thefund recorded significant losses butmanaged toreduce these slightly against itsbenchmark assets,LOSS
Metzler Bank,After oneyear andahalfofthetrade war webelieve China iscurrently developing inthe right direction that iscontinue tosupport thetechnology investment and industrial upgrading curb theexpansion ofthereal estate industry and reduce theprofit ofthe banking system tosupport thedevelopment ofreal economy,PROFIT
Metzler Bank,Atthe same time wewillunderweight onBanks andReal Estate sectors because they arefacing long-term downward pressure in terms of the revenue growth,REVENUE
Metzler Bank,of Contracts Type Currency Contract Maturity Counterparty Unrealised Total Net Price Date GainsLosses Assets at Year End  EUR ASX SPI 200 INDEX FUTURES 12 19 9 Long AUD 6684 20,LOSS
Metzler Bank,of Contracts Type Currency Contract Maturity Counterparty Unrealised Total Net Price Date GainsLosses Assets at Year End  EUR BTP FUTURES 12 19 2 Long EUR 145,LOSS
Metzler Bank,of Contracts Type Currency Contract Maturity Counterparty Unrealised Total Net Price Date GainsLosses Assets at Year End  EUR 10-YEAR US,LOSS
Metzler Bank,of Contracts Type Currency Contract Maturity Counterparty Unrealised Total Net Price Date GainsLosses Assets at Year End  EUR CBOE VOLA,LOSS
Metzler Bank,of Contracts Type Currency Contract Maturity Counterparty Unrealised Total Net Price Date GainsLosses Assets at Year End  EUR ASX SPI 200 INDEX FUTURES 12 19 7 Long AUD 6665,LOSS
Metzler Bank,of Contracts Type Currency Contract Maturity Counterparty Unrealised Total Net Price Date GainsLosses Assets at Year End  EUR DAX FUTURES 12 19 25 Short EUR 12349,LOSS
Metzler Bank,Significant Accounting Policies   The following is a summary of the significant accounting policies adopted by the Company   i Basis of Accounting Critical Accounting Estimates and Judgements ii Financial Assets and Financial Liabilities at Fair Value Through Profit or Loss Classification   Financial Assets and Liabilities at Fair Value Through Profit or LossThe Company has designated its assets and liabilities into the categories below in accordance with FRS 102,PROFIT
Metzler Bank,Onderecognition ofafinancial asset thedifference between thecarrying amount oftheasset orthecarrying amount allocated totheportion oftheasset that isderecognised and theconsideration received including anynew asset obtained less anynew liability assumed is recognised intheStatement ofComprehensive Income,LIABILITY
Metzler Bank,Any interest insuch transferred financial assets that iscreated orretained bytheCompany isrecognised asa separate asset or liability,LIABILITY
Metzler Bank,The Company derecognises a financial liability when its contractual obligations are discharged or cancelled or expire,LIABILITY
Metzler Bank,Fair value istheprice forwhich theasset could beexchanged orliability transferred between knowledgeable willing parties inanarms length transaction,LIABILITY
Metzler Bank,Ifsuch market price isnotavailable thevalue shall betheprobable realisation value estimated with care and in good faith by the Directors or such other competent person appointed by the Directors and approved for the purpose by the Depositary,DEPOSIT
Metzler Bank,Financial assets andliabilities areoffset andthenetamount reported intheStatement ofFinancial Position when there isalegally enforceable right tooffset therecognised amounts and there is an intention to settle on a net basis or realise the asset and settle the liability simultaneously,LIABILITY
Metzler Bank,The amortised cost ofafinancial asset orfinancial liability istheamount atwhich thefinancial asset orfinancial liability ismeasured atinitial recognition minus principal repayments plus orminus thecumulative amortisation using theeffective interest method ofanydifference between theinitial amount recognised andthematurity amount minus any reduction for impairment or uncollectability in the case of a financial asset,LIABILITY
Metzler Bank,Security transactions are recorded in the accounts of the Company on the trade date upon which the transaction takes place,SECURITY
Metzler Bank,Transaction fees areincremental costs thataredirectly attributable totheacquisition issue ordisposal ofafinancial asset orfinancial liability,LIABILITY
Metzler Bank,Inaddition thenotes tothefinancial statements address theCompanys financial riskmanagement objectives details ofthefinancial instruments used bytheCompany anditsexposure tocredit andliquidity risks,CREDIT
Metzler Bank,Management DepositaryTrustee and Performance Fees   Management fees ofupto2oftheNetAsset Value ofeach Fund arepayable totheManager inrespect ofeach class ofParticipating Shares,DEPOSIT
Metzler Bank,The Depositary willbepaid bytheCompany anannual custody feeperFund accruing andcalculated daily andpaid monthly inarrears atarate ranging from 0,DEPOSIT
Metzler Bank,Inaddition theDepositary shall bepaid anannual trustee feeper Fund notexceeding 0,DEPOSIT
Metzler Bank,TheDepositary shall also beentitled tobepaid bytheCompany transaction charges andanyout-of-pocket expenses incurred by the Depositary in the performance of its duties and functions under the Depositary Agreement,DEPOSIT
Metzler Bank,Management DepositaryTrustee and Performance Fees continued Fund name Benchmark Metzler Eastern Europe Class A Shares only MSCI EFM Europe and CIS IMI Custom Capped NR Index Metzler European Growth Class A Shares only MSCI Europe Growth net STOXX Small 200 Index Metzler Euro Corporates Short Term ICE BofAML EMU Corporates Non-Financial 1 - 3 yr 4,DEPOSIT
Metzler Bank,Metzler Alternative Multi Strategy Class A Shares  onlyFTSE 3 Month Local Deposit Euro Index up to 8 August  201925 25 25 25 20 1515 15 15 25 20   186 Notes to the Financial Statements   4,DEPOSIT
Metzler Bank,for which market data is unavailable for the asset or liability,LIABILITY
Metzler Bank,developed using market data for the asset or liability either directly or indirectly,LIABILITY
Metzler Bank,TheJPMorgan margin balance issplitbetween thesub-funds asfollows Metzler Global Selection holds EUR 254822 2018 EUR 125088 Metzler Euro Corporates Short Term holds EUR 18460 2018 EUR -7165 Metzler Wertsicherungsfonds 90holds EUR 2955736 2018 EUR 4068743 Metzler Alternative Multi Strategy EUR 14609267 2018 EUR 19866107 Metzler Wertsicherungsfonds 98EUR 661701 2018 EUR 458624 Metzler European Equity Enhanced holds EUR 647913 2018 EUR 645213 Metzler Global Equity Enhanced holds EUR 3014426 2018 EUR 2797959 Metzler USEquity Enhanced holds EUR 4808609 2018 EUR 4548091 Metzler Japanese Equity Enhanced holds EUR 621707 2018 EUR 403648 Metzler German Equity Enhanced  EUR 161804 2018 EUR 186228 and Metzler Wertsicherungsfonds 92 holds EUR 227435 2018 na,FUNDS
Metzler Bank,Taxation     A chargeable event does not include   i Any transactions in relation to shares held in a recognised clearing system as designated by order of the Revenue Commissioners of Ireland or    ii An exchange of shares representing one Fund of the Company to another fund of the Company or   iii An exchange of shares arising on a qualifying amalgamation or reconstruction of the Company with another Fund or   iv Certain exchanges of shares between spouses and former spouses,REVENUE
Metzler Bank,The Company is not subject to any additional regulatory capital requirements,REGULATORY
Metzler Bank,TheManager isentitled toaperformance related feewhich ispayable directly from theassets oftherelevant Funds,FUNDS
Metzler Bank,Financial Risk Management   a Market Price RiskThe total fees waived bytheManager fortheyear asaresult ofthecross holdings inanyFunds managed bytheMetzler Group entities isEUR 31087 30September 2018 EUR 22631,FUNDS
Metzler Bank,The risks and the measures adopted by the Funds for managing these risks are detailed below,FUNDS
Metzler Bank,Asophisticated riskmeasurement technique called relative Value-at-Risk VaR isused tomeasure themarket riskoftherelevant Funds,FUNDS
Metzler Bank,Information on the reference benchmarks for  the Funds as at 30 September 2019 is detailed below   205 Notes to the Financial Statements   12,FUNDS
