Bank Name,Financial Text,Financial Term
NRW Bank,All this requires investments for which promotional banks like  NRW,INVESTMENT
NRW Bank,BANK provide support in the form of promotional pro - grammes equity finance and advice,EQUITY
NRW Bank,Annual Report 2021 3 Editorial Investment in digitalisation Investment in sustainabilityOpportunities  for NRW arising  from the twin  transformationSave resources and  carbon through   automated processes Open up new markets  through digital progress  and innovative business  modelsImprove processes   through optimised   IT infrastructurer Mitigate climate change  impacts for municipalities  through renaturation  greening and flood   protectionCut energy and   production costs Enhance sustainable  image and reputation  among consumers In our interview   Dr,INVESTMENT
NRW Bank,BANK supports   organisations in their investments in this field in order to further push ahead digitalisation   in the SME sector,INVESTMENT
NRW Bank,Tremaze is a start-up from  Dortmund which digitalises  non-profit organisations of   the social infrastructure from  kindergartens to youth centres  to addiction treatment centres,PROFIT
NRW Bank,We Turn Researchers into Company Founders Annual Report 2021 8 Investments in digitalisation and sustainability secure growth opportunities for SMEs  as they help save resources leverage efficiency potential and develop new output   markets,INVESTMENT
NRW Bank,In 2021 we sup - ported 50 new projects non-profit organisations and initiatives which  among other things sustainably promote digital participation or protect  nature,PROFIT
NRW Bank,The online  learn  ing platform introduces interested people   to beekeeping in an easily accessible way and  sim plifies training through online seminars,INTEREST
NRW Bank,BANK    19 Report on Public Corporate Governance  36 Declaration of Conformity  37 Report of the Supervisory Board  39 Management Report  95 Balance Sheet  99 Income Statement  101 Notes  151 Cash Flow Statement  153 Statement of Changes in Equity  154 Responsibility Statement  155 Reproduction of the Independent Auditors Report  164 Members of the Advisory Board for Housing Promotion  167 Members of the Advisory Board  172 Members of the Parliamentary Advisory Board  174 Organisation Chart  176 NRW,EQUITY
NRW Bank,The instruments used  include in particular promotional loans with low interest rates  and  or long-term fixed-interest options the provision of equity  and mezzanine capital risk sharing with house banks as well as  advisory services,INTEREST
NRW Bank,Other funding options include funds  made available to the Bank by KfW Bankengruppe Landwirt - schaftliche Rentenbank the European Investment Bank EIB as  well as the Council of Europe Development Bank CEB,INVESTMENT
NRW Bank,The table below shows a breakdown of the volume of new com - mitments by promotional fieldsfor reduced interest rates on promotional loans is a key com - ponent of this Frderleistung,INTEREST
NRW Bank,BANK refrains  from putting its equity capital in alternative investments yielding  higher interest and hence income by using this capital to   refinance promotional loans granted at reduced interest rates,INVESTMENT
NRW Bank,BANK takes into account the existing offers by the Federal  Promotional Institutes in the arrangement of its promotion and  supports the use of federal and European promotional funds   in the State of North Rhine-Westphalia,FUNDS
NRW Bank,These two programmes offer small and medium-sized  enterprises low-interest loans for working capital requirements  and investments that can be used for a wide range of purposes,INVESTMENT
NRW Bank,Subject to certain conditions optional  liability releases may be applied for as an additional promotional  component for these offerings to relieve the risk for the on-lending   house banks,LIABILITY
NRW Bank,Banks and savings banks may also obtain global  loans to refinance their own loans to SMEs at favourable interest  rates and enter into syndicate partnerships with NRW,INTEREST
NRW Bank,BANK offers young innova - tive as well as small and medium-sized companies a comprehen - sive range of mezzanine and equity finance products,EQUITY
NRW Bank,Through  its complementary activities as a fund investor in third-party  managed funds the bank also stimulates the development of  the venture capital and private equity market in North Rhine- Westphalia,FUNDS
NRW Bank,The introduction of negative funding rates for house banks  and negative interest rates for the programme-based direct  business with municipalities in 2021 made it possible to regain  scope for interest rate reductions that had been lost due to the  low interest rates which increased the attractiveness of many  promotional loan programmes,INTEREST
NRW Bank,BANKs economic promotion activities comprise a wide  range of promotional instruments such as low-interest promo - tional loans risk sharing with house banks equity strengthening  solutions as well as advisory services,INTEREST
NRW Bank,With its range of economic  promotion products the Bank helps lay the foundations for a  prospering economy by supporting creative action economically  sound investments and technological progress,INVESTMENT
NRW Bank,Measures for building refurbish - ment the modernisation of sanitary installations the reduction  of barriers or the protection against burglary benefit from special  promotion in the form of low-interest loans regardless of income,INTEREST
NRW Bank,BANK therefore offers favourable terms and  conditions to encourage corporate investment in social and public   infrastructure projects,INVESTMENT
NRW Bank,BANK also supports investments  by business angels in innovative newly established or young  companies through advisory support and mediation activities,INVESTMENT
NRW Bank,BANKs products help enhance   the housing supply in North Rhine-Westphalia by promoting the  construction of new housing as well as the modernisation of the  existing housing stock,STOCK
NRW Bank,BANK 17 for selected investment projects to provide effective stimulation  in selected infrastructure sub-segments,INVESTMENT
NRW Bank,BANK   offers the North Rhine-Westphalian municipalities their enter - prises and municipal cooperatives specific low-interest and long- term investment loans which are extended directly,INVESTMENT
NRW Bank,Municipalities   may use these loans for their investment measures,INVESTMENT
NRW Bank,As a general  rule all investments in municipal infrastructure are financed via   this promotional offering with investments in climate protection  measures receiving an additional interest subsidy since 2021,INVESTMENT
NRW Bank,The State has assumed permanent institutional  and guarantor liability for NRW,LIABILITY
NRW Bank,The members of the Managing Board are committed to the  interest of the Bank and fulfil their tasks in virtue of their office  in an independent unbiased and selfless manner,INTEREST
NRW Bank,No member  of the Managing Board pursued personal interests when making  decisions no gifts other benefits or promises thereof were  solicited or accepted neither personally nor on behalf of third  parties,INTEREST
NRW Bank,Potential conflicts of interest that may occur in the  context of other mandates are managed in a forward-looking  manner in the meaning of the PCGC,INTEREST
NRW Bank,The respective directors and officers liability insurance policy DO insurance  for the members of the Managing Board the Supervisory Board  and the Board of Guarantors for 2022,LIABILITY
NRW Bank,Increasing requirements in the banking environment and constant   amendments of the regulatory conditions require continuous  further training,REGULATORY
NRW Bank,The Managing Board is committed to ongoing further training  especially in the field of regulatory amendments and require - ments in the banking environment Managing Board members  undertake appropriate further training measures at their own  initiative,REGULATORY
NRW Bank,BANK also with respect   to regulatory requirements,REGULATORY
NRW Bank,In accordance with  Annual Report 2021 Report on Public Corporate Governance in the Year 2021 21 No business or personal relations that give rise to a material and  not only temporary conflict of interest exist between the members   of the Supervisory Board and NRW,INTEREST
NRW Bank,Potential conflicts  of interest that may occur in the context of other mandates are  managed in a forward-looking manner in the meaning of the PCGC,INTEREST
NRW Bank,The Supervisory Board also addressed the recommenda - tions adopted as a result of the evaluation carried out in 2020  which could be implemented only in part due to coronavirus-   related restrictions,RESTRICTIONS
NRW Bank,No relevant conflicts of interest were disclosed to the Supervisory   Board in the fiscal year,INTEREST
NRW Bank,No member of the Supervisory Board  pursued personal interests when making decisions,INTEREST
NRW Bank,The Board  of Guarantors resolves on the approval of the annual financial  statements passes a resolution on the appropriation of profits  and appoints the auditor,PROFIT
NRW Bank,BANKs remuneration system must meet  the requirements of the conservative remuneration policy of a  competition-neutral promotional bank whose primary objective   is not the generation of profits,PROFIT
NRW Bank,This Commission is com - posed of the Heads of Internal Audit Human Resources Credit  Management back office and Risk Control as well as the   Compliance Officer,CREDIT
NRW Bank,In both contracts the former clause requiring a salary review  after three years at the latest to compensate for any loss of  purchasing power was deleted,LOSS
NRW Bank,Each pension account carries an individual interest rate,INTEREST
NRW Bank,The amount of the pension in the event of invalidity depends   on the entitlement achieved as well as on the additionally agreed  attributable period credited at the time the insured event occurs,CREDIT
NRW Bank,This remuneration   structure very well reflects the underlying idea according to which   the generation of profits is not the primary business objective,PROFIT
NRW Bank,In accordance with regulatory requirements and the provisions  in the Statutes the Supervisory Board addressed the business  promotional and risk strategy for the years 2022 to 2025 which  had previously been discussed by the Promotional Committee  and the Risk Committee,REGULATORY
NRW Bank,BANK for the Fiscal Year 2021 parameters of its conservative investment strategy,INVESTMENT
NRW Bank,BANK takes into account the  existing offers by the Federal Promotional Institutes in the  arrange  ment of its promotion and supports the use of federal  and European promotional funds in the State of North Rhine- Westphalia,FUNDS
NRW Bank,BANK conducts  its activities in accordance with commercial principles taking into   account the public welfare on a non-competitive and non-profit- oriented basis,PROFIT
NRW Bank,BANK it is  a legally independent promotional bank engaging in competition- neutral promotional business which permanently benefits from  institutional and guarantor liability as well as from an explicit  statutory funding guarantee from its guarantor,LIABILITY
NRW Bank,BANKs  objective of acquiring additional EU funds for promotion in  North Rhine-Westphalia,FUNDS
NRW Bank,The business volume comprises total assets contingent liabilities   other commitments as well as administered funds,FUNDS
NRW Bank,BANK defines the net asset value as the equity capital  shown in the balance sheet with all its components plus allowance  reserves,EQUITY
NRW Bank,The volume of new commitments comprises the commitments  for promotional funds made in the current fiscal year,FUNDS
NRW Bank,Sales  revenues in the contact-intensive service sectors and the physical  retail stores that had still been restricted in the winter increased  noticeably,REVENUE
NRW Bank,As COVID-19 restrictions in Germany were eased in  the second quarter of 2021 growth showed a strong counter-   movement to the previous drops in GDP,RESTRICTIONS
NRW Bank,The stock markets remained unimpressed by the developments  from the summer onwards and trended friendly within a relative - ly narrow range of fluctuation,STOCK
NRW Bank,by serving as the paying agent for  grants awarded for equity reasons,EQUITY
NRW Bank,In the individual promotional fields  funds totalling  3,FUNDS
NRW Bank,The Programme-based Promotion segment comprises the  business units Housing Promotion Promotion Programmes   Special Finance Equity Finance as well as Promotion Programme  Advisory Services  Customer Service,EQUITY
NRW Bank,The withdrawal and the termination of own issues resulted in net  losses of  49,LOSS
NRW Bank,Net interest income in Equity Finance increased primarily due to  higher profit distributions,PROFIT
NRW Bank,On the one hand  commission income for liability releases under the NRW,LIABILITY
NRW Bank,BANKs creditworthiness and  reconfirmed the Banks good ratings,CREDIT
NRW Bank,In  the long term this will improve the Banks funding base and  strengthen its profitability as the Bank may make new issues at  current conditions,PROFIT
NRW Bank,Other sources of refinancing were the ECBs TLTRO III  as well as programme-linked funds from KfW Bankengruppe and  Landwirtschaftliche Rentenbank for the on-lending business,FUNDS
NRW Bank,At 25 2020 12  green bonds and social bonds accounted for a growing share of  NRW,BONDS
NRW Bank,EUR 32 USD 24 HKD 1 GBP 17 NZD 1 AUD Social Bonds 4EUR Green Bonds 8 EUR Social Bonds 13 Annual Report 2021 52 Management Report declined to  13,BONDS
NRW Bank,Under the house bank procedure customers file  an application for promotional funds with the house bank which  passes it on to NRW,FUNDS
NRW Bank,BANK then makes the funds  available to the customer through their house bank,FUNDS
NRW Bank,Equity capital as defined in the German Commercial Code HGB  remained unchanged at  18,EQUITY
NRW Bank,The bottleneck is primarily affecting the automotive  industry which however plays a far less important role in North The regulatory capital requirements were complied with at all  times in the fiscal year 2021,REGULATORY
NRW Bank,for building materials or chemical feed - stock may dissolve more quickly which should be an advantage  for North Rhine-Westphalias strong chemicals industry,STOCK
NRW Bank,What is more part of the savings accumulated by private  households that were not affected by a loss of income during  the pandemic is likely to be used to finance investments in owner-  occupied properties or properties serving as capital investments,LOSS
NRW Bank,The German government is unlikely to encounter any financing  problems in the future as the high credit ratings of its bonds  mean that the latter should remain in high demand in the event  of financial market turbulence,BONDS
NRW Bank,According to the Financial Stability Board the real estate credit  market deserves special attention in this respect,CREDIT
NRW Bank,In such a case a potential realisation of real  estate collateral would possibly entail losses for banks,LOSS
NRW Bank,Further  profit distributions are not permitted under NRW,PROFIT
NRW Bank,The Board of Guarantors decides among other things on the  principles of the business promotional and risk policies and on  the release of liability of the members of the Supervisory Board  and the Managing Board,LIABILITY
NRW Bank,The Asset Liability Committee ALCO is responsible for the  Banks asset  liability management,LIABILITY
NRW Bank,The ALCOs tasks include market risk and liquidity risk  management Bank-wide risk management profit management  as well as balance sheet structure management,PROFIT
NRW Bank,BANK provides support in disbursing grants  awarded for equity reasons in the context of the State of North  Rhine-Westphalias reconstruction aid,EQUITY
