Bank Name,Financial Text,Financial Term
Norddeutsche Bank,Debt securities and other fixed -interest securities              a Money -market instruments               ab Issued by other borrowers     75 894       37 986         75 894     37 986    b Bonds and debt securities               ba Issued by public -sector borrowers     5 677 442       6 265 220     of which eligible as collateral for   Deutsche Bundesbank advances   4 769 421         5 376 630     bb Issued by other borrowers     7 615 992       8 353 976         13 293 434     14 619 196     of which eligible as collateral for   Deutsche Bundesbank advances   6 305 489         7 393 317    c Debt securities issued by the institution itself      143 542     160 967    Nominal  amount   156 785          154 787           13 512 870   14 818 149   Amount carried forward         97 487 153   99 671 722                     Assets  Norddeutsche Landesbank Girozentrale                  in  000  xxx          2021   Amount carried forward         97 487 153   99 671 722     6,INTEREST
Norddeutsche Bank,Shares and other non fixed -interest securities         85 461   85 750     6a,INTEREST
Norddeutsche Bank,Investments in subsidiaries         196 813   126 534    of which in banks   112 059         40 217    in financial institutions           347     8,INVESTMENT
Norddeutsche Bank,Investments in affiliated companies         399 051   365 301    of which in banks   207 911         178 265    in financial institutions   4 538         511     9,INVESTMENT
Norddeutsche Bank,Liabilities to customers              a issued registered mortgage Pfandbriefe       962 344     1 136 654    b issued registered public -sector Pfandbriefe       9 417 155     9 780 857    c Savings deposits               ca with an agreed notice period   of three months     971 400       1 037 608     cb with an agreed notice period   more than three months     23 974       5 307   c Savings deposits total sum       995 374     1 042 915    d Other liabilities       35 448 664     34 421 063   total  sum          46 823 537   46 381 489    of which Due on demand   21 219 942         23 309 916     3,DEPOSIT
Norddeutsche Bank,Securitised liabilities              a Issued debt securities               aa mortgage Pfandbriefe     7 974 415       8 325 616     ab public -sector Pfandbriefe     2 403 441       2 571 079     ac other debt securities     6 882 374       7 205 931   a Issued debt securities total sum       17 260 230     18 102 626    b Other securitised liabilities       353 508     57 011   total sum         17 613 738   18 159 637    of which money -market instruments   337 099         39 749     3a,MARKET INSTRUMENTS
Norddeutsche Bank,Instruments of additional regulatory Tier 1 capital         50 200   50 200     11,REGULATORY
Norddeutsche Bank,Funds for general banking risks         82 708   82 708    of which special item for general banking risks in   accordance with  340e 4 HGB   68 308          68 308     12,FUNDS
Norddeutsche Bank,Equity              a Subscribed capital               aa Share capital     3 136 622       3 082 954     ab Other capital contributions     213 875       263 609   a Subscribed capital total sum       3 350 497     3 346 563    b Capital reserves       2 581 079     2 581 079    c Retained earnings               ca Other retained earnings       530 556     530 556    d net accumulated loss          814 227        812 898   total sum         5 647 905   5 645 300   Total liabilities         121 308 761   115 243 444     1,LOSS
Norddeutsche Bank,Other obligations              c Irrevocable credit commitments       12 559 207     9 034 054   total sum         12 559 207   9 034 054                 Income statement for the period from 1 January to 31 December  2022                   in  000            2021     1,CREDIT
Norddeutsche Bank,Interest income from              a Lending and money market transactions     1 849 877       1 636 049    b Fixed -income and book entry securities     218 144       203 979    c Current income from trading portfolio     1 360 439       1 164 482   total sum       3 428 460     3 004 510     2,INTEREST
Norddeutsche Bank,Negative Interest income from lending and money  market transactions           22 323        49 569     3,INTEREST
Norddeutsche Bank,Interest expenses         2 506 665       2 205 312     4,INTEREST
Norddeutsche Bank,Positive interest expenses from lending and money  market transactions       40 135     60 711   total sum         939 607   810 340     5,INTEREST
Norddeutsche Bank,Current income from              a Shares and other non fixed -interest securities       63    61   b Investments in subsidiaries       4 687     6 803    c Shares in affiliated companies       34    14  total sum         4 784   6 878     6,INVESTMENT
Norddeutsche Bank,Earnings from profit pooling profit transfer or   partial profit transfer agreement          15 310   14 282     7,PROFIT
