Bank Name,Financial Text,Financial Term
UmweltBank AG,Approximately6 billion 1000332  Letter from the Management Board Germanys greenest bank About UmweltBank Investing and providing for retirement sustainablyFinancing for environmental projectsSustainable investmentsGermanys green bank shareResponsible corporate governanceDialogue with stakeholdersAnalysis of the main sustainability aspects1222253740445658 Contribution  to the environment Environmental management systemEnvironmental performanceSustainability targetsReport of the Environmental Advisory BoardContact the Sustainability ManagementValidation of the environmental statement6468889196966 1 2 People at UmweltBank Member of the Management BoardSupervisory BoardEnvironmental Advisory BoardSustainable personnel policy100 103 109114 About this reportGRI content indexPublishing details and contactAnnual  Report Report of the Supervisory BoardManagement reportBalance sheetIncome statementNotes to the financial statementsIndependent auditors report126134 174 176 1782033 4 211212217 5 4 2022 to enable greater transformation,INVESTMENT
UmweltBank AG,However there are signs that a new  era is dawning in Germany  especially in security and energy policy,SECURITY
UmweltBank AG,In July the European Central Bank raised  interest rates for the first time in around ten years,INTEREST
UmweltBank AG,Within less than 12 months the key interest rate  rose from 0,INTEREST
UmweltBank AG,Savers but also banks have been waiting a long time for the low-interest  phase to end,INTEREST
UmweltBank AG,The speed and level of the interest rate hikes are posing challenges in the short term  however,INTEREST
UmweltBank AG,Our savings deposits on the other hand are mostly in accounts with short maturities and  currently rising interest rates,INTEREST
UmweltBank AG,Although the Bank can grant new loans and extensions at significantly  higher interest rates than a year ago the interest margin will only benefit from this in the medium  to long term,INTEREST
UmweltBank AG,Overall the Bank recorded a significantly increased interest financial  and valuation result in 2022 as well as a commission and trading result at the previous-year level,INTEREST
UmweltBank AG,Overall UmweltBank  ended the 25th year of its existence with a pre-tax profit of 39,PROFIT
UmweltBank AG,In addition the Bank is suc - cessively expanding two high-growth business areas investments in the equity of sustainable real  estate and renewable energy projects via the subsidiary UmweltProjekt GmbH on the one hand and  the green funds of the UmweltSpektrum brand on the other,INVESTMENT
UmweltBank AG,We now offer three in-house funds  under the UmweltSpektrum brand,FUNDS
UmweltBank AG,The wholly owned subsidiary Umwelt - Projekt GmbH bundles these investments with a current volume of around 750 million,INVESTMENT
UmweltBank AG,The investments are extensive but they are necessary and  will pay off    for customers for our employees and in the medium to long term for you as well  dear shareholders,INVESTMENT
UmweltBank AG,Your UmweltBank Management Board Goran Baic Member of the Management Board Areas of responsibilityJrgen Koppmann Spokesperson of the  Management Board  Areas of responsibilityHeike Schmitz Member of the  Management Board Areas of responsibility Financing Energy and Infrastructure  Projects Financing Real Estate ProjectsFinancing Private CustomersInvestmentsPersonnelTreasury  SustainabilityAccounting  Taxes  Operations Reporting Risk   Analytics Back Offi   ce CreditLegal  ComplianceOrganisational ManagementInternal AuditCustomer Care   Account Management Securities  PensionsInformation Technology   Project Management Customer Care  ServiceMarketing  PR years of UmweltBank Learn more about the exciting development of UmweltBank in its multimedia company history,INVESTMENT
UmweltBank AG,The  Bank does not engage in speculative transactions lending is not focused on profit  maximisation but on a positive ecological and social impact,PROFIT
UmweltBank AG,We combine economy and ecology by off  ering our customers at- tractive investments and financingsustainable projects exclusively,INVESTMENT
UmweltBank AG,Company UmweltBank Legal form Stock corporation Aktiengesellschaft Headquarters Nuremberg Germany Foundation 1997 Owners Approx,STOCK
UmweltBank AG,APRIL   Expansion of the fund range Two new funds under the UmweltS-pektrum brand enable investors to invest specifically in the topics of nature and people,FUNDS
UmweltBank AG,UmweltTreuhand GmbHOn its first birthday UmweltBank celebrates black figures with green money  Photovoltaic project financing UmweltBank off  ers building loans and mortgages for joint building venturesFlotation on the Regulated Unoffi   cial Market at the Frankfurt Stock Exchange  Founding of the subsidiaryUmweltProjekt GmbHUmweltBank aligns for the future with new brand profile UmweltBank is granted a  full banking licence Green savings products  Wind farm project financing Sustainable building loans and mortgages UmweltBank enables simple photovoltaic financing for  private customers with online toolPassing of the torchon the Management Board Stefan Weber and Goran Bai are new duo at the top First own fund  UmweltSpektrum Mix comes onto the market The new home of green money  UmweltHaus and UmweltQuartier in Nuremberg End of the KfWs 100000 Roofs pro-gramme UmweltBank launches its own subsidy programme Solar power for every roofUmweltBank 20031998 2007 2016 20182001 2010 2020 FUTURE1994 199725 years201415 The year 2022 marks an important milestone for UmweltBank,STOCK
UmweltBank AG,de25jahre 17 16 Sustainable products Building and residential  Residential properties  Joint building ventures  Residential projects  Social building   Investor projects  Commercial real estate UmweltWunschkredit  Ecological building measures  Photovoltaic systems  Tiny houses  e-mobilityRenewable energy sources   Wind power  Heating concepts  PhotovoltaicsSavings accounts   UmweltFlexkonto  UmweltFestzins  UmweltWachstumszins Securities   UmweltBank share  Green bonds  Eco funds Insurance   Base pension Rrup pension  Company pension plan  Private pension  UmweltVorsorge juniorInvestments and pensions Financing UmweltProjekt GmbH is a wholly owned subsidiary of UmweltBank that pools and grows  the Banks investment business,INVESTMENT
UmweltBank AG,Investments in sustainable projectsUmweltGarantie environmental guarantee Every euro that customers invest with UmweltBank is used in accordance with the  SDG  the United Nations Sustainable Development Goals,INVESTMENT
UmweltBank AG,Customers can be confident that the savings deposits and equity  are used exclusively for loans in support of environmental projects,DEPOSIT
UmweltBank AG,To check compliance with the UmweltGarantie the Bank computes the ratio of volume  of utilised environmental loans note loans for a specific purpose participating interests  green and social bonds plus its own investments with a positive SDG contribution to  the deposit volume of customers third-party loans from development banks and the  original equity brought into UmweltBank from the investors,INVESTMENT
UmweltBank AG,In the interest of the customers and employ- ees alike the Bank consciously eschews from any kind of sales quotas and individual  commission payments,INTEREST
UmweltBank AG,It is the only bank  in Germany to give the UmweltGarantie for savings investments,INVESTMENT
UmweltBank AG,All these offers are subject to  German statutory deposit protection,DEPOSIT
UmweltBank AG,The  funds investment philosophy is based on UmweltBanks  strict sustainability approach,INVESTMENT
UmweltBank AG,Therefore investments  are made in hand-picked companies that stand out  due to a particularly sustainable core business and act out of conviction,INVESTMENT
UmweltBank AG,UmweltSpektrum     The sustainable fund family for a future worth living in The UmweltSpektrum fund family UmweltSpektrum Natur UmweltSpektrum Mensch UmweltSpektrum Mix The shape-the-future fund The strengthen-the-  community fundThe protect-the-  environment fund  Affordable and clean energy  Climate protectionmeasures  Clean water and anitation facilities  Health well-being and no  poverty  Quality education  Peace justice and strong institutions Sustainable cities and commu-nities  Responsible consumption  Focus on smaller and medi-um-sized enterprises A global equity fund with an  emphasis on environmental  sustainability goals,EQUITY
UmweltBank AG,Interested investors can find current information on the UmweltSpektrum brand funds at www,INTEREST
UmweltBank AG,deA global equity fund with an  emphasis on social coexistence,EQUITY
UmweltBank AG,The UmweltBank experts take the final decision for inclusion in the UmweltSpektrum funds after again  checking the issuers ecological and social creditworthiness,FUNDS
UmweltBank AG,In the event of  controversy issuers are removed and investments sold if necessary,INVESTMENT
UmweltBank AG,Fund management may invest freely  within the certified investment universe,INVESTMENT
UmweltBank AG,It does this by evaluating the  investments according to economic criteria,INVESTMENT
